Institution,Institution Type,County,Fiscal Year,Date,Corrections Population,Address + Lat/Long
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2016-2017,08/31/2016,209,"N/A
N/A, N/A N/A"
Albion (ALB),State Correctional Institution,Erie,FY 2017-2018,03/31/2018,2281,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2016-2017,11/30/2016,154,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2016-2017,05/31/2017,2394,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2016-2017,11/30/2016,2127,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2016-2017,12/31/2016,2137,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2015-2016,08/31/2015,146,"N/A
N/A, N/A N/A"
Fayette (FYT),State Correctional Institution,Fayette,FY 2018-2019,01/31/2019,2111,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2015-2016,07/31/2015,1093,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2016-2017,01/31/2017,2113,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,11/30/2018,1069,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Forest (FRS),State Correctional Institution,Forest,FY 2017-2018,12/31/2017,2397,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Forest (FRS),State Correctional Institution,Forest,FY 2015-2016,11/30/2015,2281,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2015-2016,04/30/2016,124,"N/A
N/A, N/A N/A"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,09/30/2018,1233,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2017-2018,02/28/2018,1591,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2015-2016,10/31/2015,2450,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2014-2015,06/30/2015,231,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2017-2018,05/31/2018,3525,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2017-2018,03/31/2018,2335,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,03/31/2017,109,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2017-2018,05/31/2018,399,"N/A
N/A, N/A N/A"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2017-2018,05/31/2018,146,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2018-2019,11/30/2018,58,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2016-2017,06/30/2017,2133,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2017-2018,12/31/2017,1139,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,06/30/2016,2369,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,11/30/2018,2380,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2016-2017,04/30/2017,1357,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,08/31/2018,2197,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,11/30/2018,124,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2015-2016,01/31/2016,2515,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,11/30/2018,2164,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2015-2016,07/31/2015,2110,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2017-2018,07/31/2017,1386,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2017-2018,09/30/2017,1205,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2015-2016,11/30/2015,84,"N/A
N/A, N/A N/A"
Chester (CHS),State Correctional Institution,Delaware,FY 2017-2018,08/31/2017,1245,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2018-2019,08/31/2018,0,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2015-2016,03/31/2016,133,"N/A
N/A, N/A N/A"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,01/31/2019,2605,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
In County Jails,County Jails,N/A,FY 2017-2018,11/30/2017,393,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,10/31/2016,1430,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2015-2016,03/31/2016,2105,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,01/31/2019,2149,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2015-2016,09/30/2015,1696,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2017-2018,11/30/2017,159,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,11/30/2016,1429,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Forest (FRS),State Correctional Institution,Forest,FY 2018-2019,01/31/2019,2350,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2017-2018,02/28/2018,2204,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Rockview (ROC),State Correctional Institution,Centre,FY 2016-2017,07/31/2016,2392,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2017-2018,03/31/2018,115,"N/A
N/A, N/A N/A"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2017-2018,07/31/2017,1093,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Greene (GRN),State Correctional Institution,Greene,FY 2015-2016,03/31/2016,1727,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2017-2018,05/31/2018,2386,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2016-2017,03/31/2017,1157,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2018-2019,12/31/2018,513,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2015-2016,09/30/2015,1345,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Greene (GRN),State Correctional Institution,Greene,FY 2017-2018,07/31/2017,1683,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,01/31/2019,221,"N/A
N/A, N/A N/A"
Chester (CHS),State Correctional Institution,Delaware,FY 2018-2019,01/31/2019,1288,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2016-2017,03/31/2017,2135,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,01/31/2019,7,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2015-2016,02/29/2016,2296,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2018-2019,09/30/2018,2184,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Forest (FRS),State Correctional Institution,Forest,FY 2018-2019,08/31/2018,2409,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Greene (GRN),State Correctional Institution,Greene,FY 2014-2015,06/30/2015,1730,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Chester (CHS),State Correctional Institution,Delaware,FY 2015-2016,09/30/2015,1290,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2017-2018,12/31/2017,1589,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,08/31/2016,2409,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2015-2016,09/30/2015,1365,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2017-2018,06/30/2018,439,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2016-2017,05/31/2017,2158,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2017-2018,05/31/2018,1223,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2017-2018,11/30/2017,1148,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2015-2016,02/29/2016,2149,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,07/31/2015,237,"N/A
N/A, N/A N/A"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2018-2019,10/31/2018,163,"N/A
N/A, N/A N/A"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2016-2017,04/30/2017,2150,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2015-2016,01/31/2016,1397,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,08/31/2016,78,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2014-2015,06/30/2015,2126,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,08/31/2018,151,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,09/30/2016,1454,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2015-2016,03/31/2016,450,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2015-2016,05/31/2016,2081,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Chester (CHS),State Correctional Institution,Delaware,FY 2015-2016,02/29/2016,1253,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2017-2018,06/30/2018,1472,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2015-2016,08/31/2015,2148,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,01/31/2016,245,"N/A
N/A, N/A N/A"
In Federal Prisons,Federal Prisons,N/A,FY 2016-2017,08/31/2016,8,"N/A
N/A, N/A N/A"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2015-2016,06/30/2016,3288,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2015-2016,08/31/2015,83,"N/A
N/A, N/A N/A"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2015-2016,12/31/2015,1135,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2018-2019,09/30/2018,2213,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2015-2016,10/31/2015,113,"N/A
N/A, N/A N/A"
Somerset (SMR),State Correctional Institution,Somerset,FY 2017-2018,01/31/2018,2396,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2016-2017,01/31/2017,2082,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2015-2016,02/29/2016,2512,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,01/31/2017,2500,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Greene (GRN),State Correctional Institution,Greene,FY 2016-2017,07/31/2016,1730,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2015-2016,04/30/2016,1176,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2016-2017,08/31/2016,1161,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2015-2016,12/31/2015,2140,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,01/31/2019,149,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2016-2017,06/30/2017,2381,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2014-2015,06/30/2015,141,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,02/28/2017,2488,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Mercer (MER),State Correctional Institution,Mercer,FY 2015-2016,03/31/2016,1444,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
In County Jails,County Jails,N/A,FY 2018-2019,12/31/2018,359,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2017-2018,02/28/2018,2398,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Mercer (MER),State Correctional Institution,Mercer,FY 2015-2016,10/31/2015,1401,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2017-2018,05/31/2018,2572,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2017-2018,05/31/2018,2167,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2016-2017,09/30/2016,1435,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,08/31/2018,1124,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,10/31/2018,2170,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2015-2016,11/30/2015,3127,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2015-2016,02/29/2016,1313,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Chester (CHS),State Correctional Institution,Delaware,FY 2016-2017,06/30/2017,1273,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2015-2016,05/31/2016,1403,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Albion (ALB),State Correctional Institution,Erie,FY 2015-2016,01/31/2016,2249,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2015-2016,07/31/2015,1544,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
In Federal Prisons,Federal Prisons,N/A,FY 2015-2016,04/30/2016,7,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2015-2016,05/31/2016,1376,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2017-2018,05/31/2018,2194,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,07/31/2018,1810,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,05/31/2017,3449,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
In County Jails,County Jails,N/A,FY 2016-2017,10/31/2016,534,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2015-2016,03/31/2016,1308,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2018-2019,01/31/2019,2365,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2016-2017,06/30/2017,1132,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2015-2016,03/31/2016,1189,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2017-2018,12/31/2017,1221,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Forest (FRS),State Correctional Institution,Forest,FY 2016-2017,03/31/2017,2365,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2017-2018,07/31/2017,2177,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,06/30/2017,2503,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,08/31/2018,231,"N/A
N/A, N/A N/A"
In Federal Prisons,Federal Prisons,N/A,FY 2016-2017,07/31/2016,8,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2015-2016,12/31/2015,1344,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2015-2016,06/30/2016,98,"N/A
N/A, N/A N/A"
Albion (ALB),State Correctional Institution,Erie,FY 2017-2018,08/31/2017,2275,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,12/31/2018,7,"N/A
N/A, N/A N/A"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2015-2016,04/30/2016,3153,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2016-2017,12/31/2016,1172,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2016-2017,11/30/2016,317,"N/A
N/A, N/A N/A"
Fayette (FYT),State Correctional Institution,Fayette,FY 2017-2018,03/31/2018,2166,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,01/31/2018,1404,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Greene (GRN),State Correctional Institution,Greene,FY 2016-2017,06/30/2017,1666,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2017-2018,01/31/2018,78,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2017-2018,11/30/2017,1554,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2015-2016,05/31/2016,1159,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2015-2016,04/30/2016,2404,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2017-2018,08/31/2017,1584,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,12/31/2018,2403,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2017-2018,10/31/2017,2536,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2015-2016,05/31/2016,1336,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2017-2018,01/31/2018,1102,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
In County Jails,County Jails,N/A,FY 2017-2018,07/31/2017,337,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2015-2016,05/31/2016,582,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2016-2017,01/31/2017,1373,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
In County Jails,County Jails,N/A,FY 2014-2015,06/30/2015,916,"N/A
N/A, N/A N/A"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,11/30/2016,68,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2018-2019,10/31/2018,2576,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2015-2016,08/31/2015,2492,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2017-2018,11/30/2017,2208,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2016-2017,04/30/2017,1162,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Forest (FRS),State Correctional Institution,Forest,FY 2015-2016,07/31/2015,2301,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2016-2017,10/31/2016,2090,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Albion (ALB),State Correctional Institution,Erie,FY 2015-2016,10/31/2015,2228,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2017-2018,09/30/2017,2381,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,07/31/2016,3250,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2017-2018,11/30/2017,457,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2016-2017,03/31/2017,1347,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2016-2017,08/31/2016,2313,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
In Federal Prisons,Federal Prisons,N/A,FY 2016-2017,06/30/2017,8,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,12/31/2016,106,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2015-2016,10/31/2015,2135,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2018-2019,09/30/2018,1214,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,02/28/2017,1417,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2017-2018,02/28/2018,1259,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2016-2017,02/28/2017,1343,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2015-2016,09/30/2015,89,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2015-2016,03/31/2016,146,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2017-2018,07/31/2017,2375,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
