name,city,state,address,zip,website,category,public_private,district,lat,lon
WEST COAST UNIVERSITY-MIAMI,DORAL,FL,9250 NW 36TH STREET,33178,westcoastuniversity.edu/,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",,,25.810797,-80.34744
WEST COAST UNIVERSITY-ONTARIO,ONTARIO,CA,2855 E. GUASTI RD,91761,westcoastuniversity.edu/,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",,,34.066536,-117.59008
WEST COAST UNIVERSITY-ORANGE COUNTY,ANAHEIM,CA,1477 S MANCHESTER AVE,92802,westcoastuniversity.edu/,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",,,33.811028,-117.91188
WEST COCALICO MENNONITE SCHOOL,REINHOLDS,PA,105 MARSH RD,17569,,K-12,PRIVATE,,40.28556,-76.147736
WEST COLUMBIA EL,WEST COLUMBIA,TX,711 S GRAY,77486,https://www.cbisd.com,ELEMENTARY,PUBLIC,COLUMBIA-BRAZORIA INDEPENDENT SCHOOL DISTRICT,29.135212,-95.64444
WEST COLUMBUS HIGH,CERRO GORDO,NC,7294 ANDREW JACKSON HWY,28430,https://www.columbus.k12.nc.us,HIGH,PUBLIC,COLUMBUS COUNTY SCHOOLS,34.328114,-78.92406
WEST CONTRA COSTA ADULT EDUCATION,RICHMOND,CA,5625 SUTTER AVE.,94804,,ADULT EDUCATION,PUBLIC,WEST CONTRA COSTA UNIFIED,37.907825,-122.31265
WEST COTTONWOOD JUNIOR HIGH,COTTONWOOD,CA,20512 W. FIRST ST.,96022,https://west.cwusd.com/,MIDDLE,PUBLIC,COTTONWOOD UNION ELEMENTARY,40.386024,-122.29193
WEST COUNTY CHARTER MIDDLE,FORESTVILLE,CA,6321 HWY. 116,95436,http://westcountycharter.org,MIDDLE,PUBLIC,WEST SONOMA COUNTY UNION HIGH,38.473694,-122.887
WEST COUNTY COMMUNITY HIGH,RICHMOND,CA,777 SONOMA ST.,94805,,HIGH,PUBLIC,WEST CONTRA COSTA UNIFIED,37.945488,-122.320694
WEST COUNTY ELEM.,PARK HILLS,MO,625 CHARITON AVE,63601,http://www.wcr4.org,ELEMENTARY,PUBLIC,WEST ST. FRANCOIS CO. R-IV,37.86216,-90.613945
WEST COUNTY HIGH,PARK HILLS,MO,768 HWY M,63601,http://www.wcr4.org,HIGH,PUBLIC,WEST ST. FRANCOIS CO. R-IV,37.867363,-90.60881
WEST COUNTY HIGH,SEBASTOPOL,CA,6950 ANALY AVE.,95472,,HIGH,PUBLIC,WEST SONOMA COUNTY UNION HIGH,38.406986,-122.82646
WEST COUNTY MANDARIN,RICHMOND,CA,6028 RALSTON AVE.,94805,https://www.wccusd.net,ELEMENTARY,PUBLIC,KENT SCHOOL DISTRICT,37.947697,-122.32103
WEST COUNTY MIDDLE,LEADWOOD,MO,1124 MAIN ST,63653,http://www.wcr4.org,MIDDLE,PUBLIC,WEST ST. FRANCOIS CO. R-IV,37.860584,-90.59175
WEST COVINA CHRISTIAN SCHOOL,WEST COVINA,CA,763 N SUNSET AVE,91790,,ELEMENTARY,PRIVATE,,34.085564,-117.93497
WEST COVINA HIGH,WEST COVINA,CA,1609 E. CAMERON AVE.,91791,https://www.cde.ca.gov/schooldirectory/details?cdscode=19650941939537,HIGH,PUBLIC,MOUNTAIN VIEW SCHOOL DISTRICT,34.06231,-117.9128
WEST COVINA HIGH (TMH),WEST COVINA,CA,1604 E. COMERON AVE.,91791,,,PUBLIC,LOS ANGELES COUNTY SPECIAL EDUCATION,34.061123,-117.91087
WEST COVINA HILLS ADVENTIST SCHOOL,WEST COVINA,CA,3528 E. TEMPLE WAY,91791,,K-12,PRIVATE,COVINA-VALLEY UNIFIED,34.070778,-117.869095
WEST CRAVEN HIGH,VANCEBORO,NC,2600 STREETS FERRY ROAD,28586,http://teacherweb.craven.k12.nc.us/wch/,HIGH,PUBLIC,CRAVEN COUNTY SCHOOLS,35.237556,-77.13743
WEST CRAVEN MIDDLE,NEW BERN,NC,515 NW CRAVEN MID SCHOOL ROAD,28562,http://teacherweb.craven.k12.nc.us/wcm/,MIDDLE,PUBLIC,CRAVEN COUNTY SCHOOLS,35.217144,-77.15053
WEST CRAWFORD EL SCH,CONNELLSVILLE,PA,215 FALLS AVENUE,15425,,ELEMENTARY,PUBLIC,CONNELLSVILLE AREA SCHOOL DISTRICT,40.011818,-79.61592
WEST CRAWFORD ELEMENTARY SCHOOL,ECKERTY,IN,5600 W PATOKA SCHOOL RD,47116,https://www.cccs.k12.in.us/o/west-crawford-elementary,ELEMENTARY,PUBLIC,CRAWFORD COUNTY COMMUNITY SCH CORPORATION,38.33232,-86.58107
WEST CREEK ACADEMY,VALENCIA,CA,28767 N. W. HILLS DR.,91354,https://www.saugususd.org,ELEMENTARY,PUBLIC,SAUGUS UNION,34.4642,-118.5698
WEST CREEK ELEMENTARY,CLARKSVILLE,TN,1201 W CREEK COYOTE TRL,37042,http://www.cmcss.net/go/wces,ELEMENTARY,PUBLIC,MONTGOMERY COUNTY,36.609417,-87.38638
WEST CREEK ELEMENTARY,ORLANDO,FL,5056 TACON DR,32837,https://westcreekes.ocps.net/,ELEMENTARY,PUBLIC,ORANGE,28.357548,-81.457085
WEST CREEK ELEMENTARY,VICTORVILLE,CA,15763 COLBALT RD.,92395,https://www.aesd.net,ELEMENTARY,PUBLIC,HAMSHIRE-FANNETT INDEPENDENT SCHOOL DISTRICT,34.5377,-117.37214
WEST CREEK HIGH,CLARKSVILLE,TN,1210 W CREEK COYOTE TRL,37042,http://www.cmcss.net/go/wchs,HIGH,PUBLIC,MONTGOMERY COUNTY,36.611588,-87.39056
WEST CREEK HILLS EL SCH,CAMP HILL,PA,400 ERFORD RD,17011,,ELEMENTARY,PUBLIC,EAST PENNSBORO AREA SCHOOL DISTRICT,40.27165,-76.92534
WEST CREEK MIDDLE,CLARKSVILLE,TN,1200 W CREEK COYOTE TRL,37042,http://www.cmcss.net/go/wcms,MIDDLE,PUBLIC,MONTGOMERY COUNTY,36.612106,-87.386215
WEST CREEK SCHOOL,SMICKSBURG,PA,2806 W CREEK RD,16256,,ELEMENTARY,PRIVATE,,40.846336,-79.07153
WEST CYPRESS HILLS EL,SPICEWOOD,TX,6112 CYPRESS RANCH BLVD,78669,https://www.ltisdschools.org/domain/16,ELEMENTARY,PUBLIC,LAKE TRAVIS INDEPENDENT SCHOOL DISTRICT,30.349983,-98.08472
WEST DADE ACADEMY,MIAMI,FL,10950 SW 34TH ST,33165,,K-12,PRIVATE,,25.770351,-80.30269
WEST DALLAS AREA,DALLAS,TX,3700 ROSS AVE,75204,,,PUBLIC,DALLAS INDEPENDENT SCHOOL DISTRICT,32.797752,-96.785194
WEST DALLAS COMMUNITY SCHOOL,DALLAS,TX,2300 CANADA DR,75212,,ELEMENTARY,PRIVATE,,32.792057,-96.85973
WEST DAVIDSON HIGH,LEXINGTON,NC,200 DRAGON DRIVE,27295,http://www.davidson.k12.nc.us/west/home.htm,HIGH,PUBLIC,DAVIDSON COUNTY SCHOOLS,35.803753,-80.36555
WEST DE PERE HIGH,DE PERE,WI,665 GRANT ST,54115,http://www.wdpsd.com/high,HIGH,PUBLIC,WEST DE PERE SCHOOL DISTRICT,44.44319,-88.07921
WEST DE PERE MIDDLE,DE PERE,WI,1177 S 9TH ST,54115,http://www.wdpsd.com/middle,MIDDLE,PUBLIC,WEST DE PERE SCHOOL DISTRICT,44.4393,-88.093
WEST DECATUR ELEMENTARY SCHOOL,DECATUR,AL,708 MEMORIAL DR SW,35601,http://www.dcs.edu/webpages/wdecatur/,ELEMENTARY,PUBLIC,DECATUR CITY,34.598312,-86.99812
WEST DEFUNIAK ELEMENTARY SCHOOL,DEFUNIAK SPRINGS,FL,815 LINCOLN AVE,32435,https://wde.walton.k12.fl.us/,ELEMENTARY,PUBLIC,WALTON,30.723131,-86.13738
WEST DELAWARE HIGH SCHOOL,MANCHESTER,IA,605 NEW ST,52057,https://www.w-delaware.k12.ia.us,HIGH,PUBLIC,WEST DELAWARE COUNTY COMMUNITY SCHOOL DISTRICT,42.489132,-91.4522
WEST DELAWARE MIDDLE SCHOOL,MANCHESTER,IA,1101 DOCTOR ST,52057,https://www.w-delaware.k12.ia.us,MIDDLE,PUBLIC,WEST DELAWARE COUNTY COMMUNITY SCHOOL DISTRICT,42.495182,-91.450645
WEST DEPTFORD HIGH SCHOOL,WEST DEPTFORD,NJ,1600 OLD CROWN POINT RD,08093,https://hs.wdeptford.k12.nj.us/,HIGH,PUBLIC,WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT,39.854954,-75.16159
WEST DEPTFORD MIDDLE SCHOOL,WEST DEPTFORD,NJ,675 GROVE RD,08066,,MIDDLE,PUBLIC,WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT,39.828583,-75.19188
WEST DESERT HIGH SCHOOL,TROUT CREEK,UT,440 TROUT CREEK,84083,http://www.tintic.k12.ut.us/wdhs/wdhs.htm,HIGH,PUBLIC,TINTIC DISTRICT,39.64419,-113.88882
WEST DESERT SCHOOL,TROUT CREEK,UT,440 TROUT CREEK,84083,http://www.tintic.k12.ut.us/wdhs/wdhs.htm,ELEMENTARY,PUBLIC,TINTIC DISTRICT,39.644127,-113.88871
WEST DISTRICT SCHOOL,UNIONVILLE,CT,114 WEST DISTRICT ROAD,06085,,ELEMENTARY,PUBLIC,OGDEN CITY DISTRICT,41.73741,-72.87823
WEST DODGE STATION EARLY ED CENTER,ELKHORN,NE,18480 CALIFORNIA ST,68022,https://www.elkhornweb.org/programs/early-education/preschool/,PREKINDERGARTEN,PUBLIC,ELKHORN PUBLIC SCHOOLS,41.265686,-96.20461
WEST DODGE STATION ELEMENTARY,ELKHORN,NE,18480 CALIFORNIA ST,68022,,ELEMENTARY,PUBLIC,ELKHORN PUBLIC SCHOOLS,41.265697,-96.20464
WEST DOVER ELEMENTARY SCHOOL,TOMS RIVER,NJ,50 BLUE JAY DRIVE,08753,https://www.trschools.com/westdover/,ELEMENTARY,PUBLIC,TOMS RIVER REGIONAL SCHOOL DISTRICT,39.971966,-74.232445
WEST DUPLIN CHRISTIAN ACADEMY,WARSAW,NC,987 NC HWY 24 & 50,28398,,SECONDARY,PRIVATE,,34.977386,-78.02688
WEST EARLY CHILDHOOD CENTER,HAZELWOOD,MO,5323 VILLE MARIA LANE,63042,https://www.hazelwoodschools.org/site/default.aspx?pagetype=3&moduleinstanceid=4296&viewid=82ad4dc1-ff8e-4c91-9428-7a2a172acda0&renderloc=0&flexdataid=1718&pageid=3143,PREKINDERGARTEN,PUBLIC,HAZELWOOD,38.783344,-90.39748
WEST EARLY COLLEGE,DENVER,CO,951 ELATI ST,80204,https://westearlycollege.dpsk12.org/,HIGH,PUBLIC,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,39.731167,-104.994675
WEST EC,WASHINGTON,DC,1338 FARRAGUT ST NW,20011,https://www.dcps.dc.gov,ELEMENTARY,PUBLIC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,38.95134,-77.03235
WEST EDGE SCHOOL,MIDDLEBURY,IN,15153 COUNTY ROAD 26,46540,,ELEMENTARY,PRIVATE,,41.62425,-85.75671
WEST EDGECOMBE MIDDLE,ROCKY MOUNT,NC,6301 NOBLES MILL POND ROAD,27801,http://www.ecps.us/westedgecombe/,MIDDLE,PUBLIC,EDGECOMBE COUNTY PUBLIC SCHOOLS,35.90415,-77.73699
WEST EDUCATION CENTER ALTERNATIVE,MINNETONKA,MN,11140 BREN RD W,55343,,HIGH,PUBLIC,INTERMEDIATE SCHOOL DISTRICT 287,44.90112,-93.42123
WEST EL,DAINGERFIELD,TX,1305 W WATSON BLVD,75638,https://www.extendedstayamerica.com/hotels/tx/el-paso/west,ELEMENTARY,PUBLIC,DAINGERFIELD-LONE STAR INDEPENDENT SCHOOL DISTRICT,33.028763,-94.741035
WEST EL,GRAND PRAIRIE,TX,2911 KINGSWOOD BLVD,75052,https://www.extendedstayamerica.com/hotels/tx/el-paso/west,ELEMENTARY,PUBLIC,ARLINGTON INDEPENDENT SCHOOL DISTRICT,32.660866,-97.05908
WEST EL,WEST,TX,209 N HARRISON ST,76691,https://www.westisd.net/,ELEMENTARY,PUBLIC,WEST INDEPENDENT SCHOOL DISTRICT,31.80463,-97.09777
WEST EL,WHITE SETTLEMENT,TX,8901 WHITE SETTLEMENT RD,76108,https://www.extendedstayamerica.com/hotels/tx/el-paso/west,ELEMENTARY,PUBLIC,WHITE SETTLEMENT INDEPENDENT SCHOOL DISTRICT,32.75879,-97.470116
WEST ELEM,VALLEY CENTER,KS,501 N SHERIDAN,67147,https://www.usd262.net,ELEMENTARY,PUBLIC,VALLEY CENTER PUB SCH,37.838036,-97.38165
WEST ELEM,WAMEGO,KS,1911 6TH ST,66547,https://www.usd320.com,ELEMENTARY,PUBLIC,WAMEGO,39.202408,-96.31875
WEST ELEM SCHOOL,CRYSTAL LAKE,IL,100 BRIARWOOD DR,60014,http://west.altonschools.org/,ELEMENTARY,PUBLIC,CRYSTAL LAKE CCSD 47,42.237686,-88.37556
WEST ELEM SCHOOL,SYCAMORE,IL,240 FAIR ST,60178,,ELEMENTARY,PUBLIC,SYCAMORE CONSOLIDATED UNIT SCHOOL DISTRICT 427,41.98787,-88.69751
WEST ELEM.,JEFFERSON CITY,MO,100 DIX RD,65109,https://www.westelm.com/stores/us/mo/st-louis-galleria/,ELEMENTARY,PUBLIC,JEFFERSON CITY,38.589973,-92.203094
WEST ELEM.,OZARK,MO,3105 W STATE HWY CC,65721,http://www.ozark.k12.mo.us,ELEMENTARY,PUBLIC,OZARK R-VI,37.071346,-93.24479
WEST ELEM.,PARK HILLS,MO,403 W FITE ST,63601,http://centralr3.org,ELEMENTARY,PUBLIC,CENTRAL R-III,37.837578,-90.53743
WEST ELEMENTARY,ANDOVER,MA,58 BEACON STREET,01810,https://www.aps1.net,ELEMENTARY,PUBLIC,ANDOVER,42.66415,-71.172295
WEST ELEMENTARY,ANTIGO,WI,1232 7TH AVE,54409,https://www.antigo.k12.wi.us,ELEMENTARY,PUBLIC,ANTIGO UNIFIED SCHOOL DISTRICT,45.13816,-89.16452
WEST ELEMENTARY,GOODLAND,KS,912 WEST 12TH,67735,https://www.usd352.org,ELEMENTARY,PUBLIC,GOODLAND,39.34748,-101.72413
WEST ELEMENTARY,GREAT FALLS,MT,1205 1ST AVENUE NW,59404,http://www.laurel.k12.mt.us/5/home,ELEMENTARY,PUBLIC,GREAT FALLS ELEM,47.509205,-111.33282
WEST ELEMENTARY,JEFFERSON,WI,900 W MILWAUKEE ST,53549,https://www.sdoj.org,ELEMENTARY,PUBLIC,JEFFERSON SCHOOL DISTRICT,43.00442,-88.82487
WEST ELEMENTARY,KINGS MOUNTAIN,NC,500 W MOUNTAIN STREET,28086,https://www.clevelandcountyschools.org,ELEMENTARY,PUBLIC,CLEVELAND COUNTY SCHOOLS,35.239735,-81.351456
WEST ELEMENTARY,KNOXVILLE,IA,306 S PARK LANE DR,50138,,ELEMENTARY,PUBLIC,KNOXVILLE COMMUNITY SCHOOL DISTRICT,41.316257,-93.11538
WEST ELEMENTARY,MC ARTHUR,OH,57710 US HIGHWAY 50,45651,https://www.vinton.k12.oh.us/westelementary_home.aspx,ELEMENTARY,PUBLIC,VINTON COUNTY LOCAL,39.27217,-82.60967
WEST ELEMENTARY,MCMINNVILLE,TN,400 CLARK BLVD,37110,https://wes.warrenschools.com,ELEMENTARY,PUBLIC,WARREN COUNTY,35.693142,-85.78621
WEST ELEMENTARY,MILTON,WI,825 W MADISON AVE,53563,https://www.milton.k12.wi.us,ELEMENTARY,PUBLIC,MILTON SCHOOL DISTRICT,42.783485,-88.966675
WEST ELEMENTARY,MORRISTOWN,TN,235 W CONVERSE,37814,http://www.hcboe.net/main/school/we/west_elem.homepage1.html,ELEMENTARY,PUBLIC,HAMBLEN COUNTY,36.223274,-83.304886
WEST ELEMENTARY,MT JULIET,TN,9315 LEBANON RD,37122,https://www.wcschools.com,ELEMENTARY,PUBLIC,WILSON COUNTY,36.231697,-86.47989
WEST ELEMENTARY,PLYMOUTH,MA,170 PLYMPTON RD,02360,https://www.plymouth.k12.ma.us,ELEMENTARY,PUBLIC,PLYMOUTH,41.945004,-70.72137
WEST ELEMENTARY,STOUGHTON,MA,1322 CENTRAL STREET,02072,https://www.stoughtonschools.org,ELEMENTARY,PUBLIC,STOUGHTON,42.13259,-71.112755
WEST ELEMENTARY,VESTAVIA HILLS,AL,1965 MERRYVALE RD,35216,http://www.vestavia.k12.al.us/west,ELEMENTARY,PUBLIC,VESTAVIA HILLS CITY,33.433,-86.78999
WEST ELEMENTARY,WHEATLAND,WY,201 20TH STREET,82201,https://platte1.org,ELEMENTARY,PUBLIC,PLATTE COUNTY SCHOOL DISTRICT #1,42.049725,-104.970856
WEST ELEMENTARY - 03,SPEARFISH,SD,920 W KING ST,57783,https://www.spearfish.k12.sd.us,ELEMENTARY,PUBLIC,SPEARFISH SCHOOL DISTRICT 40-2,44.49277,-103.872025
WEST ELEMENTARY SCHOOL,ALTON,IL,1513 STATE ST,62002,https://west.syc427.org/,ELEMENTARY,PUBLIC,ALTON CONSOLIDATED UNIT SCHOOL DISTRICT 11,38.906197,-90.19411
WEST ELEMENTARY SCHOOL,ARCADIA,FL,304 W IMOGENE ST,34266,https://wes.desotoschools.com/,ELEMENTARY,PUBLIC,DESOTO,27.222643,-81.86349
WEST ELEMENTARY SCHOOL,ATHENS,OH,41 CENTRAL AVE,45701,https://morganschools.org/elementary/west-elementary,ELEMENTARY,PUBLIC,ATHENS CITY,39.33463,-82.11245
WEST ELEMENTARY SCHOOL,BUFFALO,ND,400 DAKOTA AVE NW,58011,https://www.maple-valley.k12.nd.us,ELEMENTARY,PUBLIC,MAPLE VALLEY 4,46.92332,-97.55413
WEST ELEMENTARY SCHOOL,BUTTE,MT,800 S EMMETT,59701,,ELEMENTARY,PUBLIC,BUTTE ELEM,46.005573,-112.55198
WEST ELEMENTARY SCHOOL,COLORADO SPRINGS,CO,25 NORTH 20TH STREET,80904,https://www.d11.org/west,ELEMENTARY,PUBLIC,"COLORADO SPRINGS, SCHOOL DISTRICT NO. 11, IN THE COUNTY OF E",38.843502,-104.853615
WEST ELEMENTARY SCHOOL,COOLIDGE,AZ,460 S. 7TH ST.,85128,http://www.west.coolidgeschools.org,ELEMENTARY,PUBLIC,SEALY INDEPENDENT SCHOOL DISTRICT,32.974133,-111.52945
WEST ELEMENTARY SCHOOL,CULLMAN,AL,303 ROSEMONT AVE SW,35055,https://wes.cullmancats.net,ELEMENTARY,PUBLIC,CULLMAN CITY,34.17275,-86.85707
WEST ELEMENTARY SCHOOL,EMMETSBURG,IA,602 CALL ST,50536,https://www.e-hawks.org,ELEMENTARY,PUBLIC,EMMETSBURG COMMUNITY SCHOOL DISTRICT,43.113968,-94.68484
WEST ELEMENTARY SCHOOL,GLENWOOD,IA,707 SHARP ST,51534,https://www.northpolk.org/west,ELEMENTARY,PUBLIC,GLENWOOD COMMUNITY SCHOOL DISTRICT,41.045742,-95.747406
WEST ELEMENTARY SCHOOL,GRAND FORKS,ND,615 N 25TH ST,58203,https://www.gfschools.org/west,ELEMENTARY,PUBLIC,GRAND FORKS 1,47.925613,-97.06299
WEST ELEMENTARY SCHOOL,GULFPORT,MS,4051 15TH STREET,39501,https://www.gulfportschools.org/domain/14,ELEMENTARY,PUBLIC,GULFPORT SCHOOL DISTRICT,30.368488,-89.10971
WEST ELEMENTARY SCHOOL,INDEPENDENCE,IA,1301 1ST ST W,50644,https://www.northpolk.org/west,ELEMENTARY,PUBLIC,INDEPENDENCE COMMUNITY SCHOOL DISTRICT,42.466755,-91.90923
WEST ELEMENTARY SCHOOL,LONG BEACH,NY,91 MARYLAND AVE,11561,http://www.lbeach.org,ELEMENTARY,PUBLIC,LONG BEACH CITY SCHOOL DISTRICT,40.587536,-73.696144
WEST ELEMENTARY SCHOOL,MALTA,OH,9675 STATE ROUTE 37,43758,https://morganschools.org/elementary/west-elementary,ELEMENTARY,PUBLIC,MORGAN LOCAL,39.664764,-82.00663
WEST ELEMENTARY SCHOOL,MOUNT VERNON,IN,1105 W 4TH ST,47620,,ELEMENTARY,PUBLIC,MSD MOUNT VERNON,37.930183,-87.90799
WEST ELEMENTARY SCHOOL,MOUNTAIN HOME,ID,415 WEST 2ND NORTH,83647,http://west.mtnhomesd.org/,ELEMENTARY,PUBLIC,MOUNTAIN HOME DISTRICT,43.12878,-115.69854
WEST ELEMENTARY SCHOOL,NEW PHILADELPHIA,OH,232 TUSCARAWAS AVE NW,44663,https://morganschools.org/elementary/west-elementary,ELEMENTARY,PUBLIC,NEW PHILADELPHIA CITY,40.49373,-81.46071
WEST ELEMENTARY SCHOOL,NEWCOMERSTOWN,OH,517 BEAVER ST,43832,http://www.nct.k12.oh.us,ELEMENTARY,PUBLIC,NEWCOMERSTOWN EXEMPTED VILLAGE,40.268436,-81.61196
WEST ELEMENTARY SCHOOL,RUSSELLVILLE,AL,1340 CLAY AVE,35653,http://rcs.k12.al.us/wes.cfm?subpage=472365,ELEMENTARY,PUBLIC,RUSSELLVILLE CITY,34.526222,-87.7439
WEST ELEMENTARY SCHOOL,SIDNEY,NE,2350 OSAGE ST,69162,https://sidneyraiders69162.wixsite.com/west-elementary/staff-directory,MIDDLE,PUBLIC,SIDNEY PUBLIC SCHOOLS,41.13854,-102.995
WEST ELEMENTARY SCHOOL,STURGIS,MS,127 STURGIS MABEN ROAD,39769,https://www.gulfportschools.org/domain/14,ELEMENTARY,PUBLIC,STARKVILLE- OKTIBBEHA CONS DISTRICT,33.344868,-89.05536
WEST ELEMENTARY SCHOOL,WEST SENECA,NY,1397 ORCHARD PARK RD,14224,https://www.wscschools.org,ELEMENTARY,PUBLIC,WEST SENECA CENTRAL SCHOOL DISTRICT,42.812893,-78.76978
WEST ELEMENTARY SCHOOL,WYOMING,MI,1840 38TH ST SW,49519,http://www.wyoming.k12.mi.us,ELEMENTARY,PUBLIC,WYOMING PUBLIC SCHOOLS,42.895027,-85.7111
WEST ELEMENTARY SCHOOL,ZION,IL,2412 JETHRO AVE,60099,https://west.syc427.org/,ELEMENTARY,PUBLIC,ZION ESD 6,42.451317,-87.85089
WEST ELEMENTARY-KINDERGARTEN CENTER,BARABOO,WI,707 CENTER ST,53913,https://www.baraboo.k12.wi.us,ELEMENTARY,PUBLIC,BARABOO SCHOOL DISTRICT,43.47234,-89.749466
WEST ELK SCHOOLS,HOWARD,KS,1199 STATE HIGHWAY 99,67349,https://westelk.us,OTHER,PUBLIC,WEST ELK,37.46143,-96.25427
WEST ELKTON INTERMEDIATE SCHOOL,WEST ELKTON,OH,11751 STATE ROUTE 503,45070,https://www.preble-shawnee.k12.oh.us/welktonintermediateschool_home.aspx,ELEMENTARY,PUBLIC,PREBLE SHAWNEE LOCAL,39.59037,-84.55572
WEST END (MH),SAN RAFAEL,CA,1821 FIFTH AVE.,94901,,,PUBLIC,MARIN COUNTY OFFICE OF EDUCATION,37.97567,-122.53944
WEST END ACADEMY,BIRMINGHAM,AL,1840 PEARSON AVENUE SW,35211,http://www.bhm.k12.al.us/westend,ELEMENTARY,PUBLIC,BIRMINGHAM CITY,33.48434,-86.86821
WEST END ACADEMY,KNOXVILLE,TN,5311 MCKAMEY RD,37921,,K-12,PRIVATE,,35.967648,-84.03913
WEST END CHRISTIAN SCHOOL,HOPEWELL,VA,1600 ATLANTIC ST,23860,,K-12,PRIVATE,,37.29606,-77.29935
WEST END COMMUNITY,MONTCLAIR,CA,5033 HOLT BLVD.,91763,,HIGH,PUBLIC,SAN BERNARDINO COUNTY OFFICE OF EDUCATION,34.062714,-117.69441
WEST END DAY SCHOOL,NEW YORK,NY,255 W 71ST ST,10023,,ELEMENTARY,PRIVATE,,40.778915,-73.983955
WEST END EL,INDUSTRY,TX,7453 ERNST PKWY,78944,http://www.bellvilleisd.org,ELEMENTARY,PUBLIC,BELLVILLE INDEPENDENT SCHOOL DISTRICT,29.96737,-96.50221
WEST END EL SCH,MEADVILLE,PA,12068 BROOKS RD,16335,https://www.craw.org/schools/west-end-elementary-school,ELEMENTARY,PUBLIC,CRAWFORD CENTRAL SCHOOL DISTRICT,41.632446,-80.2356
WEST END EL SCH,PUNXSUTAWNEY,PA,300 CENTER ST,15767,https://www.craw.org/schools/west-end-elementary-school,ELEMENTARY,PUBLIC,PUNXSUTAWNEY AREA SCHOOL DISTRICT,40.946674,-78.99023
WEST END ELEMENTARY,EASLEY,SC,314 PELZER HIGHWAY,29642,https://wes.pickens.k12.sc.us/,ELEMENTARY,PUBLIC,PICKENS 01,34.806503,-82.60295
WEST END ELEMENTARY,SAN RAFAEL,CA,1821 FIFTH AVE.,94902,,,PUBLIC,SAN RAFAEL CITY ELEMENTARY,37.97567,-122.53944
WEST END ELEMENTARY,WEST END,NC,4483 NC HWY 211,27376,https://www.ncmcs.org/wees,ELEMENTARY,PUBLIC,MOORE COUNTY SCHOOLS,35.26049,-79.58103
WEST END ELEMENTARY SCHOOL,ALTOONA,AL,6795 HIGHWAY 132,35952,http://www/ecboe.org/wee,ELEMENTARY,PUBLIC,ETOWAH COUNTY,34.031673,-86.263504
WEST END ELEMENTARY SCHOOL,ROME,GA,5 BROWN FOX DR SW,30165,https://www.rcs.rome.ga.us,ELEMENTARY,PUBLIC,ROME CITY,34.270115,-85.23248
WEST END HIGH SCHOOL,WALNUT GROVE,AL,4515 ELM ST,35990,https://www.ecboe.org/wehs,HIGH,PUBLIC,ETOWAH COUNTY,34.06379,-86.30253
WEST END MEMORIAL ELEMENTARY SCHOOL,WOODBURY,NJ,215 QUEEN STREET,08096,https://www.woodburysch.com/westend,ELEMENTARY,PUBLIC,WOODBURY CITY PUBLIC SCHOOL DISTRICT,39.83417,-75.162025
WEST END MIDDLE,NASHVILLE,TN,3529 WEST END AVE,37205,https://schools.mnps.org/west-end-middle-prep,MIDDLE,PUBLIC,DAVIDSON COUNTY,36.13211,-86.82424
WEST END MONTESSORI SCHOOL,RICHMOND,VA,9307 QUIOCCASIN RD,23229,,ELEMENTARY,PRIVATE,,37.606617,-77.57978
WEST END SCHOOL,LYNBROOK,NY,30 CLARK AVE,11563,https://www.lynbrookschools.org,ELEMENTARY,PUBLIC,LYNBROOK UNION FREE SCHOOL DISTRICT,40.66305,-73.67982
WEST END SCHOOL,N PLAINFIELD,NJ,447 GREENBROOK RD,07060,https://npwee.nplainfield.org/,ELEMENTARY,PUBLIC,NORTH PLAINFIELD SCHOOL DISTRICT,40.612038,-74.448715
WEST END SECONDARY SCHOOL,NEW YORK,NY,227-243 W 61ST ST,10023,http://www.westendsecondary.com,MIDDLE,PUBLIC,NEW YORK CITY GEOGRAPHIC DISTRICT # 3,40.772533,-73.98835
WEST ENGLEWOOD ELEM.,KANSAS CITY,MO,1506 NW ENGLEWOOD RD,64118,http://www.nkcschools.org/wees/,ELEMENTARY,PUBLIC,NORTH KANSAS CITY 74,39.197033,-94.59864
WEST ESSEX HIGH SCHOOL,NORTH CALDWELL,NJ,65 WEST GREENBROOK RD,07006,https://www.westex.org/,HIGH,PUBLIC,WEST ESSEX REGIONAL SCHOOL DISTRICT,40.868862,-74.270035
WEST ESSEX MIDDLE SCHOOL,NORTH CALDWELL,NJ,65 WEST GREENBROOK RD,07006,https://ms.westex.org/,MIDDLE,PUBLIC,WEST ESSEX REGIONAL SCHOOL DISTRICT,40.87401,-74.26581
WEST FAIRMONT MIDDLE SCHOOL,FAIRMONT,WV,110 TENTH STREET,26554,,MIDDLE,PUBLIC,MARION COUNTY SCHOOLS,39.46998,-80.14808
