SALAMONIE SCHOOL, WARREN, IN, 1063 E 900 S
SILAS DEANE MIDDLE SCHOOL, WETHERSFIELD, CT, 551 SILAS DEANE HWY.
SILAS WOOD 6TH GRADE CENTER, HUNTINGTON STATION, NY, 23 HARDING PL
SILETZ VALLEY EARLY COLLEGE ACADEMY, SILETZ, OR, 245 JAMES FRANK AVE NW
SILEX ELEM., SILEX, MO, 64 HWY UU
SILICON VALLEY ADULT EDUCATION PROGRAM, SAN JOSE, CA, 760 HILLSDALE AVE.
SILVER BAY ELEMENTARY SCHOOL, TOMS RIVER, NJ, 100 SILVER BAY ROAD
SILVER CITY ELEM, KANSAS CITY, KS, 2515 LAWRENCE AVE
SILVER CREEK EL, AZLE, TX, 10300 S F M 730
SILVER CREEK ELEMENTARY, THORNTON, CO, 15101 FILLMORE STRE
SILVER CREEK ELEMENTARY, TROY, IL, 209 N DEWEY ST
SILVER CREEK ELEMENTARY SCHOOL, BEREA, KY, 75 OLD US 25 N
SILVER CREEK ELEMENTARY SCHOOL, SILVER CREEK, NY, 1 DICKINSON ST
SILVER CREEK HIGH SCHOOL, HAILEY, ID, 1060 FOX ACRES ROAD
SILVER CREEK HIGH SCHOOL, LONGMONT, CO, 4901 NELSON ROAD
SILVER FIRS ELEMENTARY, EVERETT, WA, 5909 146TH PL. SE
SILVER HILL HORACE MANN CHARTER SCHOOL, HAVERHILL, MA, 675 WASHINGTON STREET
SILVER HILLS ELEMENTARY SCHOOL, OSBURN, ID, 1246 EAST MULLAN AVENUE
SILVER HILLS MIDDLE SCHOOL, NORTHGLENN, CO, 12400 HURON STREET
SILVER HILLS SCHOOL, KEARNS, UT, 5770 W 5100 S
SILVER LAKE EL, GRAPEVINE, TX, 1301 N DOOLEY
SILVER LAKE ELEMENTARY - EVERETT, EVERETT, WA, 12815 BOTHELL-EVERETT HWY.
SILVER LAKE ELEMENTARY SCHOOL, MIDDLETOWN, DE, 200 EAST COCHRAN STREET
SILVER LAKE INTERMEDIATE, OCONOMOWOC, WI, 555 OCONOMOWOC PKWY
SILVER OAK ACADEMY, KEYMAR, MD, 999 CROUSE MILL RD
SILVER OAK HIGH PUBLIC MONTESSORI CHARTER, HAYWARD, CA, 951 PALISADE ST.
SILVER PALMS ELEMENTARY SCHOOL, PEMBROKE PINES, FL, 1209 NW 155TH AVE
SILVER RAIL ELEMENTARY SCHOOL, BEND, OR, 61530 SE STONE CREEK ST
SILVER RIDGE ELEMENTARY, SILVERDALE, WA, 10622 HILLSBORO DR NW
SILVER RIDGE ELEMENTARY SCHOOL, DAVIE, FL, 9100 SW 36TH ST
SILVER SAGE ELEMENTARY SCHOOL, BOISE, ID, 7700 SNOHOMISH STREET
SILVER SANDS MIDDLE SCHOOL, PORT ORANGE, FL, 1300 HERBERT ST
SILVER SANDS MONTESSORI, HENDERSON, NV, 1841 WHITNEY MESA DRIVE
SILVER SPRING EL SCH, MECHANICSBURG, PA, 6746 CARLISLE PIKE
SILVER SPRING SCHOOL, EAST PROVIDENCE, RI, 120 SILVER SPRING AVENUE
SILVER SPRINGS ELEMENTARY SCHOOL, NORTHVILLE, MI, 19801 SILVER SPRING DR
SILVER SPRINGS HIGH (CONTINUATION), GRASS VALLEY, CA, 130 PARK AVE.
SILVER STAGE ELEMENTARY SCHOOL, SILVER SPRINGS, NV, 3900 W SPRUCE STREET
SILVER STAR ELEMENTARY SCHOOL, VANCOUVER, WA, 10500 NE 86TH STREET
SILVER TRAIL ELEMENTARY SCHOOL, MERIDIAN, ID, 2950 WEST MASON CREEK ROAD
SILVER VALLEY CHRISTIAN ACADEMY, KELLOGG, ID, 16 E RIVERSIDE AVE
SILVERADO ELEMENTARY, SILVERADO, CA, 7531 SANTIAGO CANYON RD.
SILVERADO HIGH SCHOOL, LAS VEGAS, NV, 1650 SILVER HAWK AVE.
SILVERADO MIDDLE, NAPA, CA, 1133 COOMBSVILLE RD.
SILVERADO MIDDLE, ROSEVILLE, CA, 2525 COUNTRY CLUB DR.
SILVERCREEK ADVENTIST SCHOOL, MORGANTON, NC, 2195 JAMESTOWN RD
SILVERTON ELEMENTARY SCHOOL, SILVERTON, CO, 1160 SNOWDEN STREET
SIMAS (JOSEPH M.) ELEMENTARY, HANFORD, CA, 1875 FITZGERALD
SIMLA ELEMENTARY SCHOOL, SIMLA, CO, 619 PUEBLO ST
SIMMONS COLLEGE OF KENTUCKY, LOUISVILLE, KY, 1018 SOUTH 7TH STREET
SIMMONS HIGH SCHOOL, HOLLANDALE, MS, 501 WEST WASHINGTON STREET
SIMMONS MIDDLE SCHOOL, OAK LAWN, IL, 6450 W 95TH ST
SIMON RODIA CONTINUATION, SOUTH GATE, CA, 2701 SEQUOIA DR.
SIMON SANCHEZ HIGH SCHOOL, YIGO, GU, 395 JUAN JACINTO ROAD
SIMONDS ELEMENTARY SCHOOL, WARNER, NH, 14 CHURCH ST.
SIMONS MIDDLE SCHOOL, FLEMINGSBURG, KY, 242 W WATER ST
SIMONSDALE ELEMENTARY, PORTSMOUTH, VA, 4841 CLIFFORD STREET
SIMONTON CHRISTIAN ACADEMY, SIMONTON, TX, 9703 FM 1489
SIMONTON ELEMENTARY SCHOOL, LAWRENCEVILLE, GA, 275 SIMONTON RD
SIMPSON COLLEGE, INDIANOLA, IA, 701 NORTH C ST
SIMPSON COUNTY ACADEMY, MENDENHALL, MS, 124 ACADEMY DR
SIMPSON COUNTY ACHIEVEMENT CENTER, MAGEE, MS, 177 SIMPSON HWY 149
SIMPSON ELEM, RUSSELL, KS, 1323 N MAIN
SIMPSON ELEMENTARY SCHOOL, BRIDGEPORT, WV, 250 WORTHINGTON DR
SIMPSON MIDDLE SCHOOL, MARIETTA, GA, 3340 TRICKUM RD NE
SIMPSON UNIVERSITY, REDDING, CA, 2211 COLLEGE VIEW DRIVE
SIMSBORO HIGH SCHOOL, SIMSBORO, LA, 1 TIGER DRIVE
SINAI AKIBA ACADEMY, LOS ANGELES, CA, 10400 WILSHIRE BLVD.
SINAI ELEMENTARY, HALIFAX, VA, 1011 SINAI ELEMENTARY DRIVE
SINAI HIGH SCHOOL AT TABC, TEANECK, NJ, 1600 QUEEN ANNE RD
SINAI SCHOOL AT RYNJ, RIVER EDGE, NJ, 666 KINDERKAMACK RD
SINCLAIR COMMUNITY COLLEGE - ENGLEWOOD CAMPUS, ENGLEWOOD, OH, 1150 WEST NATIONAL
SINCLAIR EL, SAN ANTONIO, TX, 6126 SINCLAIR RD
SINCLAIRVILLE ELEMENTARY SCHOOL, SINCLAIRVILLE, NY, 43 SINCLAIR DR
SINCLEAR ELEMENTARY, CERES, CA, 1211 HACKETT RD.
SINGER HIGH SCHOOL, SINGER, LA, 153 HIGHWAY 110 EAST
SINKING FORK ELEMENTARY SCHOOL, HOPKINSVILLE, KY, 5005 PRINCETON RD
SINTON H S, SINTON, TX, 400 N PIRATE BLVD
SIOUX CENTER CHRISTIAN SCHOOL, SIOUX CENTER, IA, 630 1ST AVE SE
SIOUX CENTRAL ELEMENTARY SCHOOL, SIOUX RAPIDS, IA, 4440 U.S. HWY 71
SIOUX COUNTY HIGH SCHOOL, HARRISON, NE, 435 KATE
SIOUX FALLS LUTHERAN SCHOOL, SIOUX FALLS, SD, 308 W 37TH ST
SIOUX VALLEY ELEMENTARY - 02, VOLGA, SD, 200 HANSINA AVE
SIPSEY VALLEY MIDDLE SCHOOL, BUHL, AL, 15815 ROMULUS RD
SISK ELEMENTARY, SALIDA, CA, 5337 SUGAR CREEK LN.
SISSETON WAHPETON COLLEGE, SISSETON, SD, 12572 BIA RD 700
SISSONVILLE ELEMENTARY SCHOOL, SISSONVILLE, WV, 8324 SISSONVILLE DRIVE
SISSONVILLE MIDDLE SCHOOL, CHARLESTON, WV, 100 MIDDLE SCHOOL LANE
SISTEMA UNIVERSITARIO ANA G. MENDEZ, RIO PIEDRAS, PR, UNIVERSIDAD ANA G. MÉNDEZ, 1399 AVE. ANA G. MÉNDEZ
SISTER CLARA MUHAMMAD SCHOOL, CORONA, NY, 10302 NORTHERN BLVD
SISTER LAKES ELEMENTARY SCHOOL, BENTON HARBOR, MI, 68079 M 152
SISTER ROBERT JOSEPH BAILEY ELEMENTARY SCHOOL, LAS VEGAS, NV, 4525 JIMMY DURANTE BLVD.
SISTER THEA BOWMAN, EAST SAINT LOUIS, IL, 8213 CHURCH LN
SISTER THEA BOWMAN CATHOLIC SCHOOL, JACKSON, MS, 1217 HATTIESBURG ST
SISTERS ACADEMY OF BALTIMORE, BALTIMORE, MD, 139 FIRST AVE
SISTERS HIGH SCHOOL, SISTERS, OR, 1700 W MCKINNEY BUTTE RD
SISTERSVILLE ELEMENTARY SCHOOL, SISTERSVILLE, WV, 651 SCHOOL ROAD
SIT GRADUATE INSTITUTE, BRATTLEBORO, VT, 1 KIPLING RD
SIT GRADUATE INSTITUTE - WASHINGTON DC CAMPUS, WASHINGTON, DC, 1015 15TH STREET, NW
SITTING BULL SCHOOL, LITTLE EAGLE, SD, P.O. BOX 26
SITTON ELEMENTARY SCHOOL, PORTLAND, OR, 9930 N SMITH ST
SIX DIRECTIONS INDIGENOUS SCHOOL, GALLUP, NM, 203 E PINE AVE
SIX MILE ELEMENTARY, SIX MILE, SC, 777 NORTH MAIN STREET
SIX RIVERS CHARTER HIGH, ARCATA, CA, 1720 M ST.
SIX-SIX MAGNET SCHOOL, BRIDGEPORT, CT, 601 PEARL HARBOR ST.
SIXTEENTH & HAAK EL SCH, READING, PA, 1601 HAAK ST
SIXTEENTH AVENUE SCHOOL, ELMWOOD PARK, NJ, 73 SIXTEENTH AVENUE
SIXTH AVENUE ELEMENTARY SCHOOL, AURORA, CO, 560 VAUGHN ST
SIXTH GRADE ACADEMY, POJOAQUE, NM, 1574 STATE RD 502
SIXTH GRADE CHARTER ACADEMY AT PETALUMA JR. HIGH, PETALUMA, CA, 700 BANTAM WAY
SIXTH STREET ELEMENTARY, SILVER CITY, NM, 405 WEST 6TH
SIXTH STREET PREP, VICTORVILLE, CA, 15476 SIXTH ST.
SIXTH WARD ELEMENTARY SCHOOL, PEARL RIVER, LA, 72360 HIGHWAY 41
SIXTH WARD ELEMENTARY SCHOOL, VACHERIE, LA, 3245 VALCOUR AIME STREET
SIXTH WARD MIDDLE SCHOOL, THIBODAUX, LA, 1865 CHOCTAW ROAD
SIXTY-FIRST STREET ELEMENTARY, LOS ANGELES, CA, 6020 S. FIGUEROA ST.
SIZER SCHOOL: A NORTH CENTRAL CHARTER ESSENTIAL SCHOOL, FITCHBURG, MA, 500 RINDGE ROAD
SKAGGS EL, PLANO, TX, 3201 RUSSELL CREEK DR
SKAGIT ADVENTIST ACADEMY, BURLINGTON, WA, 530 N SECTION ST
SKAGIT COUNTY DETENTION CENTER, MOUNT VERNON, WA, 605 3RD ST
SKAGIT VALLEY COLLEGE - SAN JUAN CENTER, FRIDAY HARBOR, WA, 221 WEBER WAY
SKAGIT VALLEY COLLEGE - WHIDBEY ISLAND CAMPUS, OAK HARBOR, WA, 1900 SE PIONEER WAY
SKAITH ELEM., ST JOSEPH, MO, 4701 SCHOOLSIDE LN
SKANEATELES MIDDLE SCHOOL, SKANEATELES, NY, 35 EAST ST
SKANO ELEMENTARY SCHOOL, CLIFTON PARK, NY, 970 RT 146
SKELLY ELEMENTARY SCHOOL, EL DORADO, KS, 951 SKELLY STREET
SKIDMORE COLLEGE, SARATOGA SPRINGS, NY, 815 N BROADWAY
SKIDMORE-TYNAN H S, SKIDMORE, TX, 213 W WALTON
SKILES TEST ELEMENTARY SCHOOL, INDIANAPOLIS, IN, 7001 JOHNSON RD
SKILL SOURCE, WENATCHEE, WA, 233 CHELAN ST
SKILL SOURCE LEARNING CENTER, MOSES LAKE, WA, 309 E. 5TH AVE.
SKIN SCIENCE INSTITUTE - UTAH COUNTY CAMPUS, OREM, UT, 360 SOUTH STATE STREET, SUITE 144
SKINNER EL, BROWNSVILLE, TX, 411 W ST CHARLES ST
SKINNER ELEMENTARY MONTESSORI SCHOOL, VANCOUVER, WA, 5001 N E 66TH AVE
SKINNER MAGNET CENTER, OMAHA, NE, 4304 N 33RD ST
SKINNER NORTH ELEM SCH, CHICAGO, IL, 640 W SCOTT ST
SKINNER ROAD SCHOOL, VERNON, CT, 90 SKINNER RD.
SKIPCHA EL, HARKER HEIGHTS, TX, 515 PROSPECTOR TRL
SKIPWITH ELEMENTARY, RICHMOND, VA, 2401 SKIPWITH RD
SKOFF ELEMENTARY, ROMEOVILLE, IL, 775 W NORMANTOWN RD
SKOI-YASE SCHOOL, WATERLOO, NY, 65 FAYETTE ST
SKOWHEGAN AREA HIGH SCHOOL, SKOWHEGAN, ME, 61 ACADEMY CIRCLE
SKY ACADEMY ENGLEWOOD, ENGLEWOOD, FL, 881 S RIVER RD
SKY ACADEMY VENICE, VENICE, FL, 701 CENTER RD
SKY COUNTRY ELEMENTARY, JURUPA VALLEY, CA, 5520 LUCRETIA AVE.
SKY HARBOUR EL, SAN ANTONIO, TX, 5902 FISHERS BEND
SKY ISLANDS, TUCSON, AZ, 6000 E. 14TH ST.
SKY MOUNTAIN CHARTER, PLACERVILLE, CA, 4535 MISSOURI FLAT RD.
SKY OAKS ELEMENTARY, BURNSVILLE, MN, 100 E 134TH ST
SKY RANCH ES, OKLAHOMA CITY, OK, 9501 SOUTH WESTERN AVENUE
SKY VALLEY ADVENTIST SCHOOL, MONROE, WA, 200 ACADEMY WAY
SKY VALLEY EDUCATION CENTER, MONROE, WA, 351 SHORT COLUMBIA ST.
SKY VIEW HIGH, SMITHFIELD, UT, 520 S 250 E
SKY VIEW MIDDLE SCHOOL, BEND, OR, 63555 NE 18TH ST
SKYKOMISH ELEMENTARY SCHOOL, SKYKOMISH, WA, 105 6TH ST. N
SKYLAND ELEMENTARY, GREER, SC, 4221 HIGHWAY 14 NORTH
SKYLAND ELEMENTARY SCHOOL, TUSCALOOSA, AL, 2605 SOUTHVIEW DRIVE
SKYLARK ELEMENTARY, GARDEN GROVE, CA, 11250 MACMURRAY ST.
SKYLINE ELEMENTARY, LAKE STEVENS, WA, 1033 91ST AVE SE
SKYLINE ELEMENTARY, SOLANA BEACH, CA, 606 LOMAS SANTA FE DR.
SKYLINE ELEMENTARY SCHOOL, ELKHORN, NE, 400 S 210TH ST
SKYLINE ES, STILLWATER, OK, 1402 EAST SUNRISE
SKYLINE EVENING HIGH, OAKLAND, CA, 12250 SKYLINE BLVD.
SKYLINE HEIGHTS ELEM. SCHOOL, HARRISON, AR, 1120 W HOLT AVE
SKYLINE HIGH, FRONT ROYAL, VA, 151 SKYLINE VISTA DRIVE
SKYLINE HIGH SCHOOL, ANN ARBOR, MI, 2552 NORTH MAPLE RD
SKYLINE HIGH SCHOOL, SCOTTSBORO, AL, 897 COUNTY ROAD 25
SKYLINE MATH AND SCIENCE ACADEMY, COLUMBIA HEIGHTS, MN, 3989 CENTRAL AVE NE
SKYLINE MIDDLE SCHOOL, WILMINGTON, DE, 2900 SKYLINE DRIVE
SKYLINE NORTH ELEMENTARY, BARSTOW, CA, 36968 CAMARILLO AVE.
SKYLINE PREP HIGH SCHOOL, PHOENIX, AZ, 7500 N 40TH STREET
SKYLINE SENIOR HIGH SCHOOL, IDAHO FALLS, ID, 1767 BLUE SKY DRIVE
SKYLINE VISTA ELEMENTARY SCHOOL, DENVER, CO, 7395 ZUNI STREET
SKYRIDGE ELEMENTARY, AUBURN, CA, 800 PERKINS WAY
SKYRIDGE HIGH SCHOOL, LEHI, UT, 3000 NORTH CENTER STREET
SKYRIDGE MIDDLE SCHOOL, CAMAS, WA, 5220 NW PARKER STREET
SKYUKA HALL, CHATTANOOGA, TN, 1200 MOUNTAIN CREEK RD
SKYVIEW ACADEMY, HIGHLANDS RANCH, CO, 6161 BUSINESS CENTER DRIVE
SKYVIEW COMMUNITY ELEMENTARY, OAKDALE, MN, 1100 HERON AVE N
SKYVIEW ELEMENTARY SCHOOL, LIZELLA, GA, 5700 FULTON MILL RD
SKYVIEW ELEMENTARY SCHOOL, MORGANTOWN, WV, 668 RIVER ROAD
SKYVIEW ELEMENTARY SCHOOL, PINELLAS PARK, FL, 8601 60TH ST N
SKYVIEW ELEMENTARY SCHOOL, THORNTON, CO, 5021 EAST 123RD AVENUE
SKYVIEW ELEMENTARY SCHOOL, WINDSOR, CO, 1000 STONE MOUNTAIN DRIVE
SKYVIEW ES, YUKON, OK, 650 SOUTH YUKON PARKWAY
SKYVIEW HIGH SCHOOL, BILLINGS, MT, 1775 HIGH SIERRA BLVD
SKYVIEW HIGH SCHOOL, BUCKEYE, AZ, 4290 S MILLER RD
SKYVIEW HIGH SCHOOL, NAMPA, ID, 1303 E GREENHURST
SKYVIEW HIGH SCHOOL, VANCOUVER, WA, 1300 NW 139TH ST
SKYVIEW MIDDLE SCHOOL, BOTHELL, WA, 21404 35 AV SE
SKYVIEW MIDDLE SCHOOL, SOLDOTNA, AK, 46188 STERLING HWY
SKYVIEW SCHOOL, MOUNTAIN GROVE, MO, 502 W FIFTH ST
SKYVUE ELEMENTARY SCHOOL, GRAYSVILLE, OH, 33329 HARTSHORN RIDGE RD
SKYWARD ACADEMY, CINCINNATI, OH, 9994 ZIG ZAG RD
SKYWAY ELEMENTARY, CALDWELL, ID, 19430 WARD ROAD
SKYVUE ELEMENTARY SCHOOL, GRAYSVILLE, OH, 33329 HARTSHORN RIDGE RD
SKYWAY PARK ELEMENTARY SCHOOL, COLORADO SPRINGS, CO, 1100 MERCURY DRIVE
SLADE ELEMENTARY, LARAMIE, WY, 1212 BAKER
SLAM BOCA, BOCA RATON, FL, 22500 HAMMOCK ST
SLEEPY HOLLOW ELEMENTARY, ORINDA, CA, 20 WASHINGTON LN.
SMACKOVER HIGH SCHOOL, SMACKOVER, AR, 1 BUCKAROO LN
SMARTSTART DEVELOPMENTAL LEARNING CENTER, SANTA MONICA, CA, 2505 LINCOLN BLVD
SMEC ALC, WYKOFF, MN, 201 W BARLETT ST
SMILEY ELEMENTARY SCHOOL, LUDOWICI, GA, 1530 GA HIGHWAY 57
SMITH ACADEMY, HATFIELD, MA, 34 SCHOOL STREET
SMITH ELEMENTARY, RALEIGH, NC, 1101 MAXWELL DRIVE
SMITH MOUNTAIN LAKE CHRISTIAN ACADEMY, WIRTZ, VA, 2485B LOST MOUNTAIN RD
SMITH STREET ELEMENTARY SCHOOL, UNIONDALE, NY, 780 SMITH ST
SMITH VALLEY SCHOOLS, SMITH, NV, 20 DAY LANE
SMITH-COTTON HIGH SCHOOL, SEDALIA, MO, 2010 TIGER PRIDE BOULEVARD
SNELLING-MERCED FALLS ELEMENTARY, SNELLING, CA, 16099 N. HIGHWAY 59
SNOW HEIGHTS EL, NORTH RICHLAND HILLS, TX, 4801 VANCE RD
SNOW HILL MIDDLE, SNOW HILL, MD, 522 COULBOURNE LN
SNOWDEN ELEMENTARY/MIDDLE, MEMPHIS, TN, 1870 N PARKWAY
SNOWFLAKE JUNIOR HIGH SCHOOL, SNOWFLAKE, AZ, 1380 SOUTH MAIN STREET
SOAR ACADEMY, ASHLAND, VA, 13496 LIBERTY SCHOOL ROAD
SOAR LEARNING CENTER, SAINT ALBANS BAY, VT, 178 MCGINN DR
SOARING HEIGHTS SCHOOL, MOUNT WOLF, PA, 4880 N SHERMAN ST EXT
SOARING HEIGHTS SCHOOL, STATE COLLEGE, PA, 180 REGENT CT STE 50
SOCIAL SOUTH CENTRAL CMNTY SVC, CHICAGO, IL, 8316 S ELLIS AVE
SOLANCO HS, QUARRYVILLE, PA, 585 SOLANCO RD
SOLI DEO GLORIA, OAKLEY, CA, 4333 GOLD RUN DR.
SOLON INTERMEDIATE, SOLON, IA, 200 WEST 5TH ST
SOLON SPRINGS SCHOOL, SOLON SPRINGS, WI, 8993 E BALDWIN AVE
SOMERS INTERMEDIATE SCHOOL, SOMERS, NY, 240 RT 202
SOMERS SENIOR HIGH SCHOOL, LINCOLNDALE, NY, 120 PRIMROSE ST
SOMERSET ACADEMY EAST PREPARATORY, MIRAMAR, FL, 2000 S STATE ROAD 7
SOMERSET CAREER & TECHNICAL CENTER, SKOWHEGAN, ME, 61 ACADEMY CIRCLE
SOMERSET CHRISTIAN SCHOOL, SOMERSET, KY, 815 GRAND CENTRAL BLVD
SOMERSET CHRISTIAN SCHOOL, SOMERSET, PA, 708 STOYSTOWN RD STE 2
SOMERSET ELEMENTARY SCHOOL, SOMERSET, OH, 100 HIGH ST
SOMERSET HILLS LEARNING INSTITUTE, BEDMINSTER, NJ, 1810 BURNT MILLS RD
SOMERSET HILLS MONTESSORI SCHOOL, BASKING RIDGE, NJ, 173 MADISONVILLE RD
SOMERSWORTH HIGH SCHOOL, SOMERSWORTH, NH, 11 MEMORIAL DR.
SONIA SHANKMAN ORTHOGENIC SCHOOL, CHICAGO, IL, 6245 S INGLESIDE AVE
SOPRIS ELEMENTARY SCHOOL, GLENWOOD SPRINGS, CO, 1150 MOUNT SOPRIS DRIVE
SORENTO ELEM SCHOOL, SORENTO, IL, 510 S MAIN ST
SORGHO ELEMENTARY SCHOOL, OWENSBORO, KY, 5390 KY HWY 56
SOROCO MIDDLE SCHOOL, OAK CREEK, CO, 305 SOUTH GRANT STREET
SOTERIC ACADEMY, COSTA MESA, CA, 102 BAKER ST.
SOUTH ABINGTON SCH, CHINCHILLA, PA, 640 NORTHERN BOULEVARD
SOUTH ALBANY HIGH SCHOOL, ALBANY, OR, 3705 COLUMBUS ST SE
SOUTH AREA ADULT EDUCATION-DAY PROGRAM, MELBOURNE, FL, 1362 S BABCOCK ST
SOUTH AREA ALTERNATIVE LEARNING CENTER, MELBOURNE, FL, 2175 N WICKHAM RD
SOUTH AREA SECONDARY INTENSIVE TRANSITION PROGRAM, LAKE WORTH, FL, 1509 BARTON RD
SOUTH ARKANSAS CHRISTIAN SCHOOL, LEWISVILLE, AR, 1707 E FIRST ST
SOUTH ARKANSAS COMMUNITY COLLEGE, EL DORADO, AR, 300 S WEST AVE
SOUTH ASHEBORO MIDDLE, ASHEBORO, NC, 523 W WALKER AVE
SOUTH BAY ACADEMY COMMUNITY DAY, LAWNDALE, CA, 4409 REDONDO BEACH BLVD.
SOUTH BEAUREGARD ELEMENTARY SCHOOL, LONGVILLE, LA, 12378 HIGHWAY 171
SOUTH BEAVER DAM ELEMENTARY, BEAVER DAM, WI, W9787 COUNTY ROAD D
SOUTH BOSTON CATHOLIC ACADEMY, SOUTH BOSTON, MA, 866 E BROADWAY
SOUTH BRANCH VOCATIONAL SCHOOL, PETERSBURG, WV, 401 PIERPONT STREET
SOUTH BRANDYWINE MS, EAST FALLOWFIELD, PA, 600 DOE RUN RD
SOUTH BREEZE ELEMENTARY, NEWTON, KS, 1020 OLD MAIN
SOUTH BRISTOL ELEMENTARY SCHOOL, SOUTH BRISTOL, ME, 2024 STATE ROUTE 129
SOUTH BRONX CLASSICAL CHARTER SCHOOL II, BRONX, NY, 333 E 135TH ST
SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL, BRONX, NY, 639 SAINT ANNS AVE
SOUTH BROWARD HIGH SCHOOL, HOLLYWOOD, FL, 1901 N FEDERAL HWY
SOUTH BURLINGTON HIGH SCHOOL, SOUTH BURLINGTON, VT, 550 DORSET STREET
SOUTH BUTLER PRIMARY SCH, SAXONBURG, PA, 328 KNOCH ROAD
SOUTH CACHE MIDDLE SCHOOL, HYRUM, UT, 10 S 480 W
SOUTH CAMPUS, PALATINE, IL, 909 E WILMETTE RD STE F
SOUTH CENTRAL COLLEGE - FARIBAULT CAMPUS, FARIBAULT, MN, 1225 3RD STREET SW
SOUTH CENTRAL ELEMENTARY, CHUCKEY, TN, 2955 HIGHWAY 107
SOUTH CENTRAL ELEMENTARY, ELIZABETH, IN, 6595 E HWY 11 SE
SOUTH CENTRAL ELEMENTARY SCHOOL, GREENWICH, OH, 3291 GREENWICH ANGLING RD
SOUTH CENTRAL ELEMENTARY-KINMUNDY, KINMUNDY, IL, 810 E 1ST ST
SOUTH CENTRAL JR-SR HIGH SCHOOL, UNION MILLS, IN, 9808 S 600 W
SOUTH CENTRAL LOUISIANA TECHNICAL COLLEGE, MORGAN CITY, LA, 900 YOUNGS ROAD
SOUTH CENTRAL MIDDLE SCHOOL, EMERSON, GA, 224 OLD ALABAMA RD SE
SOUTH CENTRAL MIDDLE SCHOOL, PROTECTION, KS, 302 S JEFFERSON
SOUTH COLBY ELEMENTARY, PORT ORCHARD, WA, 3281 BANNER ROAD SE
SOUTH DAVIS JR HIGH, BOUNTIFUL, UT, 298 W 2600 S
SOUTH DODGE ELEMENTARY SCHOOL, EASTMAN, GA, 1118 MCRAE HWY
SOUTH DOUGLAS ELEMENTARY SCHOOL, DOUGLASVILLE, GA, 8299 HIGHWAY 166
SOUTH DOYLE HIGH SCHOOL, KNOXVILLE, TN, 2020 TIPTON STATION RD
SOUTH EARLY COLLEGE H S, HOUSTON, TX, 1930 AIRPORT BLVD
SOUTH ELEM SCHOOL, GLENCOE, IL, 266 LINDEN AVE
SOUTH ELEM., ELDON, MO, 1210 S MAPLE ST
SOUTH ELEM., OZARK, MO, 1250 W SOUTH ST
SOUTH ELEMENTARY, MOORESVILLE, NC, 839 S MAGNOLIA ST
SOUTH ELEMENTARY, PLYMOUTH, MA, 178 BOURNE RD
SOUTH ELEMENTARY, STOUGHTON, MA, 171 ASH STREET
SOUTH ELEMENTARY CENTER, SAINT PETER, MN, 1405 S 7TH ST
SOUTH ELEMENTARY SCHOOL, BRIGHTON, CO, 305 SOUTH 5TH AVENUE
SOUTH ELEMENTARY SCHOOL, CHILLICOTHE, IL, 616 W HICKORY ST
SOUTH ELEMENTARY SCHOOL, DOVER, OH, 280 E SHAFER AVE
SOUTH ELEMENTARY SCHOOL, HUDSONVILLE, MI, 4900 40TH
SOUTH ELEMENTARY SCHOOL, ITHACA, MI, 400 WEBSTER ST
SOUTH ELEMENTARY SCHOOL, MADISON, OH, 92 E MAIN ST
SOUTH ELEMENTARY SCHOOL, MARTINSVILLE, IN, 500 E MAHALASVILLE RD
SOUTH ELEMENTARY SCHOOL, OKEECHOBEE, FL, 2468 SW 7TH AVE
SOUTH ELEMENTARY SCHOOL, STOCKPORT, OH, 3555 STATE ROUTE 792
SOUTH ELEMENTARY SCHOOL, URBANA, OH, 725 S MAIN ST
SOUTH ELEMENTARY SCHOOL, WATERVLIET, MI, 433 LUCINDA LN
SOUTH ELEMENTARY SCHOOL, WINDSOR LOCKS, CT, 87 SOUTH ST.
SOUTH END ELEMENTARY SCHOOL, PLANTSVILLE, CT, 10 MAXWELL-NOBLE DRIVE
SOUTH EUGENE HIGH SCHOOL, EUGENE, OR, 400 E 19TH AVE
SOUTH FANT SCHOOL OF EARLY EDUCATION, ANDERSON, SC, 1700 SOUTH FANT STREET
SOUTH FAYETTE TWP EL SCH, MCDONALD, PA, 3620 OLD OAKDALE RD
SOUTH FENTRESS ELEMENTARY SCHOOL, GRIMSLEY, TN, 5018 WILDER RD
SOUTH FLORENCE HIGH, FLORENCE, SC, 3200 SOUTH IRBY STREET
SOUTH FLORIDA AUTISM CHARTER SCHOOL INC, HIALEAH, FL, 18305 NW 75TH PL
SOUTH FLORIDA STATE COLLEGE, AVON PARK, FL, 600 W COLLEGE DR
SOUTH FORK ELEMENTARY SCHOOL, DENHAM SPRINGS, LA, 23000 WALKER ROAD SOUTH
SOUTH GREENVILLE ELEMENTARY, GREENVILLE, NC, 811 HOWELL ST
SOUTH HANCOCK ELEMENTARY SCHOOL, HAWESVILLE, KY, 8631 STATE RT 69
SOUTH HARRISON TOWNSHIP ELEMENTARY SCHOOL, HARRISONVILLE, NJ, 904 MULLICA HILL RD
SOUTH HAVEN ALLIANCE CAMPUS, SOUTH HAVEN, MI, 125 VETERANS DR
