Standard Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibra Hospital of Southeastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices Effective July 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item/Service/Service Package Description,CPT/HCPCS Code,DRG/CMG,NDC,Other Accounting/ Revenue Codes,Rx Charge Quantity,Inpatient Default Gross Charge,Outpatient Default Gross Charge,Discounted Cash Price,De-identified Minimum Negotiated Payer Specific Charge,De-identified Maximum Negotiated Payer Specific Charge,ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 744,"ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
Auto 759/ WC 34","ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
MR  884",Aetna  720,Aetna Medicare Advantage,Affinity Hospice,AHLIC PPO MR  962 (Aetna),BC/BS of Michigan 600,BC/BS of Michigan 600,"Beaumont Health
Formerly OAKWOOD ACO 314",Blue Care Network Michigan   230,Blue Care Network of Michigan Medicare Adv  712,Cofinity/PPOM   500,Consumers Mutual Ins of MI,DMC CARE  747,Ethix 711,Fidelis Secure Med Adv 961,Fidelis Securecare DR 960,Trusted Health Plan (formerly Harbor Health Choice) 734,Trusted Health Plan (formerly Harbor Health Advantage) MR 982,Health Alliance Plan 725 (PHP),Health Alliance Medicare Senior Plus and Medicare PPO,Health Payors Organization  717,HealthPlus of Michigan (HPM) MR,Humana-Choice Care 718,Integrated Health Plan 712,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,Medicare,MediNcrease,MediNcrease WC,Paradigm Specialty Network (Formerly AdvaNet) WC,"Wellcare DR (previously Meridian Health Plan DR)
*Only Name change*
","Wellcare MR ( Previously Meridian Health Plan MR)
* Only Name change*","Wellcare Health Plan (Previously Meridian Health Plan)
*Name change only*","Wellcare Health Plan MICHILD (Previously Meridian Health Plan MICHILD)
*Name change only*",Midwest Health Plan,Molina MR,Molina DR,Molina Marketplace,"Multiplan Primary 
Network - PHCS, PHCS Savility, HealthEOS Network
 715","Multiplan Complimentary 737
Multiplan, Value point
 737","Multiplan WC 54
Multiplan, Value Point
 617","Multiplan Auto 618
Multiplan, Value Point
 618",National Providers Network (NPN) 719,Preferred Hlth 750,Priority Health Choice,Priority Health Choice,Priority Health Choice MR,"Provider Network of America
Wrap/TPA",Three Rivers Hospital Network,Tricare East -Humana Government Business,Tricare East -Humana Government Business,"Total Healthcare Comm 319, Medicare Adv 727","Total Healthcare Comm 319, Medicare Adv 727",Total Healthcare DR 231,Total Healthcare DR 231,UHC Community Commercial 318,UHC Community MME 905,UHC Community MR 710,UHC Community MR 710,UHC Community DR 904,"VA Administration
(Not contracted)",VA Community Care Network (VA CCN)
ST COG SKILL EVAL 1H,,,,444,,465.57,,,,,372,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,372,,,,,,,326,,,349,,,,,419,,,,,,,,,,,,279,,,326,,,,,372,372,372,100% LTAH PPS,,,,,,,,,,225,
ST COG SKIL EV AD 30,,,,444,,210.39,,,,,168,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,168,,,,,,,147,,,158,,,,,189,,,,,,,,,,,,126,,,147,,,,,168,168,168,100% LTAH PPS,,,,,,,,,,102,
DYSPHAGIA BEDSIDE EV,,,,444,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
ST ENDOSCPY SWAL TST,,,,444,,335,,,,,268,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,268,,,,,,,235,,,251,,,,,302,,,,,,,,,,,,201,,,235,,,,,268,268,268,100% LTAH PPS,,,,,,,,,,162,
OT VISIT,,,,444,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
EMERGENCY RM SERVICE,,,,450,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
ER SERVICES,,,,450,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
BRONCH PROV EVAL W/A,,,,460,,984.95,,,,,788,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,788,,,,,,,689,,,739,,,,,886,,,,,,,,,,,,591,,,689,,,,,788,788,788,100% LTAH PPS,,,,,,,,,,476,
PULM STRES TST CMPLX,,,,460,,984.95,,,,,788,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,788,,,,,,,689,,,739,,,,,886,,,,,,,,,,,,591,,,689,,,,,788,788,788,100% LTAH PPS,,,,,,,,,,476,
CO2 GAS INFR ANALYZR,,,,460,,983.75,,,,,787,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,787,,,,,,,689,,,738,,,,,885,,,,,,,,,,,,590,,,689,,,,,787,787,787,100% LTAH PPS,,,,,,,,,,475,
SPONTANEOUR NYSTAGMU,,,,470,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
SINUSODIAL AXIS ROTA,,,,471,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
2D ECHO DOPPLER,,,,480,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
US DOPPLER COLOR FLO,,,,480,,2042.95,,,,,"1,634",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"1,634",,,,,,,"1,430",,,"1,532",,,,,"1,839",,,,,,,,,,,,"1,226",,,"1,430",,,,,"1,634","1,634","1,634",100% LTAH PPS,,,,,,,,,,987,
PULSED WAVE CONT WAV,,,,480,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CARDIOLOGY,,,,480,,1.25,,,,,1,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,1,1,100% LTAH PPS,,,,,,,,,,1,
ECHO DOPLR LTD STDY,,,,483,,451,,,,,361,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,361,,,,,,,316,,,338,,,,,406,,,,,,,,,,,,271,,,316,,,,,361,361,361,100% LTAH PPS,,,,,,,,,,218,
TTE COMPL SPC&COLR,,,,483,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
DUPLEX CAROTID SONOG,,,,483,,1404.95,,,,,"1,124",,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,"1,124",,,,,,,983,,,"1,054",,,,,"1,264",,,,,,,,,,,,843,,,983,,,,,"1,124","1,124","1,124",100% LTAH PPS,,,,,,,,,,679,
US DOPPLER ECHO HEAR,,,,483,,1201.7,,,,,961,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,961,,,,,,,841,,,901,,,,,"1,082",,,,,,,,,,,,721,,,841,,,,,961,961,961,100% LTAH PPS,,,,,,,,,,580,
US ECHO THORACIC 2D,,,,483,,2638.7,,,,,"2,111",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"2,111",,,,,,,"1,847",,,"1,979",,,,,"2,375",,,,,,,,,,,,"1,583",,,"1,847",,,,,"2,111","2,111","2,111",100% LTAH PPS,,,,,,,,,,"1,274",
2D-ECHO W/DOPP C/F,,,,483,,2478.85,,,,,"1,983",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"1,983",,,,,,,"1,735",,,"1,859",,,,,"2,231",,,,,,,,,,,,"1,487",,,"1,735",,,,,"1,983","1,983","1,983",100% LTAH PPS,,,,,,,,,,"1,197",
2D ECHO DOPPLER,,,,483,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
US DOPPLER ECHO COMP,,,,483,,1201.7,,,,,961,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,961,,,,,,,841,,,901,,,,,"1,082",,,,,,,,,,,,721,,,841,,,,,961,961,961,100% LTAH PPS,,,,,,,,,,580,
US DOPPLER COLOR FLO,,,,483,,2042.95,,,,,"1,634",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"1,634",,,,,,,"1,430",,,"1,532",,,,,"1,839",,,,,,,,,,,,"1,226",,,"1,430",,,,,"1,634","1,634","1,634",100% LTAH PPS,,,,,,,,,,987,
US ECHO THORACIC 2D,,,,483,,2638.7,,,,,"2,111",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"2,111",,,,,,,"1,847",,,"1,979",,,,,"2,375",,,,,,,,,,,,"1,583",,,"1,847",,,,,"2,111","2,111","2,111",100% LTAH PPS,,,,,,,,,,"1,274",
EKG 2D LTD STUDY,,,,483,,651,,,,,521,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,521,,,,,,,456,,,488,,,,,586,,,,,,,,,,,,391,,,456,,,,,521,521,521,100% LTAH PPS,,,,,,,,,,314,
NO CHARGE,,,,500,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
INITIAL ASSESS/PLAN,,,,510,,210.9,,,,,169,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,169,,,,,,,148,,,158,,,,,190,,,,,,,,,,,,127,,,148,,,,,169,169,169,100% LTAH PPS,,,,,,,,,,102,
RE-ASSESSMENT/INTERV,,,,510,,187.95,,,,,150,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,150,,,,,,,132,,,141,,,,,169,,,,,,,,,,,,113,,,132,,,,,150,150,150,100% LTAH PPS,,,,,,,,,,91,
WOUND CARE CLINIC EA,,,,510,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
ASBESTOSIS PHYSICAL,,,,510,,134.2,,,,,107,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,107,,,,,,,94,,,101,,,,,121,,,,,,,,,,,,81,,,94,,,,,107,107,107,100% LTAH PPS,,,,,,,,,,65,
AUDIOMETRY,,,,510,,76.7,,,,,61,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,61,,,,,,,54,,,58,,,,,69,,,,,,,,,,,,46,,,54,,,,,61,61,61,100% LTAH PPS,,,,,,,,,,37,
BASIC EMPLOYMNT PHYS,,,,510,,163.6,,,,,131,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,131,,,,,,,115,,,123,,,,,147,,,,,,,,,,,,98,,,115,,,,,131,131,131,100% LTAH PPS,,,,,,,,,,79,
DISABILITY FORMS,,,,510,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
DOT PHYSICAL,,,,510,,172.55,,,,,138,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,138,,,,,,,121,,,129,,,,,155,,,,,,,,,,,,104,,,121,,,,,138,138,138,100% LTAH PPS,,,,,,,,,,83,
EKG,,,,510,,271,,,,,217,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,217,,,,,,,190,,,203,,,,,244,,,,,,,,,,,,163,,,190,,,,,217,217,217,100% LTAH PPS,,,,,,,,,,131,
FOLLOW-UP LOW COMP,,,,510,,90.8,,,,,73,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,73,,,,,,,64,,,68,,,,,82,,,,,,,,,,,,54,,,64,,,,,73,73,73,100% LTAH PPS,,,,,,,,,,44,
FOLLOW-UP MANIPULAT,,,,510,,69,,,,,55,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,55,,,,,,,48,,,52,,,,,62,,,,,,,,,,,,41,,,48,,,,,55,55,55,100% LTAH PPS,,,,,,,,,,33,
FOLLOW-UP MANIPULAT,,,,510,,104.75,,,,,84,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,84,,,,,,,73,,,79,,,,,94,,,,,,,,,,,,63,,,73,,,,,84,84,84,100% LTAH PPS,,,,,,,,,,51,
FOLLOW-UP MANIPULAT,,,,510,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
FOLLOW-UP MODERATE C,,,,510,,138.1,,,,,110,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,110,,,,,,,97,,,104,,,,,124,,,,,,,,,,,,83,,,97,,,,,110,110,110,100% LTAH PPS,,,,,,,,,,67,
FOLLOW-UP PHYS TIME,,,,510,,74.2,,,,,59,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,59,,,,,,,52,,,56,,,,,67,,,,,,,,,,,,45,,,52,,,,,59,59,59,100% LTAH PPS,,,,,,,,,,36,
FOLLOW-UP STRAIGHT,,,,510,,67.75,,,,,54,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,54,,,,,,,47,,,51,,,,,61,,,,,,,,,,,,41,,,47,,,,,54,54,54,100% LTAH PPS,,,,,,,,,,33,
INJECT SINGLE SHEATH,,,,510,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
LEAD PHYSICAL,,,,510,,163.6,,,,,131,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,131,,,,,,,115,,,123,,,,,147,,,,,,,,,,,,98,,,115,,,,,131,131,131,100% LTAH PPS,,,,,,,,,,79,
OFFICE VISIT 30 MIN,,,,510,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
OFFICE VISIT 60 MIN,,,,510,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
PHYS RETURN TO WRK/F,,,,510,,115.05,,,,,92,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,92,,,,,,,81,,,86,,,,,104,,,,,,,,,,,,69,,,81,,,,,92,92,92,100% LTAH PPS,,,,,,,,,,56,
HEAVY LIFT SCREEN PT,,,,510,,106.1,,,,,85,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,85,,,,,,,74,,,80,,,,,95,,,,,,,,,,,,64,,,74,,,,,85,85,85,100% LTAH PPS,,,,,,,,,,51,
PR-2 REPORT,,,,510,,21.7,,,,,17,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,17,,,,,,,15,,,16,,,,,20,,,,,,,,,,,,13,,,15,,,,,17,17,17,100% LTAH PPS,,,,,,,,,,10,
PRE-EMPLOYMENT DMV/D,,,,510,,191.8,,,,,153,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,153,,,,,,,134,,,144,,,,,173,,,,,,,,,,,,115,,,134,,,,,153,153,153,100% LTAH PPS,,,,,,,,,,93,
PULMONARY FUNCTION T,,,,510,,125.3,,,,,100,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,100,,,,,,,88,,,94,,,,,113,,,,,,,,,,,,75,,,88,,,,,100,100,100,100% LTAH PPS,,,,,,,,,,61,
REPORT-THREE PAGES,,,,510,,170,,,,,136,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,136,,,,,,,119,,,128,,,,,153,,,,,,,,,,,,102,,,119,,,,,136,136,136,100% LTAH PPS,,,,,,,,,,82,
REPORT-TWO PAGES,,,,510,,124,,,,,99,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,99,,,,,,,87,,,93,,,,,112,,,,,,,,,,,,74,,,87,,,,,99,99,99,100% LTAH PPS,,,,,,,,,,60,
RESPIRATORY PHYSICAL,,,,510,,134.2,,,,,107,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,107,,,,,,,94,,,101,,,,,121,,,,,,,,,,,,81,,,94,,,,,107,107,107,100% LTAH PPS,,,,,,,,,,65,
OFFICE VISIT 45 MIN,,,,510,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
QUICK TEST PROCED ON,,,,510,,76.7,,,,,61,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,61,,,,,,,54,,,58,,,,,69,,,,,,,,,,,,46,,,54,,,,,61,61,61,100% LTAH PPS,,,,,,,,,,37,
F/U HIGH COMPLEXITY,,,,510,,212.2,,,,,170,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,170,,,,,,,149,,,159,,,,,191,,,,,,,,,,,,127,,,149,,,,,170,170,170,100% LTAH PPS,,,,,,,,,,102,
REPORT 1 PAGE,,,,510,,76.7,,,,,61,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,61,,,,,,,54,,,58,,,,,69,,,,,,,,,,,,46,,,54,,,,,61,61,61,100% LTAH PPS,,,,,,,,,,37,
REPORT 4 PAGES,,,,510,,207.05,,,,,166,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,166,,,,,,,145,,,155,,,,,186,,,,,,,,,,,,124,,,145,,,,,166,166,166,100% LTAH PPS,,,,,,,,,,100,
PHYS PHONE CALL 15MI,,,,510,,115.05,,,,,92,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,92,,,,,,,81,,,86,,,,,104,,,,,,,,,,,,69,,,81,,,,,92,92,92,100% LTAH PPS,,,,,,,,,,56,
HEP A VAX WITH INJ,,,,510,,263.35,,,,,211,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,211,,,,,,,184,,,198,,,,,237,,,,,,,,,,,,158,,,184,,,,,211,211,211,100% LTAH PPS,,,,,,,,,,127,
HEP B VAX W/INJECTIO,,,,510,,315.75,,,,,253,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,253,,,,,,,221,,,237,,,,,284,,,,,,,,,,,,189,,,221,,,,,253,253,253,100% LTAH PPS,,,,,,,,,,153,
HAZARD MATERIAL PHY,,,,510,,163.6,,,,,131,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,131,,,,,,,115,,,123,,,,,147,,,,,,,,,,,,98,,,115,,,,,131,131,131,100% LTAH PPS,,,,,,,,,,79,
TREADMILL,,,,510,,458.95,,,,,367,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,367,,,,,,,321,,,344,,,,,413,,,,,,,,,,,,275,,,321,,,,,367,367,367,100% LTAH PPS,,,,,,,,,,222,
VISION TEST ONLY,,,,510,,29.4,,,,,24,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,24,,,,,,,21,,,22,,,,,26,,,,,,,,,,,,18,,,21,,,,,24,24,24,100% LTAH PPS,,,,,,,,,,14,
B READER ASBESTOS,,,,510,,134.2,,,,,107,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,107,,,,,,,94,,,101,,,,,121,,,,,,,,,,,,81,,,94,,,,,107,107,107,100% LTAH PPS,,,,,,,,,,65,
INJECTION ADMIN,,,,519,,33.2,,,,,27,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,27,,,,,,,23,,,25,,,,,30,,,,,,,,,,,,20,,,23,,,,,27,27,27,100% LTAH PPS,,,,,,,,,,16,
NON-EMERGENCY TRANSP,,,,540,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
MRI LW EXT WO LT,,,,610,,3899.15,,,,,"3,119",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"3,119",,,,,,,"2,729",,,"2,924",,,,,"3,509",,,,,,,,,,,,"2,339",,,"2,729",,,,,"3,119","3,119","3,119",100% LTAH PPS,,,,,,,,,,"1,883",
MRI LW EXT W/O RT,,,,610,,3899.15,,,,,"3,119",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"3,119",,,,,,,"2,729",,,"2,924",,,,,"3,509",,,,,,,,,,,,"2,339",,,"2,729",,,,,"3,119","3,119","3,119",100% LTAH PPS,,,,,,,,,,"1,883",
MRI LW EXT W/O BI,,,,610,,3899.15,,,,,"3,119",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"3,119",,,,,,,"2,729",,,"2,924",,,,,"3,509",,,,,,,,,,,,"2,339",,,"2,729",,,,,"3,119","3,119","3,119",100% LTAH PPS,,,,,,,,,,"1,883",
MRI UP EXT W W/O,,,,610,,5936.95,,,,,"4,750",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"4,750",,,,,,,"4,156",,,"4,453",,,,,"5,343",,,,,,,,,,,,"3,562",,,"4,156",,,,,"4,750","4,750","4,750",100% LTAH PPS,,,,,,,,,,"2,868",
MRI LW EXT JOINT W/O,,,,610,,3027.35,,,,,"2,422",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"2,422",,,,,,,"2,119",,,"2,271",,,,,"2,725",,,,,,,,,,,,"1,816",,,"2,119",,,,,"2,422","2,422","2,422",100% LTAH PPS,,,,,,,,,,"1,462",
MRI SPINE,,,,610,,4666.25,,,,,"3,733",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"3,733",,,,,,,"3,266",,,"3,500",,,,,"4,200",,,,,,,,,,,,"2,800",,,"3,266",,,,,"3,733","3,733","3,733",100% LTAH PPS,,,,,,,,,,"2,254",
MRI HEAD WO CONTRAST,,,,611,,760,,,,,608,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,608,,,,,,,532,,,570,,,,,684,,,,,,,,,,,,456,,,532,,,,,608,608,608,100% LTAH PPS,,,,,,,,,,367,
MRI HEAD W CONTRAST,,,,611,,1272,,,,,"1,018",,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,"1,018",,,,,,,890,,,954,,,,,"1,145",,,,,,,,,,,,763,,,890,,,,,"1,018","1,018","1,018",100% LTAH PPS,,,,,,,,,,614,
MRI HEAD WO/W CONTR,,,,611,,1272,,,,,"1,018",,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,"1,018",,,,,,,890,,,954,,,,,"1,145",,,,,,,,,,,,763,,,890,,,,,"1,018","1,018","1,018",100% LTAH PPS,,,,,,,,,,614,
MRI BRAIN W AND W/O,,,,611,,4786.45,,,,,"3,829",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"3,829",,,,,,,"3,351",,,"3,590",,,,,"4,308",,,,,,,,,,,,"2,872",,,"3,351",,,,,"3,829","3,829","3,829",100% LTAH PPS,,,,,,,,,,"2,312",
MR BRAIN W/CONTRAST,,,,611,,1157.95,,,,,926,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,926,,,,,,,811,,,868,,,,,"1,042",,,,,,,,,,,,695,,,811,,,,,926,926,926,100% LTAH PPS,,,,,,,,,,559,
MRI BRAIN W CONTRAST,,,,611,,1272,,,,,"1,018",,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,"1,018",,,,,,,890,,,954,,,,,"1,145",,,,,,,,,,,,763,,,890,,,,,"1,018","1,018","1,018",100% LTAH PPS,,,,,,,,,,614,
MRI CERV SPINE W CON,,,,612,,127.2,,,,,102,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,102,,,,,,,89,,,95,,,,,114,,,,,,,,,,,,76,,,89,,,,,102,102,102,100% LTAH PPS,,,,,,,,,,61,
