name,business_type,state_registered,street_physical
"SOUTHERN OAKS AT MOOREVILLE, LLC",LLC,MS,210 EAST MAIN ST
MISSISSIPPI FILM LLC,LLC,MS,407 ORCHARD PARK DRIVE BUILDING #3
"INSURANCE MARKETING SOLUTIONS, LLC.",LLC,AZ,2650 MCCORMICK DR
"MOUNT OLYMPUS PLANTING COMPANY, LLC",LLC,MS,2246 GREENBRIAR DRIVE
SUNNY DAY CONSTRUCTION LLC,LLC,MS,3550 HIGHWAY 53
JACKIE AND SCNELDA TRUCKING LLC,LLC,MS,3219 11TH PLACE
"L.A.M.E. MEDIA PRODUCTIONS, LLC",LLC,MS,57 TRILLIUM
MCCULLUM TAX SERVICES LLC,LLC,MS,34 ARCHIE MCCULLUM RD
TNT AUTO DETAILING LLC,LLC,MS,1006 W HIGH
"RICHGIRLZ, LLC",LLC,MS,5328 SARATOGA DR
"HEALTHIER MISSISSIPPI PEOPLE, LLC",LLC,MS,2500 NORTH STATE STREET
WESTWAYS STAFFING SERVICES INC,CORPORATION,CA,500 CITY PARKWAY SUITE #130
PATTERSON MECHANICAL & SERVICES LLC,LLC,MS,207 ALTA WOODS BLVD
MCCRAW PROPERTIES LLC,LLC,MS,49 SANDERS LN
BDN LOGISTICS LLC,LLC,MS,6173 NEW HOPE ROAD
"COMMUNITY ROOFING SERVICES, LLC",LLC,MS,23720 GOOSE POINT DRIVE
LASTING LINEAGE LLC,LLC,MS,2569 OLD JACKSON ROAD
ORCHID NAIL LLC,LLC,MS,1105 MEMORIAL BLVD
"SILVER FIELDS PHOTOGRAPHY, LLC",LLC,MS,8995 KYLE DURAN DR
GENESIS TRANSPORTATION SERVICES LLC,LLC,MS,1160 ROSEWOOD ST
BEAUTY AND THE BEADS6 LLC,LLC,MS,1455 IRBY STREET
"LOCAL SOUTHERN MADE, LLC",LLC,MS,700 HARBOR RIDGE DR
"SB GULFPORT, LLC",LLC,MS,9265 HWY 49
"B.S.&W. ENERGY CONSULTING, L.L.C.",LLC,MS,57 BLACKLEDGE CIR
ACADIANROW PROPERTIES LLC,LLC,MS,211 MONTEREY DR
ZOA ESSENTIALS LLC,LLC,MS,56 WESTHAVEN DRIVE
"EMINENT WINKZ, LLC",LLC,MS,2303 W 4TH STREET
SOUTHERN GRASS FARMS LLC,LLC,MS,152 BELLE POINTE
IMPRESS ME KREATIONS LLC,LLC,MS,456 SHADEVILLE
"PASS TIME FAMILY PROPERTIES, L.L.C.",LLC,MS,115 BASSWOOD DR
IMPACT CLEANERS LLC,LLC,MS,2953 BIENVILLE BLVD. #311
"MR. I. WASH, LLC",LLC,MS,192 COLLINS LOOP LANE
DREAM UP PUBLISHING LLC,LLC,MS,501 E 3RD ST
RULES OF FASHION LLC,LLC,MS,729 WOODBURY RD
YELLABIRDYS BOUTIQUE LLC,LLC,MS,1038 PECAN PARK CIR
"SUGAR FARM INVESTMENTS, LLC",LLC,MS,6567 HIGHWAY 9 SOUTH
"BF NORTH, INC.",CORPORATION,MS,1318 EDWARDS AVE
LW AUTOMOTIVE AND TIRE LLC,LLC,MS,6403 HWY 18
"L&A SANDIFER, LLC",LLC,MS,15 SAINT ANDREWS DRIVE
"BD REAL ESTATE INVESTMENTS ONE, LLC",LLC,MS,2905 AUDUBON DR
"DEFENC3, LLC",LLC,MS,703 NORTHDALE PL
GRATEFUL LLC,LLC,MS,227 E PEARL ST
"GINGER'S CUSTOM CREATIONS, LLC",LLC,MS,161 COOLEY ROAD
"LA COUR KITCHEN AND BAR, LLC",LLC,MS,4500 I-55 #123
"CHEERS JACKSON, LLC",LLC,MS,4536 MANILA DRIVE
"SHARP FOCUS, LLC",LLC,MS,204 ARBOR TRAIL
"DEES ACRES INVESTMENTS, LLC",LLC,MS,425 EUBANKS DR
"SHELTON STEEL SERVICES, LLC",LLC,MS,2478 FREEDOM BAPTIST CHURCH RD
"SKYLER'S WAY CREATIONS, LLC",LLC,MS,343 N RAGSDALE AVE
"OUR MISSISSIPPI HOME, LLC",LLC,MS,1203 ABBEYVILLE ST
"FULL PLATE BISTRO, LLC",LLC,MS,2173 GRAVEL SPRING RD
AMERICAN ENGLISH STUDIO LLC,LLC,MS,108 BRANDY RUN ROAD
MARTIN POWER WASHING LLC,LLC,MS,203 TURNBERRY LN
KANDIELASHES LLC,LLC,MS,14135 HARLEY DRIVE
"GLADNEY REPAIRS, LLC",LLC,MS,638 CR 154
CUATRO INVESTMENTS LLC,LLC,MS,40 RIVERSIDE ROAD
"PRECISION MARTIAL ARTS ACADEMY, LLC",LLC,MS,624 GRANTS FERRY RD
MCGARRETT CATERING LLC,LLC,MS,200 COUNTRY CLUB DR
JW AUTOMOTIVE TREE AND LAWN LLC,LLC,MS,110 CANAL ST
L & J FIREWORKS LLC,LLC,MS,10233 ROAD 556
YOUNG AND CALLED LLC,LLC,MS,118 TREMONT WAY
GRACIOUS BLESSINGS LLC,LLC,MS,114 3RD STREET
"ELIZABETH USHER GIFTS, LLC",LLC,MS,1320 BRENTWOOD CV
"3L INVESTMENTS, LLC",LLC,MS,1267 RED BANKS RD S
"JBR ENTERPRISES, LLC",LLC,MS,237 S. MAIN ST.
"GULF COASTSCAPES, LLC",LLC,MS,4513 JEFFERSON AVE
"CYE ENTERPRISES, INC.",CORPORATION,FL,1605 ROWE AVE
"WILKINSON & JEANSONNE, L.L.C.",LLC,LA,1041 ESPLANADE AVE.
"ROSIE GIRL CHILDREN'S BOUTIQUE, LLC",LLC,MS,162 ALBERT HAYES RD
TUCKER'S FARM ALL LLC,LLC,MS,4 QUITMAN RD
ASSEMBLED BLESSINGS BAKING & CATERING LLC,LLC,MS,101 JOHNSON DRIVE
"VANWARD CONSULTING GROUP, INC.",CORPORATION,TX,6510 DELTA XING
"GIBBS PROPERTY MANAGEMENT, LLC",LLC,MS,1054 HWY 19 SOUTH
LAVISH LOOKS BY ALICIA LLC,LLC,MS,1297 WOODDELL DR
"DRENNAN FARMS, LLC",LLC,MS,165 ANNA LANE
FOSTER FAMILY INVESTMENT CLUB LLC,LLC,MS,805 COX DRIVE
BROWN'S LAWN CARE & PRESSURE WASHING LLC,LLC,MS,298 ZIONELL RD
LIPSBYJAIDA LLC,LLC,MS,4019 TORREY PINES DR
FOREVER GALORE L.L.C.,LLC,MS,65 PLUM STREET
"WFB, LLC",LLC,MS,2584 HWY 51 S
THE PINK UNICORN LLC,LLC,MS,217 BRACKEN COVE
VISION H PHOTOGRAPHY LLC,LLC,MS,144 ROLLINGWOOD DR.
"MS CONCIERGE PT, LLC",LLC,MS,3525 KINGS HWY
"CHRISSY'S KITCHEN, LLC",LLC,MS,306 JACKSON AVE
"Z BLESSED CREATIONS, LLC",LLC,MS,4221 SUMMERTON DRIVE
"EPIC TRANSPORT, LLC",LLC,MS,1976 HUNTERS RD SE
KREATIONS BY KO LLC,LLC,MS,6381 MAGNOLIA LAKES DR.
B&B DRILLING LLC,LLC,MS,397 STEVE ST
"THE FACTORY, LLC",LLC,MS,341 COUNTY ROAD 8021
"TILLMAN TRAVELS, LLC",LLC,MS,397 PINEWOOD LN
TRUE FAM TRUCKING LLC,LLC,MS,611 MAIN STREET
PYNKTAFFI TRINKETS LLC,LLC,MS,209 LAWRENCE RD
TEELS FLOWERS & GIFTS LLC,LLC,MS,6475 HIGHWAY 311
DIVERSE HAIR THERAPY LLC,LLC,MS,5117 MILLWOOD PLACE
"SIDTOR, LLC",LLC,MS,821 W. DEERFIELD DR.
NOVAJ INHERITED LLC,LLC,MS,118 E 14TH ST
BURLY CANDLES LLC,LLC,MS,640 W GREGORY ST.
"SBT DESTIN, LLC",LLC,MS,1228 W 5TH ST
MAY SHACK 2020 LLC,LLC,MS,1006 DEERWOOD TRAIL
"HAMMOCKS PLUS, LLC",LLC,MS,121 COPPER LANE
"STEP BY STEP HOME CARE, LLC",LLC,MS,1762 EDDISVILLE ROAD
BEELO'S BUGS LLC,LLC,MS,710 LOUISIANA ST.
SEASONED AND SATISIFED SOUL FOOD LLC,LLC,MS,1636 KENTWOOD DR
MEAN GREEN LAWN SERVICE LLC,LLC,MS,1606 CUSTER DR
"KKDKS, LLC",LLC,MS,3143 ROSELEIGH DR
"LEGACY FLORALS BY LINDA WALTON, LLC",LLC,MS,113 RICE RD
WATKINS WAY LLC,LLC,MS,2505 DIVISION ST
KAM LOGISTICS INC,CORPORATION,MS,3495 BAYBERRY DR
SASSY SCRIBBLE LLC,LLC,MS,146 CLEAR CREEK CIRCLE
"RIPFIX, LLC",LLC,MS,107 BEAUFORT CIRCLE
"COAST ELECTRIC FIBER, LLC",LLC,MS,18020 HIGHWAY 603
PASSIONATE DREAM PERSONAL CARE AND SITTING LLC,LLC,MS,1219 GREENBRIAR
"GREEN PEAK TAX SERVICES, LLC",LLC,MS,2721 EDEN ST
ABBY ROBINSON AND ASSOCIATES LAW FIRM PLLC,LLC,MS,227 E PEARL ST
DAVID PRYOR PROPERTIES LLC,LLC,MS,830 E NORTHSIDE DR
"THE LIGHTEDLAMP, LLC",LLC,MS,1302 VIRGINIA ST
BIG AL'S DUMPSTERS LLC,LLC,MS,4 CHARLESTON AVE.
"JABCK CONSULTING, LLC",LLC,MS,96 ZANDERS RD
"BRYAN HOLMES CONSTRUCTION, LLC",LLC,MS,397 GRAYSPORT RD 
MIRROR TALK 101 LLC,LLC,MS,433 SOUTH THEOBALD STREET
LETS HAVE A PARTY!! LLC,LLC,MS,242 SLOAN DR
EJS TRUCKING LLC,LLC,MS,1487 SULPHUR SPRINGS ROAD
"R&B CREATIONS, LLC",LLC,MS,48 HUMMINGBIRD LANE
"HMD MT CARMEL, LLC",LLC,TN,50 SECURITY DRIVE
CHIEF CONSULTING LLC,LLC,MS,121 DEER RUN SOUTH
"BROWN ELECTRICS, LLC",LLC,MS,1536 WINCHESTER STREET
RENEE L I OWEN DDS PC,CORPORATION,MI,2024 LANSING RD
POWELL WELL DRILLING & SERVICE LLC,LLC,MS,1600 MERRY HILL RANCH ROAD
COWBELL PROPERTIES LLC,LLC,MS,408 HANCOCK CIRCLE E
STRUGGLE AND SURVIVAL LLC,LLC,MS,330 FOUR SEASONS DR
LAUNDRY EXPRESS LLC,LLC,MS,208 WEST WILSON AVE
"GULF COAST RENTALS, LLC",LLC,MS,1085 TINA LADNER VIC FAYE RD.
"RTR PICAYUNE, LLC",LLC,MS,114 BRIARWOOD LOOP
ELLAGANCE CATERING LLC,LLC,MS,1880 SOUTHERN AVE. APT. D1
"MICHAEL TERRELL VIDEOGRAPHY, LLC",LLC,MS,7402 CUEVAS RD
"SUTTON MOBILE NOTARY AND SIGNING SERVICE, LLC",LLC,MS,209 7TH ST
PRAYER TIME MEDIA BROADCASTING L.L.C.,LLC,MS,131 VALLEY DR
TEE'S NATURAL NECESSITIES L.L.C.,LLC,MS,1545 BRIGNALL RD
ERIC RENOVATION LLC,LLC,MS,939 STATE STREET
"HMW 269 LOGISTICS 3, LLC",LLC,DE,50 SECURITY DRIVE
NINETEEN85 LLC,LLC,MS,35170 HIGHWAY 1
"JOHN'S ENVIRONMENTAL SERVICES, LLC",LLC,MS,3899 MIDWAY RD
"CAITLIN BOURGEOIS MEDIA, LLC",LLC,MS,806 WILLOW STREET
KYMMUSTRY LLC,LLC,MS,6533 TIMBER COVE DR
CPR RENTAL PROPERTIES LLC,LLC,MS,2209 18TH AVE
LOVELIVEGROW LLC,LLC,MS,2859 TERESA DRIVE
"GIRLS 2 WOMEN MENTORS, LLC",LLC,MS,1950 FLOWERS DRIVE
SIMMONS DALLAS PLLC,LLC,MS,240 TRACE COLONY PARK DR STRE 100
"TRIPLE A JEWELRY ,LLC",LLC,MS,5868 DEER TRAIL
MANEE BULLIES LLC,LLC,MS,1532 MITCHELL RD
"COACH TILL RUNNING, LLC",LLC,MS,4666 EAST CHERYL DRIVE
M&M LAND SERVICES LLC,LLC,MS,255 COXBURG RD
BE'UNIQUE BRAIDS & MORE LLC,LLC,MS,14 BLANKINSHIP CIRCLE
STITCH 36 LLC,LLC,MS,480 N BRANDON BLVD
ASAP DELIVERY LLC,LLC,MS,806 ANDREW CHAPEL RD
TAYZFASHION LLC,LLC,MS,335 LOUISE ST
ICY SWEETS LLC,LLC,MS,144 MATTOX ROAD
"MIDSOUTH MEGA LAUNDRY, LLC",LLC,MS,2329 CASTLE HILL DRIVE
"E & K, LLC",LLC,MS,204 WEST CAYUGA STREET
TIARA ASHLEY BOUTIQUE LLC,LLC,MS,255 SCHMIDT RD NE
"SOUTHERN DENT SPECIALISTS, LLC",LLC,MS,205 STONECASTLE DR
MAKING FAST DELIVERIES LLC,LLC,MS,2310 EAST AVE
"SWEETS & MORE BY ANOINTED HANDS, LLC",LLC,MS,1256 DARDANELLE DR
"KJAYS PROFESSIONAL DEVELOPMENT AND TYPING SERVICES, LLC",LLC,MS,6143 WHITESTONE RD
"CERTIFIED STEPPERS, LLC",LLC,MS,1307 WESTWOOD RD
MID-SOUTH EMERGENCY SERVICES LLC,LLC,TN,8885 GOODMAN ROAD
KEITH'S SUPERSTORE 82 LLC,LLC,MS,7048 US HWY 49
KEITH'S SUPERSTORE #81 LLC,LLC,MS,7048 US HWY 49
"GP CATTLE COMPANY, LLC",LLC,MS,165 HERBERT TRIGG RD
"MP4 FARMS, LLC",LLC,MS,46 PONDEROSA ROAD
"BOUNCEFIT ATHLETICS, LLC",LLC,MS,118 HOPE RD
"SANINNO, LLC",LLC,MS,2246 GREENBRIAR DRIVE
"CRAWFORD & CRAWFORD COUNSELING, LLC",LLC,MS,32 MILLBRANCH #60
"925DT, LLC",LLC,MS,925 GOODYEAR BLVD
"WWD, LLC",LLC,MS,2005 WEST MAIN STREET
"TIP MAN, LLC",LLC,MS,218 GRIFFIN ST
J & H FRESH FARM LLC,LLC,MS,683 BARBER ROAD
"SOUTHERN STATES SOCCER FC, LLC",LLC,DE,500 W MADISON ST STE 3700
EAST EAGER GROUP LLC,LLC,MS,114 ADDISON WAY
B.O.U.G.I.E. CREATIONS LLC,LLC,MS,102 PEACH TREE DR
"SLUMBER SQUAD, LLC",LLC,MS,3780 ROSS RIDGE DR
HB CREATIONS LLC,LLC,MS,1103 ROBIN HOOD CIR
SOUTHERN SECURITY SYSTEMS LLC,LLC,MS,4007 GLOVER STREET
"YELLOW RABBIT PROPERTIES, LLC",LLC,MS,204 DEERFIELD HILLS RD
"BROWN'S PLAYGROUND, LLC",LLC,MS,2202 EDEN STREET
"TAKEOVER KOLLECTION, LLC",LLC,MS,3020 SPITCHLEY RD
"RODEO MEDIA, LLC",LLC,MS,97 MESA WALKERS BRIDGE RD
S & S FREIGHT LINES LLC,LLC,MS,213 MCLAIN DR APT 2
MAGNOLIA HEALTHCARE SOLUTIONS LLC,LLC,MS,402 GREENRIDGE CIR
HAIRLOOM SALON LLC,LLC,MS,21083 HWY 15
"COMMUNITY REALTY SOLUTIONS, LLC",LLC,MS,18A ERLENE WATTS ROAD
"KENZIE'S KORNER, LLC",LLC,MS,809 WALNUT STREET
"MP4 FARMS HOLDINGS, LLC",LLC,MS,46 PONDEROSA ROAD
"WILLIAMS LANDSCAPING, LLC",LLC,MS,713 HAWTHORN GREEN DRIVE
"RAHLEE'S GIFT EMPORIUM, LLC",LLC,MS,10568 ROUNDHILL DRIVE
WMBUILT LLC,LLC,MS,1304 HWY 51 STE D
MILLER CONSULTING GROUP LLC,LLC,MS,1824 18TH AVE
SUGA PLUM AESTHETICS LLC,LLC,MS,1138 LAKEVIEW DRIVE
"THE SMITH AGENCY, LLC",LLC,MS,1745 HILLVIEW DRIVE
"BRIARCLIFF GP, LLC",LLC,MS,12890 HIGHWAY 15 S
COASTCONNECT LLC,LLC,MS,18020 HIGHWAY 603
ELLIOTT IV LLC,LLC,MS,1415 ROBERT DR
KLASSY WRAPPERS LLC,LLC,MS,127 LAFAYETTE CIR
"K&K ASSOCIATES, LLC",CORPORATION,TN,4204 HERMITAGE RD
BDI WIGGINS LLC,LLC,MS,1554 WEST PEACE STREET
KING'S CUSTOM CLEANING LLC,LLC,MS,160 FARRELL MAPLE STREET
"NATCHEZ WELLNESS PHARMACY, LLC",LLC,MS,29 SGT. PRENTISS DRIVE SUITE 5
"GLAM-N-GIRLS, LLC",LLC,MS,1413 LEE DAVIS ROAD
CREATIVE FRESH LLC,LLC,MS,1306 COUNTRY CLUB RD
SIPPIANA GIRL CREATIONS LLC,LLC,MS,103 WALNUT AVE
"ASP WEB SOLUTIONS, LLC",LLC,TN,15017 NORTH SWAN ROAD
KILAHS KAKES L.L.C.,LLC,MS,348 N FLAG CHAPEL RD. APT H3
"J&J MILLWORKS, LLC",LLC,MS,65 SPRINGFIELD RD
RAY OF SUNSHINE DESIGNZ LLC,LLC,MS,110 JAMESTOWN RD
BYRD HANDY TRANSPORT LLC,LLC,MS,5730 SEDGWICK DRIVE
REJUVENATED STEPS LLC,LLC,MS,1152 ANDREW CHAPEL RD
ATS AUTOMOTIVES LLC,LLC,MS,325 E SCHOOL ST
EYE OF WENDI PHOTOGRAPHY LLC,LLC,MS,1143 PATTON CREEK RD
MIRACLES FLOWER GARDEN LLC,LLC,MS,4546 BROOK DRIVE
DEB&DOUGH LLC,LLC,MS,97 NAPOLEON CIR
SOUL KISS CATERING LLC,LLC,MS,301 E HILLSDALE DR
NERDVANA COMICS AND GAMES LLC,LLC,MS,167 S FOX HALL RD
"MOUNTAIN RIDGE ENERGY SERVICE, LLC",LLC,AR,8 EVERGREEN DRIVE
EXTRAORDINARY REALTY GROUP LLC,LLC,MS,5060 BELWOOD STREET
"ROBERT GRANT PROPERTIES, LLC",LLC,MS,1041 OLD HWY 4 W
"RS CONSTRUCTION SERVICES, LLC",LLC,MS,174 FLINT CREEK RD.
SCYD ENTERPRISES LLC,LLC,MS,171 PEACHTREE ST 6B
PRESIDENT STREET PEMBROKE LLC,LLC,MS,375 WHIPPOORWILL LN
RAZOREDGE LLC,LLC,MS,325 1ST AVE.
"AMERICAN TESTING & SUPPLY, LLC",LLC,MS,499 PURVIS RD
CORDEROFAM RENTALS LLC,LLC,MS,3540 OLD BAY SPRINGS RD
"M & B LANDSCAPING AND JANITORIAL SERVICES, LLC",LLC,MS,4 GRAND LIDO
JTD PROPERTIES LLC,LLC,MS,125 SCENIC COVE
"MFF OXFORD, L.L.C.",LLC,MS,14005 OUTLOOK STREET
"MFF SOUTHAVEN, L.L.C.",LLC,MS,14005 OUTLOOK STREET
THE SOCIALHOOD SIS LLC,LLC,MS,1430 FREETOWN RD
CURVY PINEAPPLE BOUTIQUE LLC,LLC,MS,228 BELLAMY CT
WALKING W CATTLE COMPANY LLC,LLC,MS,606 WATSON RD
ATTIC INSULATION OF MISSISSIPPI LLC,LLC,MS,506 WATSON ROAD
RCR TAX SERVICES LLC,LLC,MS,489 N OLD CANTON RD.
SASHA MIANA LLC,LLC,MS,212 KATHY AVE
"JESSICA'S HAIR CARE CENTER, LLC",LLC,MS,1713 MORSON RD
J&J DOZER SERVICE LLC,LLC,MS,189 CR 325
"JOSEPH EVANS TRUCKING, LLC",LLC,MS,402 BANKS RD
"BRENSON AUTOMATION, LLC",LLC,MS,22 ROSE LANE
CHRISTIAN FUN TRAVELS LLC,LLC,MS,3860 N MIDWAY RD
ANDY & ALLIE PUBLISHING LLC,LLC,MS,213 SATCHEL RD
SIMPLE RATLIFF'S CONSTRUCTION LLC,LLC,MS,319 BROAD ST
ZO PETAXI LLC,LLC,MS,319 BROAD ST
SHETEAMA THE COLORIST LLC,LLC,MS,2308 14TH AVE
PKB LLC,LLC,MS,103 EUDORA WELTY DR APT H-10
105 METROPLEX LLC,LLC,MS,1014 N. FLOWOOD DRIVE
TRIBEART LLC,LLC,MS,1917 BRIAR RIDGE RD APT B
"S&A PACKAGE STORE, LLC",LLC,MS,5062 NORTH STATE STREET
"INNOVATIVEED, LLC",LLC,MS,9828 CROOKED CREEK BLVD
KLA ENTERPRISES LLC,LLC,MS,112 SIMPSON DR
"CDEL ENTERPRISES, LLC",LLC,MS,121 FALCON RIDGE DR.
"FANCAN, LLC",LLC,MS,1248 E DEER RDG
KELLY PROPERTIES AND RENTAL MANAGEMENT LLC,LLC,MS,1915 LINDSAY RD
"DESOTO LAWN MAINTENANCE, LLC",LLC,MS,2440 BETHANY DR
HICKS YOUTH ALL STARS LLC,LLC,MS,113D. MAPLEWOOD DR
"THE SCRUB HUT, LLC",LLC,MS,105 BRIDGETON CIR
"S.T.CARTER LAW, LLC",LLC,MS,23 SUNNY MEADOWS DRIVE
"BARS, LLC",LLC,MS,194 FRIENDSHIP CHURCH ROAD
POLISHED CLEAN CLEANING SERVICE LLC,LLC,MS,13 CARL DRIVE
PCL MAINTENANCE LLC,LLC,MS,2 COUNTY ROAD 420
SWEET SERENDIPITY GIFTS GALORE LLC,LLC,MS,3284 BINNSVILLE RD
FORD NATIONAL LLC,LLC,MS,1006 MLK JR DRIVE
ALVIN LEWISTRANSPORT LLC,LLC,MS,1231 RAMBLING ROSE LN
"EMPOWERING MINDS, LLC",LLC,MS,1955 POPPS FERRY ROAD #1127BB
PRETTY HAPPY SOULS LLC,LLC,MS,67 ANNA CV
"PAPPY'S PLACE PROPERTIES, LLC",LLC,MS,19610 WILSON DRIVE
TOP FLIGHT LOGISTICS LLC,LLC,MS,116 OLD SPANISH TRL
"DDS3, LLC",LLC,MS,1056 COWART PRICE RD
"MAGNOLIA MANOR OF NATCHEZ, LLC",LLC,MS,132 JOHN R. JUNKIN DRIVE
HAMPTON GROUND KEEPS LLC,LLC,MS,1355 POORHOUSE ROAD W
I'M UNIQUE CREATIONS LLC,LLC,MS,108 CARL CIR
THE RESUME STYLIST LLC,LLC,MS,12240 I-20 WEST FRONTAGE ROAD
CLEANER THAN EVER CLEANING SERVICE LLC,LLC,MS,7813 MORTON DR
MD CONTRACTING SERVICES INC,CORPORATION,MS,13000 MURPHY RD
MCCASKILL PROPERTIES LLC,LLC,MS,105 LA SALLE ST.
"POSITIVE INNERGY COUNSELING SERVICES, LLC",LLC,MS,9056B COLLINSVILLE ROAD
"ARRINGTON CREATIONS, LLC",LLC,MS,310 HURRICANE RD
"DCG RENTALS, LLC",LLC,MS,75 KIRK AVENUE
"SUMMERTOWN METALS, LLC",LLC,TN,3864 SUMMERTOWN HWY
J&A CAPITAL LLC,LLC,MS,115 PINEHAVEN PL
"CLASSIC VINTAGE, LLC",LLC,MS,153 PACIFIC CIR
CSM CONSULTANTS LLC,LLC,MS,679 R C RD
"CERES ENVIRONMENTAL, INC.",CORPORATION,FL,6972 PROFESSIONAL PARKWAY EAST
KOKO QUEEN EMPOWERED LLC,LLC,MS,125 LEWIS DR
PERSONALLY MADE FOR YOU LLC,LLC,MS,2255 HINDS LN
ON DEMAND SERVICES LLC,LLC,MS,10 MAURICE FLOWERS RD.
DAISY MAE LLC,LLC,MS,2230 EBENEZER PICKENS RD
KENYA'S PLAYCAVE LLC,LLC,MS,6660 BIRCHFIELD CIRCLE
BEYONDBEYOUTIFUL LLC.,LLC,MS,1511 MARTIN LUTHER KING JR DR
"HUB CITY OPPORTUNITY ZONE FUND, LLC",LLC,MS,319 E. PINE STREET
THE BEEUTEE BAR LLC,LLC,MS,1630B ROSEMONT DR.
"GEAUX SOURCE, LLC",LLC,MS,264 JORDAN RD
COACH ME CHI LLC,LLC,MS,843 BOSTON ROAD
"WHEEL CARE, LLC",LLC,TX,2151 S. LAMAR BLVD
TRC CANDLE CO. LLC,LLC,MS,445 SLIVER HILL DRIVE
"COMPUCLOUD, L.L.C.",LLC,MS,119 HIGHLAND CV
"SPECTRUM HOSPITALITY, LLC",LLC,MS,781 LARSON STREET
"SPECTRUM LODGING, LLC",LLC,MS,781 LARSON STREET
"SPECTRUM WESTGATE MANAGEMENT, LLC",LLC,MS,781 LARSON STREET
INFONIXCC LLC,LLC,MS,250 S CHURCH ST UNIT 1967
"HAMPTON'S LAWN CARE & MAINTENANCE, LLC",LLC,MS,392 HILLCREST ROAD
HELPING HAND THRIFT STORE LTD,CORPORATION,MS,241 CALDWELL DR
"SENNER MANAGEMENT AND INVESTMENTS, LLC",LLC,MS,6099 FENN RD
KUSTOM KREATIONS BY MBOYA LLC,LLC,MS,3056 LONGWOOD DRIVE
FLOYD BUSINESS SOLUTIONS LLC,LLC,MS,1986 LENOX DRIVE
PEARL CAJUNS LLC,LLC,MS,190 RIVERWIND EAST DRIVE SUITE 307
DOLL BABY KREATIONS LLC,LLC,MS,964 CRESTWOOD DRIVE
3A HEART BEAT FITNESS LLC,LLC,MS,22 JEFF SMITH LANE
GOLDEN CHILD LEARNING CENTER LLC,LLC,MS,1155 JACKSON BLVD
STYLEZ CARGO LLC,LLC,MS,6243 FERNCREEK DRIVE
PRETTY PRAISERS BOUTIQUE LLC,LLC,MS,790 BECKY ST
ANDERSON ENTERPRISE LLC,LLC,MS,105 LAUREL PARK PLACE
STEPHEN COLE WILKERSON LLC,LLC,MS,1709 VALLEY VIEW DR
TWOHANDZ LLC,LLC,MS,5943 PEAR ORCHARD RD.
PROPER POSE PHOTOGRAPHY LLC,LLC,MS,533 MCDONALD DR
UNTOUCHABLE HAIR DESIGNS LLC,LLC,MS,11621 HWY 16 EAST
MEDIA MANAGEMENT LLC,LLC,DE,120 SOUTH CENTRAL AVENUE SUITE 400
VIER LLC,LLC,MS,40 RIVERSIDE ROAD
"UNIQUE TRANSITIONS, LLC",LLC,MS,501 HIGHWAY 90
DYNAMIC CLEANING AND JANITORIAL SERVICES LLC,LLC,MS,751 LAUNCELOT RD JACKSON MS
CARROLL INVESTMENT GROUP INC,CORPORATION,MS,103 NICHOLSON DR
C & S TAX SERVICE LLC,LLC,MS,96 TAYLOR RD
"HAUER RESEARCH, LLC",LLC,MS,6336 KALIPEKONA WAY
ETTAS INSPIRED GRILL LLC,LLC,MS,3178 HWY 61 N
ANOINTED FOOT WEAR LLC,LLC,MS,10424 STEEPLECHASE DR
ON THE WAY LLC,LLC,MS,5967 ALEXANDRIA LN
"RDB SERVICES, LLC.",LLC,MS,1376 BROOKHAVEN DR.
FLEAUX SOLUTIONS LLC,LLC,LA,5741 ST. VINCENT AVE.
"FAMILY SUPER CLEAN, LLC",LLC,MS,315 ARLINGTON CIR
ALBERT'S BEEF COMPANY LLC,LLC,MS,201 ABIGAIL LANE
REEDS PARADISE POOLS AND SPA LLC,LLC,MS,96 MCCAIN RD
GASTON REALTY LLC,LLC,MS,324 WOODLAND DR
"PW EDUCATIONAL SERVICES, LLC",LLC,MS,246 MCMAHON APT A
MR GUTTERMAN LLC,LLC,MS,150 HIGHWAY 500
OUTKAST LLC,LLC,MS,2000 24TH AVENUE
AROUND THE HOUSE SERVICES LLC,LLC,MS,202 WALDEN WAY
"OCD LANDSCAPING & LAWN CARE, LLC",LLC,MS,108 GREENVIEW
HYPE APPAREL LLC,LLC,MS,304 JACKSON STREET
CREATIVE CUTS & STYLES LLC,LLC,MS,535 HWY 1 S.
KLASSIE NAILS AND SALON LLC,LLC,MS,18 LUTHER KNIGHT RD
"PROVECTA INDUSTRIES, LLC",LLC,MS,5912 HANGING MOSS RD
"QUALITY LIFESTYLES, LLC",LLC,MS,7384 HUNTERS FOREST DR.
IHEART TRUCKING LLC,LLC,MS,1456 PERKINS ST
"CFMM, LLC",LLC,MS,36 POWER LANE
MARNICA'S UNIQUE CREATIONS L.L.C.,LLC,MS,909 CHICKASAW TRL
KC'S KREATIONS LLC,LLC,MS,6675 OLD CANTON RD
BOREN INTERIORS LLC,LLC,MS,4385 PINEHURST BLVD
MADE RIGHT CLEANING SERVICES. LLC,LLC,MS,236 OAKS ST
"JAYSPRINTON, LLC",LLC,MS,5044 ROCKYPOINT DRIVE
"3SL, LLC",LLC,MS,822 WASHINGTON AVE
"MEG SERVICES, LLC",LLC,MS,134 LATTER RAYNE DR
