CHARGE_DESCRIPTION,ACTIVITY_TYPE,MRKS_CPT,MRKS_HCPCS,DRG_CODE,NDC,CHARGEMASTER_PRICE,AVERAGE CHARGES_INPATIENT DRGS,DISCOUNTED CASH PRICE,MEDICARE,BCBS,SUNFLOWER_HEALTH,SUNFLOWER_HEALTH_COM_EXCHANGE,AETNA_BETTER_HEALTH_OF_KANSAS,AETNA,PROVIDRS CARE NETWORK,UHC_MEDICARE_ADVANTAGE,HUMANA_MEDICARE ADVANTAGE,UNITED HEALTHCARE_UHC,CHRISTIAN HEALTH AID_CHA,MINIMUM_COMMERCIAL PRICE,MAXIMUM_COMMERCIAL PRICE
potassium chloride 20. Soln,Pharmacy,,J3480,,00409-6651-06,12,,12,1.54,1.7999999999999998,1.54,1.6940000000000002,1.54,0,2.31,1.54,1.309,10.8,12,0,12
potassium citrate 15 mEq Tab[MRKS],Pharmacy,,A9270,,68382-0538-01,7.9,,7.9,0,0,0,0,0,0,0,0,0,7.11,7.9,0,7.9
potassium gluconate 595. mg Tab,Pharmacy,,A9270,,74312-0011-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Potassium Level,General Lab,84132,,,,22.5,,22.5,4.76,9.77,4.76,5.236,4.76,6.58,7.14,4.76,4.045999999999999,20.25,22.5,4.045999999999999,22.5
potassium phosphate-sodium phosphate 250 mg-45 mg-298 mg Tab,Pharmacy,,A9270,,64980-0104-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pramipexole 0.125 mg Tab,Pharmacy,,A9270,,33342-0031-10,2.18,,2.18,0,0,0,0,0,0,0,0,0,1.9620000000000002,2.18,0,2.18
pramipexole 0.25 mg Tab,Pharmacy,,A9270,,33342-0032-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pramipexole 1 mg Tab [MRKS],Pharmacy,,A9270,,13668-0094-90,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pramipexole 1. mg Tab [MRKS},Pharmacy,,A9270,,68462-0333-90,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pravastatin 20 mg Tab,Pharmacy,,A9270,,68180-0486-09,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pravastatin 20 mg Tab [MRKS],Pharmacy,,A9270,,00093-7201-98,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pravastatin 20. mg Tab,Pharmacy,,A9270,,60505-0169-09,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pravastatin 40 mg Tab [MRKS],Pharmacy,,A9270,,00093-7202-98,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pravastatin 80 mg Tab,Pharmacy,,A9270,,00093-7270-98,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
prazosin 1. mg Cap,Pharmacy,,A9270,,51079-0630-19,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
prazosin 5. mg Cap,Pharmacy,,A9270,,00093-4069-01,3.48,,3.48,0,0,0,0,0,0,0,0,0,3.132,3.48,0,3.48
Prealbumin AMS,General Lab,84134,,,,72.4,,72.4,14.59,48.33,14.59,16.049,14.59,20.89,21.884999999999998,14.59,12.4015,65.16000000000001,72.4,12.4015,72.4
Prealbumin Level,General Lab,84134,,,,72.4,,72.4,14.59,48.33,14.59,16.049,14.59,20.89,21.884999999999998,14.59,12.4015,65.16000000000001,72.4,12.4015,72.4
prednisoLONE 711. Liquid,Pharmacy,,A9270,,00121-0759-08,37.58,,37.58,0,0,0,0,0,0,0,0,0,33.822,37.58,0,37.58
prednisoLONE 720. Syrup,Pharmacy,,A9270,,50383-0042-24,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
prednisoLONE ophthalmic acetate 1% Susp,Pharmacy,,A9270,,61314-0637-15,43.31,,43.31,0,0,0,0,0,0,0,0,0,38.979000000000006,43.31,0,43.31
prednisoLONE sodium phosphate 15 mg/5 mL Liq,Pharmacy,,A9270,,60432-0212-08,8.4,,8.4,0,0,0,0,0,0,0,0,0,7.5600000000000005,8.4,0,8.4
predniSONE 1 mg Tab,Pharmacy,,A9270,,59746-0171-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
predniSONE 1 mg Tab [MRKS],Pharmacy,,J7506,,00527-2930-37,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
predniSONE 1. mg Tab,Pharmacy,,A9270,,59746-0171-06,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
predniSONE 10. mg Tab,Pharmacy,,A9270,,60687-0134-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
predniSONE 20. mg Tab,Pharmacy,,A9270,,00054-0018-20,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
predniSONE 5. mg Tab,Pharmacy,,A9270,,00054-8724-25,3.25,,3.25,0,0,0,0,0,0,0,0,0,2.9250000000000003,3.25,0,3.25
pregabalin 100. mg Cap,Pharmacy,,A9270,,00071-1015-41,17.41,,17.41,0,0,0,0,0,0,0,0,0,15.669,17.41,0,17.41
pregabalin 50 mg Cap [MRKS],Pharmacy,,A9270,,69097-0955-05,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pregabalin 50. mg Cap,Pharmacy,,A9270,,00071-1013-41,18.29,,18.29,0,0,0,0,0,0,0,0,0,16.461,18.29,0,18.29
pregabalin 75. mg Cap,Pharmacy,,A9270,,00071-1014-68,18.47,,18.47,0,0,0,0,0,0,0,0,0,16.623,18.47,0,18.47
primidone 250 mg Tab,Pharmacy,,A9270,,00527-1231-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
primidone 250. mg Tab,Pharmacy,,A9270,,65162-0545-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
primidone 50 mg Tab [MRKS],Pharmacy,,A9270,,00527-1301-05,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Proair 90 mcg Inhaler [MRKS],Pharmacy,,A9270,,45802-0088-01,51.12,,51.12,0,0,0,0,0,0,0,0,0,46.007999999999996,51.12,0,51.12
Pro-BNP,General Lab,83880,,,,226.95,,226.95,39.26,72.12,39.26,43.186,39.26,48.62,58.89,39.26,33.370999999999995,204.255,226.95,33.370999999999995,226.95
procainamide 1000. Soln,Pharmacy,,J2690,,00409-1902-01,31.7,,31.7,71.734,90.24,71.734,78.9074,71.734,0,107.601,71.734,60.97389999999999,28.53,31.7,0,107.601
Procalcitonin - AMS,General Lab,84145,,,,256.85,,256.85,27.22,91.03,27.22,29.942,27.22,0,40.83,27.22,23.136999999999997,231.16500000000002,256.85,0,256.85
prochlorperazine 10. mg Tab,Pharmacy,,A9270,,00378-5110-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Progesterone - AMS,General Lab,84144,,,,79,,79,20.86,71.01,20.86,22.946,20.86,29.88,31.29,20.86,17.730999999999998,71.10000000000001,79,17.730999999999998,79
Progesterone Level,General Lab,84144,,,,79,,79,20.86,71.01,20.86,22.946,20.86,29.88,31.29,20.86,17.730999999999998,71.10000000000001,79,17.730999999999998,79
Prolactin - AMS,General Lab,84146,,,,124.4,,124.4,19.38,78.62,19.38,21.318,19.38,27.76,29.07,19.38,16.473,111.96000000000001,124.4,16.473,124.4
Prolactin Level,General Lab,84146,,,,124.4,,124.4,19.38,78.62,19.38,21.318,19.38,27.76,29.07,19.38,16.473,111.96000000000001,124.4,16.473,124.4
promethazine 25 mg Sup,Pharmacy,,A9270,,45802-0759-30,11.86,,11.86,0,0,0,0,0,0,0,0,0,10.674,11.86,0,11.86
promethazine 25 mg Tab [MRKS],Pharmacy,,A9270,,68001-0162-08,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
promethazine 25 mg/mL Inj Sol 1 mL [MRKS],Pharmacy,,J2550,,00641-0948-35,12,,12,2.313,2.53,2.313,2.5443000000000002,2.313,0,3.4695,2.313,1.96605,10.8,12,0,12
promethazine 25 mg/mL Sol [MRKS],Pharmacy,,J2550,,00641-6084-25,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
promethazine 25. mg Supp,Pharmacy,,A9270,,00591-2992-39,14.42,,14.42,0,0,0,0,0,0,0,0,0,12.978,14.42,0,14.42
promethazine 25. mg Tab,Pharmacy,,A9270,,57664-0108-18,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
promethazine 50 mg/mL Sol,Pharmacy,,J2550,,00641-0956-21,12,,12,2.313,2.53,2.313,2.5443000000000002,2.313,0,3.4695,2.313,1.96605,10.8,12,0,12
promethazine 50. Soln,Pharmacy,,J2550,,00641-0956-21,12,,12,2.313,2.53,2.313,2.5443000000000002,2.313,0,3.4695,2.313,1.96605,10.8,12,0,12
promethazine 50. Soln,Pharmacy,,J2550,,00641-0929-21,12,,12,2.313,2.53,2.313,2.5443000000000002,2.313,0,3.4695,2.313,1.96605,10.8,12,0,12
propafenone 150. mg Tab,Pharmacy,,A9270,,68084-0361-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
propofol 10 mg/mL Emu,Pharmacy,,J2704,,63323-0269-57,14.17,,14.17,2.16,3,2.16,2.3760000000000003,2.16,0,3.24,2.16,1.836,12.753,14.17,0,14.17
propofol 10 mg/mL IV Emulsion 50 mL [MRKS],Pharmacy,,J2704,,63323-0269-57,14.17,,14.17,5.4,7.5,5.4,5.940000000000001,5.4,0,8.100000000000001,5.4,4.59,12.753,14.17,0,14.17
propofol 200. Emulsion,Pharmacy,,J2704,,63323-0269-37,12.38,,12.38,2.16,3,2.16,2.3760000000000003,2.16,0,3.24,2.16,1.836,11.142000000000001,12.38,0,12.38
propranolol 1. Soln,Pharmacy,,J1800,,00143-9872-01,12,,12,3.99,4.71,3.99,4.389,3.99,0,5.985,3.99,3.3915,10.8,12,0,12
propranolol 10 mg Tab [MRKS],Pharmacy,,A9270,,00591-5554-01,2.18,,2.18,0,0,0,0,0,0,0,0,0,1.9620000000000002,2.18,0,2.18
propranolol 10. mg Tab [MRKS],Pharmacy,,A9270,,00378-0182-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
propranolol 20 mg Tab [MRKS],Pharmacy,,A9270,,00591-5555-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
propranolol 20 mg/5 mL ORAL Soln *NON FORM* [MRKS],Pharmacy,,A9270,,00054-3727-63,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
propranolol 20. mg Tab[MRKS],Pharmacy,,A9270,,16714-0022-06,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
propranoloL 60 mg Cap [MRKS],Pharmacy,,A9270,,62559-0530-01,2.08,,2.08,0,0,0,0,0,0,0,0,0,1.872,2.08,0,2.08
propranolol 60. mg Cap-ER,Pharmacy,,A9270,,00228-2778-11,2.08,,2.08,0,0,0,0,0,0,0,0,0,1.872,2.08,0,2.08
propylthiouracil 50. mg Tab,Pharmacy,,A9270,,00228-2348-10,2.31,,2.31,0,0,0,0,0,0,0,0,0,2.079,2.31,0,2.31
Prostate Specific Antigen Diagnostic,General Lab,84153,,,,106.5,,106.5,18.39,67.28,18.39,20.229000000000003,18.39,26.34,27.585,18.39,15.6315,95.85000000000001,106.5,15.6315,106.5
Prostate Specific Antigen Free,General Lab,84154,,,,74.6,,74.6,18.39,52.38,18.39,20.229000000000003,18.39,26.34,27.585,18.39,15.6315,67.14,74.6,15.6315,74.6
Prostate Specific Antigen Screen,General Lab,,G0103,,,106.5,,106.5,0,69.29,0,0,0,0,63.9,0,0,95.85000000000001,106.5,0,106.5
Protein 24 Hour Urine,General Lab,84156,,,,29.5,,29.5,3.67,18.63,3.67,4.037,3.67,5.25,5.505,3.67,3.1195,26.55,29.5,3.1195,29.5
Protein Cerebrospinal Fluid,General Lab,84157,,,,37.4,,37.4,4,18.63,4,4.4,4,5.25,6,4,3.4,33.66,37.4,3.4,37.4
Protein Dipstick Urine,General Lab,84156,,,,29.5,,29.5,3.67,18.63,3.67,4.037,3.67,5.25,5.505,3.67,3.1195,26.55,29.5,3.1195,29.5
"Protein electrophoresis, Urine Random - AMS",General Lab,84166,,,,67,,67,20.03,38.14,20.03,22.033000000000005,20.03,25.54,30.045,20.03,17.0255,60.300000000000004,67,17.0255,67
Protein Timed Urine - AMS,General Lab,84156,,,,29.5,,29.5,3.67,18.63,3.67,4.037,3.67,5.25,5.505,3.67,3.1195,26.55,29.5,3.1195,29.5
Protein Total,General Lab,84155,,,,29.5,,29.5,3.67,8.55,3.67,4.037,3.67,5.25,5.505,3.67,3.1195,26.55,29.5,3.1195,29.5
Protein Urine,General Lab,84156,,,,29.5,,29.5,3.67,18.63,3.67,4.037,3.67,5.25,5.505,3.67,3.1195,26.55,29.5,3.1195,29.5
"Protein/Creatinine Ratio, Urine AMS",General Lab,82570,,,,33.7,,33.7,5.18,21.32,5.18,5.698,5.18,7.41,7.77,5.18,4.403,30.330000000000002,33.7,4.403,33.7
pseudoephedrine 120 mg Tab [MRKS],Pharmacy,,A9270,,00904-6754-15,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
psyllium 3.4 g/3.7 g Pow[MRKS],Pharmacy,,A9270,,00536-1881-16,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
psyllium Cap,Pharmacy,,A9270,,00536-1500-60,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
PT,General Lab,85610,,,,25.2,,25.2,4.29,15.92,4.29,4.719,4.29,5.62,6.4350000000000005,4.29,3.6465,22.68,25.2,3.6465,25.2
PT Canalith Repositioning Charge 95992,PT Tx/Procedures,95992,,,,43.65,,39.285,47.49,39.74,47.49,52.239000000000004,47.49,45,71.235,47.49,40.3665,39.285,43.65,39.285,71.235
PT Diathermy Charge 97024,PT Tx/Procedures,97024,,,,24.25,,21.825,7.24,21,7.24,7.964000000000001,7.24,5.54,10.86,7.24,6.154,21.825,24.25,5.54,24.25
PT Electrical Stimulation Unattended Charge G0283 97014,PT Tx/Procedures,,G0283,,,33.95,,30.555000000000003,14.48,31,14.48,15.928000000000003,14.48,0,21.72,14.48,12.308,30.555000000000003,33.95,0,33.95
PT High Complex Units 97163,PT Tx/Procedures,97163,,,,124.5,,112.05,90.71,119.41,90.71,99.781,90.71,79.38,136.065,90.71,77.1035,112.05,124.5,77.1035,136.065
PT Infrared Therapy Units 97026,PT Tx/Procedures,97026,,,,35,,31.5,6.52,19,6.52,7.172,6.52,0,9.78,6.52,5.542,31.5,35,0,35
PT Iontophoresis Charges 97033,PT Tx/Procedures,97033,,,,38.8,,34.92,21.94,38,21.94,24.134000000000004,21.94,25.06,32.910000000000004,21.94,18.649,34.92,38.8,18.649,38.8
PT Low Complex Units 97161,PT Tx/Procedures,97161,,,,124.5,,112.05,90.71,119.41,90.71,99.781,90.71,79.38,136.065,90.71,77.1035,112.05,124.5,77.1035,136.065
PT Massage Charge Units 97124,PT Tx/Procedures,97124,,,,45,,40.5,30.87,42,30.87,33.957,30.87,22.83,46.305,30.87,26.2395,40.5,45,22.83,46.305
PT Moderate Complex Units 97162,PT Tx/Procedures,97162,,,,124.5,,112.05,90.71,119.41,90.71,99.781,90.71,79.38,136.065,90.71,77.1035,112.05,124.5,77.1035,136.065
PT Parafin Bath Charge 97018,PT Tx/Procedures,97018,,,,43.65,,39.285,6.16,23,6.16,6.776000000000001,6.16,7.97,9.24,6.16,5.236,39.285,43.65,5.236,43.65
PT Prosthetic Training Charges 97761,PT Tx/Procedures,97761,,,,52,,46.800000000000004,44.18,50,44.18,48.598000000000006,44.18,28.8,66.27,44.18,37.553,46.800000000000004,52,28.8,66.27
PT ReEval Units 97164,PT Tx/Procedures,97164,,,,90,,81,62.14,80.53,62.14,68.354,62.14,53.72,93.21000000000001,62.14,52.819,81,90,52.819,93.21000000000001
"PT Self Care, Home Management Charges 97535",PT Tx/Procedures,97535,,,,48.5,,43.65,36.1,33.83,36.1,39.71000000000001,36.1,30.33,54.150000000000006,36.1,30.685,43.65,48.5,30.33,54.150000000000006
PT Strapping Knee Units,PT Tx/Procedures,29530,,,,300,,270,32.3,275,32.3,35.53,32.3,57.22,48.449999999999996,32.3,27.455,270,300,27.455,300
PT Strapping Shoulder Units,PT Tx/Procedures,29240,,,,300,,270,32.66,275,32.66,35.926,32.66,67.45,48.989999999999995,32.66,27.760999999999996,270,300,27.760999999999996,300
PT Ultrasound Charges 97035,PT Tx/Procedures,97035,,,,33.95,,30.555000000000003,15.31,29,15.31,16.841,15.31,11.77,22.965,15.31,13.0135,30.555000000000003,33.95,11.77,33.95
PT Ultrasound Units,PT Tx/Procedures,97035,,,,33.95,,30.555000000000003,15.31,29,15.31,16.841,15.31,11.77,22.965,15.31,13.0135,30.555000000000003,33.95,11.77,33.95
PTH,General Lab,83970,,,,188.2,,188.2,41.28,153.48,41.28,45.40800000000001,41.28,59.12,61.92,41.28,35.088,169.38,188.2,35.088,188.2
PULMONARY EMBOLISM W/O MCC,Inpatient DRG,,,176,,,4674.2,4674.2,6270.618262,8219.16,,6897.680088200001,6270.618262,,,6270.618262,5016.4946096,4206.78,4674.2,4206.78,8219.16
PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,Inpatient DRG,,,175,,,5153.675,5153.675,10920.366211999999,11393.83,10920.366211999999,12012.4028332,10920.366211999999,,,10920.366211999999,8736.2929696,4638.3075,5153.675,4638.3075,12012.4028332
pyridostigmine 5 mg/mL Sol [MRKS],Pharmacy,,A9270,,00781-3040-95,49.95,,49.95,0,0,0,0,0,0,0,0,0,44.955000000000005,49.95,0,49.95
pyridostigmine 60. mg Tab,Pharmacy,,A9270,,68084-0494-01,3.12,,3.12,0,0,0,0,0,0,0,0,0,2.8080000000000003,3.12,0,3.12
pyridoxine 100. mg Tab[MRKS],Pharmacy,,A9270,,00904-0518-60,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
pyridoxine 25 mg Tab [MRKS],Pharmacy,,A9270,,00536-4406-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
QUEtiapine 150 mg Tab [MRKS],Pharmacy,,A9270,,16729-0109-12,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
QUEtiapine 200. mg Tab-ER,Pharmacy,,A9270,,35356-0440-30,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
QUEtiapine 25. mg Tab,Pharmacy,,A9270,,60505-3130-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
QUEtiapine 300 mg Tab[MRKS],Pharmacy,,A9270,,68001-0183-06,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
QUEtiapine 400 mg Tab[MRKS],Pharmacy,,A9270,,16714-0457-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
QUEtiapine 50 mg Tab,Pharmacy,,A9270,,68001-0180-00,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
QUEtiapine 50 mg Tab [MRKS],Pharmacy,,A9270,,71093-0135-02,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
QUEtiapine Tab-ER,Pharmacy,,A9270,,00310-0281-39,31.41,,31.41,0,0,0,0,0,0,0,0,0,28.269000000000002,31.41,0,31.41
quinapril 40. mg Tab,Pharmacy,,A9270,,65862-0620-90,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
quiNINE 324. mg Cap,Pharmacy,,A9270,,00093-3002-56,11.96,,11.96,0,0,0,0,0,0,0,0,0,10.764000000000001,11.96,0,11.96
racepinephrine 2.25% Sol,Pharmacy,,,,00487-5901-99,4.62,,4.62,0,0,0,0,0,0,0,0,0,4.158,4.62,0,4.62
racepinephrine Soln,Pharmacy,,,,00487-5901-10,6.01,,6.01,0,0,0,0,0,0,0,0,0,5.409,6.01,0,6.01
raloxifene 60. mg Tab,Pharmacy,,A9270,,00002-4165-30,14.13,,14.13,0,0,0,0,0,0,0,0,0,12.717,14.13,0,14.13
ramelteon 8. mg Tab,Pharmacy,,A9270,,68387-0194-30,24.86,,24.86,0,0,0,0,0,0,0,0,0,22.374,24.86,0,24.86
ramipril 10 mg Cap [MRKS],Pharmacy,,A9270,,68001-0431-00,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
ramipril 2.5 mg Cap,Pharmacy,,A9270,,68180-0589-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
ramipril 2.5 mg Cap,Pharmacy,,A9270,,68001-0142-00,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
raNITIdine 150 mg Cap [MRKS],Pharmacy,,A9270,,27241-0109-06,2.57,,2.57,0,0,0,0,0,0,0,0,0,2.3129999999999997,2.57,0,2.57
ranitidine 150 mg Tab [MRKS],Pharmacy,,A9270,,60687-0322-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
ranitidine 150. mg Tab[MRKS],Pharmacy,,A9270,,64380-0803-08,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
ranitidine 150. Soln,Pharmacy,,J2780,,24987-0363-01,15.89,,15.89,19.830000000000002,29.64,19.830000000000002,21.813000000000002,19.830000000000002,0,29.745000000000005,19.830000000000002,16.855500000000003,14.301,15.89,0,29.745000000000005
raNITIdine 25 mg/mL Sol[MRKS],Pharmacy,,J2780,,68382-0422-02,15.89,,15.89,19.830000000000002,29.64,19.830000000000002,21.813000000000002,19.830000000000002,0,29.745000000000005,19.830000000000002,16.855500000000003,14.301,15.89,0,29.745000000000005
ranitidine 50.  Soln,Pharmacy,,J2780,,68382-0422-02,15.89,,15.89,6.61,9.88,6.61,7.271000000000001,6.61,0,9.915000000000001,6.61,5.6185,14.301,15.89,0,15.89
ranolazine 500. mg Tab-ER,Pharmacy,,A9270,,61958-1003-01,11.9,,11.9,0,0,0,0,0,0,0,0,0,10.71,11.9,0,11.9
Rapid Clostridium Difficile Toxin,General Lab,87493,,,,85.9,,85.9,37.27,74.57,37.27,40.99700000000001,37.27,50.27,55.905,37.27,31.6795,77.31,85.9,31.6795,85.9
Rapid Drug Screen Urine,General Lab,80305,,,,115,,115,12.6,27.87,12.6,13.860000000000001,12.6,13.52,18.9,12.6,10.709999999999999,103.5,115,10.709999999999999,115
Rapid Drug Screen Urine w/ QC,General Lab,80305,,,,115,,115,12.6,27.87,12.6,13.860000000000001,12.6,13.52,18.9,12.6,10.709999999999999,103.5,115,10.709999999999999,115
Rapid Helicobacter Pylori Antigen Stool with QC,General Lab,87338,,,,165.65,,165.65,14.38,30.87,14.38,15.818000000000001,14.38,20.6,21.57,14.38,12.223,149.085,165.65,12.223,165.65
Rapid Influenza A and B,General Lab,87502,,,,165,,165,95.8,110.67,95.8,105.38000000000001,95.8,115.92,143.7,95.8,81.42999999999999,148.5,165,81.42999999999999,165
Rapid Mono Screen,General Lab,86308,,,,30.6,,30.6,5.18,19.31,5.18,5.698,5.18,7.41,7.77,5.18,4.403,27.540000000000003,30.6,4.403,30.6
Rapid Mono Screen with QC,General Lab,86308,,,,30.6,,30.6,5.18,19.31,5.18,5.698,5.18,7.41,7.77,5.18,4.403,27.540000000000003,30.6,4.403,30.6
Rapid Occult Blood Diagnostic Stool,General Lab,82274,,,,37.5,,37.5,15.92,33.8,15.92,17.512,15.92,22.78,23.88,15.92,13.532,33.75,37.5,13.532,37.5
Rapid Occult Blood Gastric,General Lab,82271,,,,12.9,,12.9,5.32,8.87,5.32,5.852000000000001,5.32,4.66,7.98,5.32,4.522,11.610000000000001,12.9,4.522,12.9
Rapid Occult Blood Screen Stool,General Lab,,G0328,,,37.5,,37.5,0,33.8,0,0,0,0,22.5,0,0,33.75,37.5,0,37.5
Rapid Pregnancy Test,General Lab,84703,,,,53.8,,53.8,7.52,33.98,7.52,8.272,7.52,10.76,11.28,7.52,6.3919999999999995,48.42,53.8,6.3919999999999995,53.8
Rapid Pregnancy Test Urine,General Lab,81025,,,,42.5,,42.5,8.61,26.87,8.61,9.471,8.61,9.06,12.915,8.61,7.318499999999999,38.25,42.5,7.318499999999999,42.5
Rapid Pregnancy Test with QC,General Lab,84703,,,,53.8,,53.8,7.52,33.98,7.52,8.272,7.52,10.76,11.28,7.52,6.3919999999999995,48.42,53.8,6.3919999999999995,53.8
Rapid Respiratory Syncytial Virus Screen,General Lab,87807,,,,100.4,,100.4,13.1,26.28,13.1,14.41,13.1,17.18,19.65,13.1,11.135,90.36000000000001,100.4,11.135,100.4
Rapid Strep A Screen,General Lab,87880,,,,85.9,,85.9,16.53,54.3,16.53,18.183000000000003,16.53,17.18,24.795,16.53,14.050500000000001,77.31,85.9,14.050500000000001,85.9
Rapid Strep A Screen with QC,General Lab,87880,,,,85.9,,85.9,16.53,54.3,16.53,18.183000000000003,16.53,17.18,24.795,16.53,14.050500000000001,77.31,85.9,14.050500000000001,85.9
Rapid Urease Test,General Lab,87077,,,,43,,43,8.08,30.35,8.08,8.888000000000002,8.08,11.57,12.120000000000001,8.08,6.867999999999999,38.7,43,6.867999999999999,43
Rapid Urease Test with QC,General Lab,87077,,,,43,,43,8.08,30.35,8.08,8.888000000000002,8.08,11.57,12.120000000000001,8.08,6.867999999999999,38.7,43,6.867999999999999,43
RED BLOOD CELL DISORDERS W MCC,Inpatient DRG,,,811,,,5923.95,5923.95,9742.194335999999,8073.94,9742.194335999999,10716.4137696,9742.194335999999,,,9742.194335999999,7793.755468799999,5331.555,5923.95,5331.555,10716.4137696
RED BLOOD CELL DISORDERS W/O MCC,Inpatient DRG,,,812,,,13739.25,13739.25,6221.115242,6780.06,6221.115242,6843.2267662,6221.115242,,,6221.115242,4976.892193600001,12365.325,13739.25,4976.892193600001,13739.25
regadenoson 0.4 Soln,Pharmacy,,J2785,,00469-6501-89,288.9,,288.9,236.76,304.96,236.76,260.43600000000004,236.76,0,355.14,236.76,201.24599999999998,260.01,288.9,0,355.14
remdesivir 100 mg Sol 20 mL [MRKS],Pharmacy,,,,61958-2902-01,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENAL FAILURE W CC,Inpatient DRG,,,683,,,8312.875,8312.875,6209.800265999999,9570.68,6209.800265999999,6830.7802925999995,6209.800265999999,,,6209.800265999999,4967.8402128,7481.587500000001,8312.875,4967.8402128,9570.68
RENAL FAILURE W/O CC/MCC,Inpatient DRG,,,684,,,3726.5,3726.5,4296.15495,7641.8,,4725.770445,4296.15495,,,4296.15495,3436.92396,3353.85,3726.5,3353.85,7641.8
Renal Function Panel,General Lab,80069,,,,42.6,,42.6,8.68,20.12,8.68,9.548,8.68,12.43,13.02,8.68,7.377999999999999,38.34,42.6,7.377999999999999,42.6
Renal Function Panel 1,General Lab,80069,,,,42.6,,42.6,8.68,20.12,8.68,9.548,8.68,12.43,13.02,8.68,7.377999999999999,38.34,42.6,7.377999999999999,42.6
repaglinide 2. mg Tab,Pharmacy,,A9270,,54868-5381-01,8.92,,8.92,0,0,0,0,0,0,0,0,0,8.028,8.92,0,8.92
