street_registered,state_registered,count(1)
146 COMMERCE BLVD,NC,4
8500 PURNELL RIDGE ROAD,NC,4
128 CAMERON WOODS DR,NC,3
6708 REGAL OAKS DRIVE,NC,3
10231 BAILEY ROAD,NC,4
1641 COUNTRY CLUB ROAD,NC,3
5710 KELVIN PARK CIRCLE,NC,4
1121 MILITARY CUTOFF ROAD C301,NC,3
3902 ANGIER AVE,NC,3
2932 BREEZEWOOD AVE STE 206,NC,3
1300 S MINT ST STE 400,NC,3
1401 PARKWOOD AVENUE,NC,5
130 S FRANKLIN ST,NC,5
2496 FRIENDSHIP CHURCH RD,NC,3
3539 US HWY 258,NC,3
902 CRESTWOOD LANE,NC,3
301 W MAIN STREET,NC,16
1611 JONES FRANKLIN RD.  STE 101,NC,6
739 WASHINGTON STREET,NC,3
1705 THICKETON CIRCLE,NC,3
228 ELMHAVEN WAY,NC,3
2918 LAURA RD,NC,3
129 HAY ST,NC,3
130 JEFFERSON STREET,NC,6
2423 SHEPHERD VALLEY ST,NC,3
11625 STEELE CREEK ROAD,NC,3
2200 SILAS CREEK PKWY STE 3A,NC,3
1001 MILITARY CUTOFF RD. SUITE 101,NC,3
128 NORTH POINT BLVD.,NC,4
103 MIDWAY DRIVE,NC,3
1128 GILLESPIE STREET,NC,3
12419 STIRLING TRACE COURT,NC,5
110 S STRATFORD RD STE 500,NC,3
11208 STATESVILLE ROAD SUITE 300,NC,5
325 KINDLING WOOD LANE,NC,3
1135 KILDAIRE FARM RD STE 200,NC,5
1445 E. SEVENTH STREET,NC,7
4134 BURNAGE HALL RD,NC,8
3308 LEE AVENUE,NC,4
1100 CONFERENCE DRIVE,NC,4
3140 LINWOOD RD,NC,3
564 MCARTHUR ROAD,NC,4
1000 MEDINAH COURT,NC,4
7220 ORCHARD TRACE,NC,3
3505 SHEFFIELD DRIVE,NC,4
11617 ELIZABETH MADISON CT,NC,4
90 BEAVER LANE,NC,3
9010 CONCORD HILL CT,NC,4
101 KEYSTONE DRIVE,NC,3
151 SUMMER PLACE,NC,4
437 W ZION CHURCH RD,NC,4
2846 HAYWOOD ROAD,NC,3
5310 NC HIGHWAY 55 SUITE 101,NC,6
7017 FOREST HILLS DRIVE,NC,3
4801 ALENJA LANE,NC,3
806 GREEN VALLEY RD STE 311,NC,18
3269 HWY 91 N,NC,3
2101 F MILLER RD.,NC,4
2010-D NEW GARDEN RD,NC,3
2015 PRODUCTION DRIVE,NC,5
456 CHESTNUT GAP ROAD,NC,4
111 HARRIS MILL ROAD,NC,3
3908 STONEYCREEK RD.,NC,4
713 BRIDGE STREET,NC,5
8317 LILYBET LANE,NC,3
2615 PALM AVE,NC,4
206 FAIRCLOTH STREET,NC,4
4350 MAIN STREET  SUITE 220,NC,6
10231 BAILEY RD,NC,3
6000 MONROE RD.  STE. 350,NC,3
644 WEST PROSPECT AVE,NC,3
644 W. PROSPECT AVENUE,NC,4
929 PALACE GARDEN WAY,NC,3
8931 J.M. KEYNES DR. STE. 4,NC,3
1701 SUNSET AVE STE 503,NC,3
1028 OLD KEITH ROAD,NC,3
1901 SUMMER SANDS PL,NC,5
115 S 3RD ST,NC,3
102 SOLITUDE WAY,NC,3
80 BLAKE BLVD  UNIT 5033,NC,4
204 WALFORD WAY,NC,3
371 S SWING ROAD,NC,3
120 N. ASHE ST.,NC,4
5003 HYDE PARK DR.,NC,3
425-A S SHARON AMITY RD,NC,3
314 NC HWY 111 SOUTH,NC,4
1332 CASTLE HAYNE ROAD,NC,4
305 PAGE STREET,NC,6
905 LAUREL STREET  N.E.,NC,4
8787 RAMSBURY WAY,NC,4
542 HENDERSONVILLE RD.,NC,3
515 N BLOUNT ST,NC,3
1609 CHURCH STREET,NC,6
4005 HIGHLAND FARM ROAD,NC,4
93 CHURCH STREET,NC,3
100 EUROPA DRIVE  SUITE 550,NC,3
3505 CATALANO DRIVE,NC,3
8507 BAILEY RD,NC,3
"1275 HART'S PLACE",NC,3
1625 BEN JONES DR,NC,3
633 COTTON BROOK DR,NC,3
943 RIVERSIDE DR,NC,3
3200 WAMATH DRIVE,NC,3
910 EAST BLVD SUITE 200,NC,5
1900 CAMERON ST.,NC,5
312 KINDLING WOOD LANE,NC,3
20617 BETHELWOOD LANE,NC,5
3514 WALLINGFORD ROAD,NC,3
107 KITTY HAWK LANE,NC,3
821 MANCHESTER DRIVE,NC,3
8368 SIX FORKS ROAD  SUITE 202,NC,3
1014 N FAYETTEVILLE ST,NC,3
5800 ASHEVILLE HIGHWAY,NC,3
3801 CENTERPOINT DRIVESUITE 101,AK,3
3700 GLENWOOD AVE,NC,3
1056 REX ROAD,NC,3
206 FAYETTEVILLE STREET,NC,4
229 NORTH MAIN ST,NC,3
300 DICK STREET,NC,3
2459 WILKINSON BLVD  SUITE 100,NC,4
316 JOAN COURT,NC,3
312 DOLPHIN DRIVE,NC,5
1833 NORTHWESTERN AVE,AK,5
831 E MOREHEAD STREET  SUITE 860,NC,4
273 ROCKLEDGE ROAD,NC,3
2227 RIVER BASIN LANE,NC,3
1302 W MAIN ST,NC,5
18 SOUTH MAIN STREET,NC,4
5000 CENTRE GREEN WAY  SUITE 500,NC,11
PO BOX 536,NC,3
7397 RIDDLE RD,NC,3
155 SUNSET CT,NC,3
4200 MORGANTON ROAD SUITE 150,NC,3
214 S STEWART STREET,NC,4
1591 PATS RD,NC,3
200 FAYETTEVILLE STREET  SUITE 300,NC,4
2420 OXFORD RD,NC,7
28978 MISENHEIMER RD,NC,4
123 OCEAN BLVD WEST,NC,6
1381 GRAND OAKS LANE,NC,5
ONE OAK PLAZA SUITE 207,NC,4
208 WEST STATE STREET,NC,3
13123 ALEXANDERANA ROAD,NC,3
118 SHAVER STREET,NC,7
412 EAST COLONIAL AVE,NC,3
2258 HIGHWAY 70 S.E. SUITE 101,NC,8
19701 W CATAWBA AVE STE D,NC,4
502 FIRST FLIGHT RUN,NC,3
1600 QUAKER RIDGE POINT,NC,3
1901 WEST A STREET,NC,3
1204 VILLAGE MARKET PL # 226,NC,3
4385 W SUNRISE ROAD,AK,3
503 BELLE MEADE COURT,NC,3
114 PLANTATION BLVD.,NC,3
48190 GEO GASKINS RD,NC,4
2212 HOPE MILLS ROAD,NC,3
MIDGETT REALTY BUILDING NC HIGHWAY 12,NC,3
280 S. MANGUM STREET SUITE 350,NC,5
305 INDUSTRIAL BLVD,NC,5
300 N MAIN STREET  SUITE 400,NC,4
280 S. MANGUM STREET  SUITE 350,NC,6
146 GRADY DALE LANE,NC,3
8623 TULLAMORE PARK CIRCLE,NC,3
2108 STAR SAPPHIRE DRIVE,NC,3
560 DOE RUN DRIVE,NC,3
1428 JERICHO CHURCH RD,NC,3
2915 CASTLE HAYNE RD,NC,3
2313 RANDOLPH ROAD,NC,3
5400 ADDISON DRIVE,NC,4
5321 BLUE SAGE DRIVE,NC,4
1510 BATTLEGROUND AVENUE,NC,5
2530 ROYAL PALM LANE,NC,3
205 CHERRYWOOD DRIVE,NC,4
1754 SPRING PATH TRAIL,NC,3
3160 SEAGULL DRIVE,AK,3
5325 SHADY BLUFF STREET,NC,3
200 WEST PALMER DRIVE,NC,3
12901 VON SCHEBEN DR,AK,3
2300 E. 7TH STREET SUITE 101,NC,3
4358 STYERS FERRY ROAD,NC,4
3737 GLENWOOD AVE.  STE. 100,NC,5
75 MCCORMICK DRIVE,NC,3
3116 FORRESTAL DRIVE,NC,6
7303 ARTIFACT COURT,NC,4
4316 HENSON DRIVE,NC,3
268 HICKORY TRACE LANE,NC,4
10612 WINDING WOOD TRAIL,NC,3
7930 WEST KENTON CIRCLE SUITE 260,NC,3
110 CUPOLA CHASE WAY,NC,8
4040 JAMES DRIVE,NC,3
1440 SABINO DRIVE,NC,4
101 SALEM TOWNE COURT,NC,3
100 EVERGREEN VIEW DRIVE,NC,4
120 PENMARC DR. STE 118,NC,3
301 E JOHN ST # 3491,NC,4
5475 MINNIE TRAIL,NC,3
2489 KALEIGH WAY,NC,3
2425 KIMREY ROAD,NC,5
514 S. STRATFORD ROAD  SUITE 220,NC,4
717 CHESAPEAKE PLACE,NC,3
11510 NORTH COMMUNITY HOUSE ROAD  SUITE 150,NC,3
710-A MADAM MOORES LN,NC,3
101 FAIR OAKS LANE,NC,3
14112 BOLD RUN HILL ROAD,NC,3
4325 LAKE BOONE TRAIL  SUITE 220,NC,9
3237 MOUNTIAN VIEW DR,AK,3
1701 RUTLEDGE AVENUE,NC,7
734 ROANOKE AVE,NC,3
206 BRIDGE POINTE DR,NC,3
3005 SOUTH CHURCH STREET,NC,3
733 KOURY DRIVE,NC,3
413 AMELIA AVENUE,NC,5
200 PUNKIN CENTER,NC,3
131 RACINE DR  SUITE 203,NC,4
314 N. HAYNE ST.,NC,3
2058 SKYLAND DRIVE,NC,3
4243 S NC 127 HWY,NC,3
806 GREEN VALLEY RD  SUITE 311,NC,7
108 DUNSTAN ST,NC,3
10700 SIKES PLACE  SUITE 300,NC,3
7900 MCCLOUD RD,NC,3
103 PIER 33 DR UNIT 214,NC,3
806 GREEN VALLEY ROAD STE 311,NC,4
51310 EQUESTRIAN AVE,AK,3
5521 E34TH AVE,AK,4
9712 MOODY CT,NC,3
2412 FLINT DRIVE,NC,4
4191 OLD SEWARD HWY,AK,3
5580 CENTERVIEW DRIVE  SUITE 115,NC,3
342 HILL STREET,NC,4
305 DOGGETT STREET,NC,3
11681 BARR RD,AK,3
204 EXCHANGE PLACE,NC,3
4109 TEW ST,NC,3
1001 BENTHAM DR,NC,5
1860 MORGANTON ROAD,NC,3
294 SEAWATCH WAY,NC,3
1213 WELLSTONE CIRCLE,NC,3
919 RED BANKS RD,NC,3
204 INDIGO DRIVE,NC,3
1070-1 TUNNEL ROAD  SUITE 10-291,NC,3
262 LEROY GEORGE DRIVE,NC,3
58 PIGEON STREET,NC,3
349 HAYWOOD ROAD,NC,4
613 US HWY 158 BYPASS,NC,3
113 GLENHAVEN DRIVE,NC,3
"9360 GLACIER HIGHWAY, SUITE 202BOROUGH OF JUNEAU",AK,5
1922 CAUDLE DR,NC,4
300 E BROAD ST,NC,4
616 ROCKSPRING ROAD,NC,3
17129 HARCOMBE DRIVE,NC,5
105 S. WILMINGTON ST,NC,3
2034-A VAN BUREN AVE,NC,4
420 SKYLAND LAKE DRIVE,NC,3
841 BAXTER STREET  STE 120,NC,3
6991 BEACH DRIVE SW,NC,3
7237 RUSTED OAK ROAD,NC,3
601 RUNNING HORSE LN,NC,5
751 W 4TH STREET SUITE 110,NC,3
398 ANTIOCH CHURCH ROAD,NC,3
131 SUNSET ACRES LANE,NC,3
8207 VILLAGE HARBOR DR,NC,3
116 FAIR OAKS DRIVE,NC,4
137 SOUTH PARK PLACE,NC,3
2728 COWLES RD,NC,3
159 RIVERCHASE LANE,NC,3
504 GUILFORD AVE UNIT C,NC,3
243 NORTH BRIDGE STREET,NC,3
1616 CLEVELAND AVE.,NC,10
900 OLD RICHARDSON HWY,AK,3
938 HAMPTON PLACE,NC,3
293 DELL LANE,NC,4
2330 RANDOLPH ROAD,NC,3
3148 NC HIGHWAY 105 S,NC,3
7026 SUMMERFIELD RD,NC,3
4860 DIAMOND CREEK PLACE,AK,3
6637 ARCTIC SPUR RD,AK,3
11947 STRATFIELD PLACE CIRCLE,NC,3
101 CEDAR STREET,NC,3
101 E 9TH AVESTE 12-B,AK,10
6813 HIGHGROVE PLACE,NC,3
530 CAUSEWAY DR,NC,3
203 EAST UNION STREET,NC,3
105 OAKMONT DRIVE  SUITE D,NC,3
122 SANDYMEAD RD,NC,3
302 W BROAD ST,NC,3
196 EAGLE DRIVE,NC,3
10712 LUNAR CIRCLE,AK,3
1305 TRINITY AVE.,NC,4
105 RHODODENDRON AVE,NC,4
130 WRIGHT WAY,NC,4
726 BOWEN RD,NC,4
1309 BEDLINGTON DRIVE,NC,3
110 NORTH MAIN STREET,NC,3
211 S. MAIN ST.,NC,4
6489 SUDBURY DR,NC,3
275 JOE MOORE ROAD,NC,3
3597 SCOTTS HILL LOOP RD,NC,3
2900 GROVELAND DRIVE,NC,3
3409 KIRBY DR,NC,3
1023 SOUTHERN AVE APT 1,NC,3
111 CLOISTER COURT SUITE 214,NC,3
3100 CHANNEL DR STE 300,AK,3
1100 CULP ROAD,NC,3
100 SIMMONS LANE,NC,3
204 TARBORO ST E,NC,7
1002 BLANTON PL,NC,3
39 SMOKEMONT DRIVE,NC,3
434 FAYETTEVILLE STREET  STE. 2500,NC,4
8061 WOODGREEN CIRCLE,AK,3
16145 STANLEY RD,AK,3
3050 SENNA DRIVE SUITE A,NC,3
104 S RICHARDSON BLVD UNIT 1416,NC,4
5017 AVENIDA DEL SOL DR,NC,3
4920 BIRCHLEAF DRIVE,NC,5
411 N. CHERRY ST.,NC,3
2750 ARMSTRONG DRIVE,NC,4
312 SOUTH FRONT STREET,NC,3
375 10TH AVENUE DRIVE NE,NC,3
5800 TEN SPRINGS LANE,NC,6
300 WEST 27TH STREET,NC,4
1698 E ARLINGTON BOULEVARD,NC,5
100 S. 10TH STREET,NC,3
3735 ADMIRAL DRIVE SUITE 111,NC,3
228 W MARKET ST,NC,5
8520 SIX FORKS ROAD SUITE 101,NC,3
4221 HWY 150 EAST,NC,3
200 FIRST AVENUE NW SUITE 531,NC,3
13023 WILLIAM HARVEY CT,NC,3
9610 LITTLELEAF DRIVE,NC,3
2415 TUCKASEEGEE RD,NC,3
1250 HOOKS RD,NC,3
100 N CHERRY ST  STE 600,NC,3
2003 MOUNTAIN CT,NC,3
3402 WILSHIRE BLVD,NC,3
45 JOE JENKINS ROAD,NC,4
150 N WHITE ST,NC,4
115 CHURCH ST NE,NC,5
306 SHERWOOD FOREST RD,NC,3
600 RAVENSCAR COURT,NC,3
5401 BLOWING FIELD CIR,NC,5
625 SHADOW LANE,NC,3
212 CLOVERDALE DRIVE,NC,4
973 STATE ST.,AK,3
4250 GOODYEAR DRIVE,NC,3
330 S. GREENE STREET SUITE B-11,NC,3
"5409 STEPHEN'S LANE",NC,4
610 E 7TH STREET,NC,3
7425 FOUR BROTHERS WAY,NC,3
210 N CHURCH ST UNIT 1312,NC,3
672 FIELDING RD,NC,3
3100 HERON LAKE COURT,NC,3
8633 RANSOM LANE,NC,3
730 WILHELM PLACE  NE,NC,3
245 WESTLAKE ROAD SUITE 101,NC,3
6233 APPLEWHITE RD,NC,3
4801 GLENWOOD AVE,NC,4
232 EAGLE POINT DRIVE,NC,3
7028 LAKESIDE DR,NC,3
1204 NORTH LAKE PARK BOULEVARD  SUITE E,NC,3
1004 MANOR GLEN WAY,NC,3
612 NORTHWIND DR,NC,3
11530 BEATTIES FORD ROAD,NC,3
5615 MCLEANSVILLE ROAD,NC,3
50 PLANTATION DR,NC,3
144 SALOLA ST,NC,3
145 PARADOX LANE,NC,3
627 DAVIS DRIVE  SUITE 400,NC,4
92 CORNERSTONE DRIVE  #336,NC,3
2115 ROSWELL AVENUE,NC,4
5534 WHISTLEWOOD LANE,NC,3
560 TURNERSBURG HWY,NC,3
4112 BLUE RIDGE ROAD STE 100,NC,3
127 ARAYA LANE,NC,3
14798 US HWY 301 S,NC,3
163 JUSTICE RIDGE RD,NC,3
1100 CRESCENT GREEN SUITE 200,NC,4
130 CONSTANCE SPRY WAY,NC,3
4090 PLANTATION DRIVE,NC,4
104 GARNET LANE,NC,4
5936 MONROE RD,NC,5
106 LANGTREE VILLAGE DR SUITE 301,NC,5
3036 HOLLOWAY STREET,NC,3
600 SOUTH MAGNOLIA AVENUE,NC,4
333 S. LAMAR STREET,NC,4
705 BROAD ST,NC,3
766 HAILEYS FERRY ROAD,NC,4
1480 CHAPEL RIDGE RD SUITE 100,NC,3
341 NORTHEAST BLVD,NC,3
122 BACKSTRETCH LN,NC,3
6110 SHARON HILLS RD,NC,5
6 COURT SQUARE NW,NC,3
704 BROAD ST,NC,3
6704 HEMLOCK CT,NC,3
425 MAIN ST PO BOX 519,NC,3
2310 TRANQUIL DRIVE,NC,3
2820 SELWYN AVE  #640,NC,3
6412 WINDSOR ROAD,NC,4
134 MEDICAL DRIVE,NC,3
138 SMITH DRIVE,NC,4
277 LINWOOD RD,NC,3
4733 DWIGHT EVANS ROAD,NC,3
4903 MARKET STREET,NC,3
1098 BURNING TREE DRIVE,NC,3
120 S BOYLAN AVENUE,NC,3
906 DACAVIN DRIVE,NC,3
116 GREENSBORO RD,NC,4
1223 WESTWOOD AVENUE,NC,3
417 WEST PEACE STREET #701,NC,3
205 RIDGECREST DRIVE,NC,3
112 DUNSTAN ST,NC,6
5216 E. INDEPENDENCE BLVD,NC,3
4520 BROOKWOOD ROAD,NC,4
1424 RICKERT STREET,NC,5
7101 YELLOWHORN TRAIL,NC,3
1703 KAYLA COURT,NC,3
2820 SELWYN AVENUE STE 400,NC,3
182 HOUSER FARMS ROAD,NC,3
11544 N MAIN ST,NC,4
114 AMELIA LANE,NC,3
6201 FAIRVIEW RD,NC,4
500 WEST 5TH STREET  SUITE 400,NC,3
526 RIDGE ROAD,NC,4
2855 RIDGEWOOD PARK DRIVE,NC,3
1610 INDUSTRIAL CENTER CIRCLE,NC,3
1614 HAMLIN RD,NC,3
14018 CLARENDON POINT CT,NC,3
2620 BUSINESS PARK DRIVE,NC,3
2415 SPRING GARDEN ST.,NC,3
8703 RIVER KEEPER WAY,NC,3
9100 EMERALD DRIVE,NC,4
14216 WYNDFIELD CIRCLE,NC,3
118 OAK HEIGHTS ROAD,NC,3
70 ROCK RIDGE ROAD,NC,3
4730 23RD AVE,NC,3
103 A WHITE STREET,NC,7
308 ASH STREET,AK,7
3813 GLENLEA COMMONS DRIVE,NC,3
109 BRECKENRIDGE DRIVE,NC,4
104 GREAT OAKS,NC,5
201 TEAKWOOD DRIVE,NC,4
6532 FARMINGDALE DR,NC,4
ATTN: JAMES M DAY 2626 GLENWOOD AVE.- SUITE 560,NC,3
3980 PREMIER DRIVE  SUITE 210,NC,3
3317 MARBLEHEAD LANE,NC,3
644 SPENCER COURT,NC,6
3103 ROYAL TROON LN,NC,3
7237 KENYON DRIVE,NC,4
113 TOWER DR,NC,3
460 FAIRWAY DR,AK,4
2544 MORROCROFT LANE,NC,3
1500 EAST MAIN STREET,NC,4
932 HENDERSONVILLE ROAD  SUITE 101,NC,3
3557 N. SHARON AMITY RD STE 101,NC,3
159 HUNTINGTON RIDGE PL,NC,3
108 W FRANCK ST,NC,5
4900 FALLS OF NEUSE ROAD  SUITE 150,NC,5
2150 HAHN RD,NC,3
2700 CHILTON PLACE,NC,3
5022 WRIGHTSVILLE AVE,NC,3
121 B N SALEM STREET SUITE 4,NC,3
1131 B MILITARY CUTOFF RD.,NC,3
4711 HOPE VALLEY RD.  STE 4F-205,NC,4
2911 OAK RIDGE RD,NC,6
328 EAST MAIN STREET,NC,3
4700 FALLS OF NEUSE RD STE 400,NC,7
206 SOUTHGATE DR STE 21-B,NC,9
315 SPRING GARDEN STREET,NC,3
4321 MEDICAL PARK DRIVE  SUITE 100,NC,3
100 NORTH TRYON STREET  SUITE 4700,NC,7
215 MAIN STREET EAST,NC,5
2225 MORELAND DR,NC,3
1422 BURTONWOOD DRIVE,NC,3
140 ROBINS STREET,NC,4
439 NEISLER ST,NC,3
PO BOX 104,NC,5
2520 ARMSTRONG CIRCLE,NC,3
323 SANFORD DRIVE,NC,4
120 PINNACLE DRIVE,NC,5
517 WALNUT AVE,NC,3
2450 DAVIE AVE,NC,5
4919 HICKORY BLVD,NC,4
209 NORTH MAIN STREET,NC,3
6805 MORRISON BLVD  SUITE 250,NC,12
4810 ADDISON DRIVE,NC,4
7320 SIX FORKS RD  SUITE 100,NC,5
153 MERCER STREET,NC,3
6706 GLENMOOR DR,NC,3
2716 WESTPORT RD,NC,4
706 MCKOY ST.,NC,4
8410 PIT STOP CT. NW STE 150,NC,4
213 DICK ST,NC,3
116 LUTHER BROWN RD.,NC,3
2226 NORTHRIDGE PL,NC,3
12217 GREYMORE CT,NC,3
2209 OAKVIEW DRIVE,NC,3
204 TARBORO STREET EAST,NC,4
230 FREDERICK STREET,NC,4
3415 AIRPORT RD,NC,3
15639 N TONGASS HWY,AK,4
2019 SHELTON AVE,NC,4
7023 BICKHAM LANE,NC,3
225 N MAIN ST,NC,3
281 S. CONQUEST CIRCLE,AK,4
4009 TROTTER RIDGE RD,NC,4
3824 SHERWOOD CIRCLE,NC,5
273 SLUDER BRANCH RD,NC,3
3514 MCKEE ROAD,NC,3
107 JOHNSON ST,NC,3
3014 DOUGHTON LANE,NC,4
2408 WESTFIELD ROAD,NC,3
3020-I  PROSPERITY CHURCH ROAD #970,NC,3
870 PARK AVE,NC,5
3005 ROTHGEB DRIVE,NC,3
100 EUROPA DRIVE STE 421,NC,3
401 MEADOWLAND DRIVE SUITE 102,NC,3
211 SOUTH MAIN STREET,NC,4
13024 EASTFIELD RD  SUITE A-9,NC,5
5061 SHORELINE DRIVE,AK,3
143 REEMS CREEK ROAD,NC,3
118 TIMBER ROAD,NC,5
9110 HOOD ROAD,NC,6
4047 MAIN ST. #105,AK,4
25909 E JUSTIN RD,AK,3
3772 GRANITE STREET,NC,3
430 EDWARDIA DR,NC,3
4904 GRILSE WAY,NC,3
4421 SANDY WOODS DR,NC,4
6012 BAYFIELD PKWY,NC,6
4700 EAST SHAWS DRIVE,AK,3
119 N MAXWELL AVE,NC,6
112 IRIS LANE,NC,4
106 PINEDALE SPRINGS WAY,NC,3
751 OLD RICHARDSON HWY STE 205,AK,3
4930 MARY ST,NC,3
4700 HOMEWOOD COURT SUITE 220,NC,8
1336 COLLEGE AVE,NC,3
8 ISLE PLAZA,NC,4
618 W KITTY HAWK RD,NC,3
1902 MISSION OAKS ST,NC,3
312 EAST MAIN STREET,NC,3
11328 BLUE BLOSSOM RD,NC,4
112 GALWAY DRIVE,NC,5
1341 MOONSHADOW LANE,NC,4
31832 HERMAN LEIRER ROAD,AK,3
4700 SIX FORKS ROAD  SUITE 200,NC,3
310 MAIN AVENUE WAY SE,NC,5
801 SUNSET DRIVE,NC,3
537 COLVILLE RD,NC,3
725 N RALEIGH STREET,NC,4
2154 RIDGE FOREST DRIVE,NC,4
2828 IRBY DRIVE,NC,4
1001 SCREECH OWL DRIVE,NC,3
3120 N. CROATAN HIGHWAY SUITE 101,NC,3
6131 OLD CONCORD ROAD,NC,3
402 ALAMANCE RD  STE E,NC,6
1901 MARY ANN DRIVE,NC,3
1717 BRASSFIELD ROAD,NC,4
7111 BULLOCK DRIVE,NC,3
791 OCEAN DRIVE LOOP,AK,4
78 DILLINGHAM RD,NC,4
2517 DUCK CLUB RD,NC,3
1820 EASTCHESTER DR,NC,3
11428 ROYAL AMBER WAY,NC,3
12245 NATIONS FORD RD STE 503,NC,3
9805 STATESVILLE ROAD,NC,5
9805 STATESVILLE RD STE 6278,NC,3
621 WALTERS DR,NC,3
1800 REGENTS PARK LANE,NC,3
115 CHATWORTH LANE,NC,3
355 NANCE ROAD,NC,4
207 5TH STREET PLACE NE,NC,3
36 RAMBLE WAY,NC,3
4563 TECHNOLOGY DR STE 5,NC,3
1401 HEATHER LN,NC,3
3503 A G WARREN RD,NC,10
5704-101 OLEANDER DRIVE,NC,4
217 TIMBER CREEK PATH,NC,4
1124 GROGANS MILL DRIVE,NC,7
121 NORTH COLUMBIA ST,NC,7
130 VALLEYMIST LANE,NC,7
156 ECLIPSE WAY,NC,3
1919 HIGHLAND PLACE,NC,3
10360 NIGH RD,AK,5
1275 SHINN FARM ROAD,NC,4
114 VICTORY LANE,NC,3
4621 TRIUMPH DR SW,NC,3
2850 FORESTDALE DRIVE,NC,3
675 NORTH MAIN STREET,NC,3
110 WEST THIRD STREET,NC,5
360 WOLFPACK LANE,NC,5
282 MOORE MOUNTAIN ROAD,NC,5
7036 HYDE PARK DR,NC,3
4780 CHARLIE HIPP RD,NC,3
2001 SOUTH MAIN STREET,NC,3
11907 JAMES JACK LANE,NC,4
117 TRACKSIDE RD,NC,4
658 WHITE HORSE DRIVE,NC,3
2215 ANSONVILLE ROAD,NC,3
3550 IVANHOE ROAD,NC,4
38 ORANGE STREET,NC,7
21025 CATAWBA AVENUE  SUITE 101,NC,4
8 VAUX CT,NC,5
7830 COMMERCE DRIVE,NC,3
4017 DEERFIELD STREET,NC,3
C/O FIRST STEP INVESTMENTS  LLC 3632 GORDON STREET,NC,4
2311 GEORGE ANDERSON DR,NC,4
36 AUTUMN LEAF LANE,NC,9
192 WASHINGTON ST,NC,3
3901 BATTLEGROUND AVE APT 239,NC,3
1 SOUTH MAIN STREET EXTENSION,NC,3
2400 CROWNPOINT EXECUTIVE DRIVE  SUITE 300,NC,4
26 GOLDENROD DRIVE,NC,4
18525 STATESVILLE RD STE D-02,NC,4
9033 COSTNER RD,NC,3
408 S MAIN ST,NC,7
141 BAYVIEW BLVD,NC,3
1656 N NC 16 BUSINESS HWY,NC,3
809 WEST HILL STREET,NC,3
213 KNOLLWOOD DR,NC,3
9900 HILLHAVEN CIR,AK,3
2907 PROVIDENCE ROAD  SUITE 303,NC,3
4100 PAINT SHOP ROAD,NC,3
1656 PARK DRIVE,NC,6
1823 BUXTON WAY,NC,3
8443 ALICE PLAYER DRIVE,NC,4
1090 WEST MARKET STREET,NC,3
4620 WATKINS ROAD,NC,3
6115 THE MEADOWS LANE,NC,3
210 KENSINGTON DRIVE,NC,4
700 WESTINGHOUSE BLVD,NC,3
3027 SPOONS CHAPEL ROAD,NC,3
10926 DAVID TAYLOR DR. SUITE 120,NC,3
4358 ELLISBORO ROAD,NC,5
77 CHEROKEE ROAD,NC,3
301 N. MAIN ST SUITE 2306,NC,3
44211 VICKERS STORE ROAD,NC,3
417 EAST BLVD. #102,NC,4
7721 SIX FORKS RD STE 110,NC,4
204 MUIRS CHAPEL ROAD SUITE 100,NC,3
219 WILLIAMSON ROAD  SUITE 1101,NC,4
2441 KINSTON HWY,NC,3
4213 SAUBRANCH HILL STREET,NC,4
4100 BERESFORD RD,NC,4
142 ALPINA WAY,AK,3
3251 KEADY MILL LOOP,NC,3
3150 N ELM ST STE 206,NC,5
1025 CHAMBERWELL AVE,NC,3
155 PARKWAY OFFICE CT SUITE 201,NC,3
4017 MEADOW CIRCLE,NC,3
5835 SAMET DRIVE,NC,3
5407 DILLARD DR,NC,3
108 SUMMER HOLLY LN,NC,3
2004 SOLWAY LANE,NC,5
19425 LIVERPOOL PKWY A  CORNELIUS  NC 28031,NC,3
6495 HARBOR DRIVE,NC,3
203 POINTE DRIVE,NC,4
6030 CREEDMOOR ROAD SUITE 200,NC,4
1101 S. HORNER BLVD.,NC,3
379 S SWING RD,NC,4
4020 WAKE FOREST ROAD  SUITE 306,NC,3
2333 VICTORIA PARK LANE,NC,8
158 MCCASHIN LANE,NC,3
1134 ROSEPINE DR,NC,3
525 NORTH TRYON ST.  SUITE 1600,NC,4
10955 WINDS CROSSING DRIVE  SUITE 100,NC,3
198 SHORE DRIVE,NC,3
1208 CULP RD,NC,3
1210 BROAD ST,NC,3
2301 SPEEDBALL ROAD,NC,7
289 CEDAR LAKE LANE,NC,3
2193 VIKING DR,AK,5
2625 NEUDORF ROAD STE 500,NC,3
12628 AMORETTO WAY,NC,4
4140 PARKLAKE AVE SUITE 525,NC,5
104 CITY HALL PLAZA  SUITE 201,NC,3
1415 W NC 54 BLDG. 100  UNIT 206,NC,6
4880 HARLEY DRIVE,NC,4
170 QUADE DRIVE,NC,3
9321 NETTLETON DRIVE,AK,3
605 BONIFACE CT,NC,3
111 SHAES LANDING,NC,3
6537 SUNSET MANOR DR,NC,3
1179 MAIN STREET,NC,4
200 KITTY BENNETT ROAD,NC,3
512 NOVA AVENUE,NC,3
2220 PROVIDENCE CANYON DRIVE,NC,4
2609 ATLANTIC AVENUE SUITE 201,NC,3
1586 YELVERTON GROVE ROAD,NC,3
