Department Description,ChargeID,ChargeDesc,RevCode,Price,CPT_CODE,De-Identified Minimum Outpatient Allowable Rate,De-Identified Maximum Outpatient Allowable Rate,Medicare Outpatient Allowable Rate,Blue Cross Outpatient Allowable Rate,United Healthcare Outpatient Allowable Rate,Corizon Outpatient Allowable Rate,WPPA Outpatient Allowable Rate,Coventry Outpatient Allowable Rate
Pharmacy,4800188,THROMBIN BOVINE 5000 UNITS,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255747,KERLIX SPONGES 2/PK,270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Laboratory,3558731,RL TIMOTHY GRASS (G6) IGE,300,$0.00,86003,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,2064405,Njx aa/strd gr ocpl nrv,361,"$1,050.00",64405,$316.00,$997.50,$567.00,$316.00,$997.50,$535.50,$391.76,$997.50
Radiology,3320617,TR ABDOMINAL PARACENTESIS W/IMAGING,320,"$1,013.00",49083,$516.63,"$1,214.40",$547.02,$689.00,$962.35,$516.63,"$1,214.40",$962.35
Medical Clinic,99024,GLOBAL POST-OP,521,$0.00,99024,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
MRI,3700085,MRA NECK W/CONTRAST,610,$0.00,70548,$0.00,$627.00,$0.00,$627.00,$0.00,$0.00,$552.18,$0.00
Purchasing,3250680,VAGINAL PACKING,270,$9.50,,$0.00,$9.03,$5.13,$0.00,$9.03,$4.85,$6.65,$9.03
Respiratory Therapy,3900777,OXIMETRY 6 MWT,460,$0.00,94761,$0.00,$16.97,$0.00,$16.97,$0.00,$0.00,$0.00,$0.00
Laboratory,3553704,RL DENGUE FEVER IGM,300,$0.00,86790,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252933,MED. CASSETTE RESV. 50 ML,270,$56.50,,$0.00,$53.68,$30.51,$0.00,$53.68,$28.82,$39.55,$53.68
Midwest Pain Solutions,3064451,Njx aa/strd nrv nrvtg si jt,982,$242.65,64451,$120.18,$539.76,$131.03,$539.76,$230.52,$123.75,$120.18,$230.52
Emergency Room,3300215,I & D OF VULVA/PERINEUM,450,$601.00,56405,$0.00,$570.95,$324.54,$0.00,$570.95,$306.51,$422.22,$570.95
Radiology,3700724,XR MAMMO SURGICAL SPECIMEN,401,$0.00,76098,$0.00,$724.34,$0.00,$0.00,$0.00,$0.00,$724.34,$0.00
Outpatient Clinic,3350318,OP FRACTURE TIBIA CLOSED W/O MAN,510,"$2,118.00",27530,$38.00,"$2,012.10","$1,143.72",$38.00,"$2,012.10","$1,080.18",$309.29,"$2,012.10"
Purchasing,3253791,SUTURE G123H GUT 2-0,270,$10.00,,$0.00,$9.50,$5.40,$0.00,$9.50,$5.10,$7.00,$9.50
Pharmacy,3809961,Famotidine 40mg/4ml Inj,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,3362119,MELATONIN MAXIUM ORAL TAB 5MG,250,$2.00,,$0.00,$1.90,$1.08,$0.00,$1.90,$1.02,$1.40,$1.90
Medical Clinic,G0402    ,WELCOME TO MEDICARE,521,$0.00,G0402   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3701292,"MAMMO DIAGNOSTIC, UNILATERAL",401,$0.00,77065,$0.00,$122.00,$0.00,$122.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,311796,PF DRAINAGE OF SCROTUM,983,$435.00,54700,$0.00,$413.25,$234.90,$0.00,$413.25,$221.85,$327.00,$413.25
Laboratory,3559186,CHLAMYDIA ANTIBODY,300,$0.00,86631,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,20600,INJ SMALL JOINT/BURSA,521,$146.00,20600,$74.46,$391.76,$78.84,$339.00,$138.70,$74.46,$391.76,$138.70
Respiratory Therapy,3907845,IMPULSE OSCILLIOMETRY,460,$0.00,94728,$0.00,$396.68,$0.00,$0.00,$0.00,$0.00,$396.68,$0.00
Laboratory,3553050,LB UA NON-AUTO/NO MICRO DIP,300,$15.00,81002,$0.00,$14.25,$8.10,$0.00,$14.25,$7.65,$0.00,$14.25
Radiology,3700557,XR LOWER EXTREM INFANT 2 VIEWS,320,$0.00,73592,$0.00,$137.08,$0.00,$137.08,$0.00,$0.00,$121.35,$0.00
Emergency Room,3302112,ER APPLY SHORT LEG SPLINT CALF/FOOT,450,$437.00,29515,$211.77,$415.15,$235.98,$228.00,$415.15,$222.87,$211.77,$415.15
Laboratory,3558866,RL HANTAVIRUS ANTIBODY,300,$0.00,86790,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,3300216,TREAT RADIUS FRACTURE,450,"$1,743.00",24655,$888.93,"$2,088.53",$941.22,"$1,106.00","$1,655.85",$888.93,"$2,088.53","$1,655.85"
Purchasing,3255308,I GEL AIRWAY SIZE 2,270,$60.00,,$0.00,$57.00,$32.40,$0.00,$57.00,$30.60,$42.00,$57.00
Purchasing,3251935,OB FEEDING TUBE 8 FR.,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Purchasing,3251936,U-BAG,270,$4.00,,$0.00,$3.80,$2.16,$0.00,$3.80,$2.04,$2.80,$3.80
Medical Clinic,99203,OFFICE VISIT NEW PATIENT LEVEL 3,521,$0.00,99203,$0.00,$100.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0004  ,SED RATE,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3559094,RL DRUG SCREEN MECONIUM,300,$0.00,80307,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800771,SPINAL PUNTURE TRAY ADULT,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250378,DRILL BIT 2.8MM STRYKER,270,"$1,440.00",,$0.00,"$1,368.00",$777.60,$0.00,"$1,368.00",$734.40,"$1,008.00","$1,368.00"
Surgery,3320703,OR SCOPE SHOULDER DISTAL CLAVICULECTOMY,360,"$5,009.00",29824,"$2,554.59","$4,758.55","$2,704.86","$3,406.00","$4,758.55","$2,554.59","$4,245.60","$4,758.55"
Emergency Room,3300212,CMPLX RPR S/A/L 1.1-2.5 CM,450,$808.00,13120,$307.00,$786.26,$436.32,$307.00,$767.60,$412.08,$786.26,$767.60
Pharmacy,4800394,PO DIVALPROEX SODIUM TAB 25 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3256190,"""MICROPORE 2"""" ROLL""",270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Laboratory,3558705,RL COCKROACH (I6) IGE,300,$0.00,86003,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,11423,EXC BENIGN LESION S/N/H/F/GEN 2.1-3.0CM,521,$440.00,11423,$224.40,"$2,110.50",$237.60,"$1,624.00",$418.00,$224.40,"$2,110.50",$418.00
Pharmacy,4800606,PO DRONABINOL CAP 2.5 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253444,WOUND IRRIGATION SHIELD,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Laboratory,3550195,RL FACTOR V (LEIDEN),300,$612.00,81241,$0.00,$581.40,$330.48,$0.00,$581.40,$312.12,$428.40,$581.40
Emergency Dept Pro-Fees,399253,PF IP CONSULT LEVEL 3 55 MINUTES,960,$0.00,99253,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0036  ,TYPE AND CROSSMATCH X1,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255176,WRIST SUPPORT LARGE RT.,270,$40.00,L3908   ,$0.00,$38.00,$21.60,$0.00,$38.00,$20.40,$28.00,$38.00
Pharmacy,4800570,SODIUM CHLORIDE BACT INJ 10 ML VIAL,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253272,WALKING BOOT X-LARGE,274,$166.00,L4360   ,$0.00,$157.70,$89.64,$0.00,$157.70,$84.66,$116.20,$157.70
Laboratory,3558971,3-0H-ISOBUTYTRIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800124,LEUPROLIDE ACETATE INJ 30 MG,636,$0.00,J9217   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,3300321,ER IV THERAPY INITIAL UP TO 1HR,450,$232.00,96365,$118.32,$305.25,$125.28,$132.00,$220.40,$118.32,$305.25,$220.40
Purchasing,3254806,CERVICAL COLLAR STIFF PED,270,$35.00,,$0.00,$33.25,$18.90,$0.00,$33.25,$17.85,$24.50,$33.25
Pharmacy,4800978,SALINE WOUND WASH SPRAY,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800696,INJ INSULIN ASPART 100 UNITS PER ML,636,$0.00,J1815   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Nursing,3000004,ROOM AND CARE- GENERAL,120,"$1,308.00",,$0.00,"$1,242.60",$706.32,$0.00,"$1,242.60",$667.08,$915.60,"$1,242.60"
Pharmacy,4800153,INJ IOHEXOL 300 MG PER ML 50 ML,636,$0.00,Q9967   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,399202,PF CLINIC VISIT LEVEL 2 NEW PT,983,$0.00,99202,$0.00,$67.00,$0.00,$67.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558909,LB LDL,300,$0.00,83721,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3553167,LB COMPATIBILITY IMM SPIN,300,$152.00,86920,$0.00,$223.74,$82.08,$0.00,$144.40,$77.52,$223.74,$144.40
Ultrasound,3730349,US SEGMENTAL PRESSURES W/EXERCISE BILAT,921,$0.00,93924,$0.00,$476.00,$0.00,$476.00,$0.00,$0.00,$396.68,$0.00
Emergency Dept Pro-Fees,399244,PF ER/OP CONSULT LEVEL 4 60 MIN,983,$0.00,99244,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3251472,CATH. TROCAR. 24 FR.,270,$55.00,,$0.00,$52.25,$29.70,$0.00,$52.25,$28.05,$38.50,$52.25
Purchasing,3251893,OB C-SECTION PACK II,270,$109.00,,$0.00,$103.55,$58.86,$0.00,$103.55,$55.59,$76.30,$103.55
Medical Clinic,99391,PREVENTIVE MED EST PT <1 Y/O,521,$0.00,99391,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3256272,SUTURE V-960  10-0 EYE,270,$42.00,,$0.00,$39.90,$22.68,$0.00,$39.90,$21.42,$29.40,$39.90
Surgery,3150652,DEBRDEMNT BONE MSCLE &/FASCIA 20 SQ CM/<,360,"$1,500.00",11044,$276.00,"$2,110.50",$810.00,$276.00,"$1,425.00",$765.00,"$2,110.50","$1,425.00"
Pharmacy,4801228,ETESEVIMAB INJ 700MG/20ML,636,$0.00,Q0245   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Physical Therapy,3950640,PT MOVE OBJECT DISCHARGE,420,$0.00,G8986   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255266,NEEDLE RP 360 SUTURE PASSER,270,$484.00,,$0.00,$459.80,$261.36,$0.00,$459.80,$246.84,$338.80,$459.80
Laboratory,3559165,2-METHYLGLUTACONITE CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558793,RL COMPLEMENT AG,300,$0.00,86160,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,3360908,LASER NO CHARGE,521,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800992,INJ INSULIN LISPRO KWIKPEN 100 UNITS ML,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801123,PO BACLOFEN 10 MG TAB,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3552045,RL PRENATAL PROFILE 1,300,$368.00,80055,$0.00,$349.60,$198.72,$0.00,$349.60,$187.68,$0.00,$349.60
Pharmacy,4801112,PO ATORVASTATIN TAB 40 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Respiratory Therapy,3907835,PLETHYSMOGRAPHY,460,$0.00,94726,$0.00,$396.68,$0.00,$172.70,$0.00,$0.00,$396.68,$0.00
Purchasing,3250804,SUTURE 1669H ETHILON 3-0,270,$10.00,,$0.00,$9.50,$5.40,$0.00,$9.50,$5.10,$7.00,$9.50
Laboratory,LAB0032  ,FREE PSA,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255614,"""YANKAUER WITH BULB TIP 10""""""",270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Pharmacy,4810047,METHERGINE INJ 0.2 MG,636,$0.00,J2210   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,447563,PF PA/APRN ASSIST LAP CHOLE W/CHOLANG,975,$0.00,47563,$0.00,"$5,828.00",$0.00,"$5,828.00",$0.00,$0.00,"$1,097.12",$0.00
Emergency Dept Pro-Fees,326645,PF FRACTRURE THUMB DISLOCATION,982,"$1,282.00",26645,$619.24,"$1,217.90",$692.28,$801.00,"$1,217.90",$653.82,$619.24,"$1,217.90"
Medical Clinic,11011,"DEBRIDEMENT, SKIN, SUBQ, MUSCLE/FASCIA",521,"$1,482.00",11011,$276.00,"$1,407.90",$800.28,$276.00,"$1,407.90",$755.82,$932.96,"$1,407.90"
Treatment Room,3320517,"TR CHEMO IV, EA SEQ NEW DRUG 1ST HR",761,$408.00,96417,$35.00,$387.60,$220.32,$35.00,$387.60,$208.08,$92.96,$387.60
Purchasing,3252942,REMEDY REPAIR LOTION,270,$9.00,,$0.00,$8.55,$4.86,$0.00,$8.55,$4.59,$6.30,$8.55
Pharmacy,4800093,FLUMAZENIL IV 0.1 MG/ML-5 ML MDV,636,$0.00,J3490   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250005,TENNIS ELBOW STRAP UNIVER,270,$15.00,,$0.00,$14.25,$8.10,$0.00,$14.25,$7.65,$10.50,$14.25
Purchasing,3250122,VEST LARGE,270,$220.00,,$0.00,$209.00,$118.80,$0.00,$209.00,$112.20,$154.00,$209.00
Purchasing,3255838,"""KLING BANDAGE 6"""" ROLL""",270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Purchasing,3253981,SUTURE 8412H - PROLENE -0-,270,$7.00,,$0.00,$6.65,$3.78,$0.00,$6.65,$3.57,$4.90,$6.65
Surgery,3150627,OR PARTIAL REMOVAL OF TOE,360,"$3,141.00",28160,"$1,601.91","$4,245.60","$1,696.14","$2,136.00","$2,983.95","$1,601.91","$4,245.60","$2,983.95"
Laboratory,3559003,3-0H-VALERIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250499,STERI DRAPE 17X23,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Speech Therapy,4050133,ST VOICE D/C STAT W/MOD,440,$0.00,G9173   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,3850298,DEXTROSE 5 % LR 1000 ML,636,$0.00,J7121   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558820,RL IMMUNOFIXATION E-PHORESIS,300,$0.00,86334,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3257735,MAD NASAL W/SYRINGE,270,$22.00,,$0.00,$20.90,$11.88,$0.00,$20.90,$11.22,$15.40,$20.90
Medical Clinic,20610,INJ MAJOR JOINT/BURSA W/O US,521,$275.00,20610,$140.25,$413.00,$148.50,$413.00,$261.25,$140.25,$391.76,$261.25
Pharmacy,4810222,DIAZEPAM 2 MG TAB,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3254575,CIRCUMCISION TRAY,270,$48.00,,$0.00,$45.60,$25.92,$0.00,$45.60,$24.48,$33.60,$45.60
Surgery,3320686,"OR SCOPE SHOULDER DEBRIDEMENT, LIMITED",360,"$6,068.00",29822,"$3,094.68","$5,764.60","$3,276.72","$4,126.00","$5,764.60","$3,094.68","$4,245.60","$5,764.60"
Purchasing,3251000,DEBRISOFT DRESSING 4X4,270,$32.00,,$0.00,$30.40,$17.28,$0.00,$30.40,$16.32,$22.40,$30.40
Pharmacy,4800872,INH XOPENEX 0.31 MG PER 3 ML AMP,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,2644945,INJ PAVERT F JNT L/S 2 LEV,361,"$1,800.00",64494,$0.00,"$1,710.00",$972.00,$821.00,"$1,710.00",$918.00,$0.00,"$1,710.00"
Laboratory,3559044,RL TRICYCLIC & CYCLIC 6 OR MORE,300,$0.00,80337,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3553076,LB GTT (3) SPECIMENS,300,$151.00,82951,$0.00,$143.45,$81.54,$0.00,$143.45,$77.01,$105.70,$143.45
Treatment Room,3320351,TR EXCISION TUMOR NECK < 3.0CM,761,"$3,065.00",21555,"$1,563.15","$2,911.75","$1,655.10","$2,084.00","$2,911.75","$1,563.15","$2,110.50","$2,911.75"
Laboratory,3550016,"RL LEAD, BLOOD",300,$89.00,83655,$0.00,$84.55,$48.06,$0.00,$84.55,$45.39,$0.00,$84.55
Purchasing,3254996,CHLORHEXIDINE WASHCLOTHS,270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Laboratory,3558899,RL ANTI-SM/RNP,300,$0.00,86235,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,3360718,INJ ZOFRAN 4 MG,636,$4.00,J2405   ,$0.00,$3.80,$2.16,$0.00,$3.80,$2.04,$2.80,$3.80
Laboratory,3552409,RL MYCOPLASMA TITER,300,$130.00,86738,$0.00,$123.50,$70.20,$0.00,$123.50,$66.30,$0.00,$123.50
Medical Clinic,11740,EVACUATION SUBUNGUAL HEMATOMA,521,$96.00,11740,$0.00,$167.93,$51.84,$0.00,$91.20,$48.96,$167.93,$91.20
Laboratory,3550012,RL HOMOCYSTENE,300,$340.00,83090,$0.00,$323.00,$183.60,$0.00,$323.00,$173.40,$0.00,$323.00
Medical Clinic,11601,EXC MAL LESION TRUNK 0.6-1.0CM,521,$415.00,11601,$211.65,$932.96,$224.10,$815.00,$394.25,$211.65,$932.96,$394.25
Purchasing,3250406,MISTY NEBULIZER,270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Laboratory,3552078,LB BETA HCG QT,300,$210.00,84702,$0.00,$199.50,$113.40,$0.00,$199.50,$107.10,$0.00,$199.50
Pharmacy,4800987,PO CEFDINIR CAP 300 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800932,PO GASTROGAFIN BOTTLE 120 ML,255,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3256546,GLOVE ESTEEM 7 PAIR,270,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800639,PO LEVOTHYROXINE SODIUM TAB 150 MCG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3251829,CATH. SILI/FOLEY 18FR 5CC,270,$11.00,,$0.00,$10.45,$5.94,$0.00,$10.45,$5.61,$7.70,$10.45
Laboratory,3558856,RL TESTOSTERONE FEMALE/ADOLESCENT,300,$0.00,84403,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3701315,INJECTION FOR WRIST X-RAY,320,$0.00,25246,$0.00,$312.00,$0.00,$312.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,343753,PF NG Tube Placement w/o guidance,982,$360.00,43753,$0.00,$342.00,$194.40,$0.00,$342.00,$183.60,$33.22,$342.00
Purchasing,3250163,KNEE CAP SLEEVE XL,270,$16.00,,$0.00,$15.20,$8.64,$0.00,$15.20,$8.16,$11.20,$15.20
Laboratory,3551070,RL LITHIUM,300,$96.00,80178,$0.00,$91.20,$51.84,$0.00,$91.20,$48.96,$0.00,$91.20
Medical Clinic,43450,"ESOPHAGEAL DILATION, UNGUIDED",521,$0.00,43450,$0.00,"$1,214.40",$0.00,$812.00,$0.00,$0.00,"$1,214.40",$0.00
Purchasing,3250362,CROSSCHECK MTP RIGHT,270,"$9,612.00",,$0.00,"$9,131.40","$5,190.48",$0.00,"$9,131.40","$4,902.12","$6,728.40","$9,131.40"
Laboratory,3551500,RL HEPATITIS B SURFACE AB,300,$184.00,86706,$0.00,$174.80,$99.36,$0.00,$174.80,$93.84,$0.00,$174.80
Midwest Pain Solutions,2644185,NJX AA/STRD SPRSCAP NRV,761,"$3,000.00",64418,$307.00,"$2,850.00","$1,620.00",$307.00,"$2,850.00","$1,530.00",$951.89,"$2,850.00"
Purchasing,3250374,EPIDURAL NEEDLE TUOHY 17G X 6,270,$76.10,,$0.00,$72.30,$41.09,$0.00,$72.30,$38.81,$53.27,$72.30
Nursing,39099465,RT NEWBORN CPR,410,$0.00,99465,$0.00,$842.87,$0.00,$0.00,$0.00,$0.00,$842.87,$0.00
Laboratory,3558984,ACONITIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550050,RL INSULIN,300,$151.00,83525,$0.00,$143.45,$81.54,$0.00,$143.45,$77.01,$0.00,$143.45
Purchasing,3255804,"""KLING BANDAGE 2"""" ROLL""",270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Pharmacy,4801177,PO SULFAMET TRIMETH TAB 800 160 MG OP,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255987,SHAVER CUTTER/BLADE PLUS 4.0,270,$168.00,,$0.00,$159.60,$90.72,$0.00,$159.60,$85.68,$117.60,$159.60
Purchasing,3251573,SAO2 NEONATAL,270,$38.00,,$0.00,$36.10,$20.52,$0.00,$36.10,$19.38,$26.60,$36.10
Emergency Dept Pro-Fees,312041,PF INTERMED REPAIR HANDS/FEET < 2.5CM,982,$518.00,12041,$222.39,$527.00,$279.72,$527.00,$492.10,$264.18,$222.39,$492.10
Purchasing,3255019,ACCUTARG NEEDLE 22X5,270,$29.00,,$0.00,$27.55,$15.66,$0.00,$27.55,$14.79,$20.30,$27.55
Purchasing,3260002,PRECISION OFFSET 9.0X.025X25.0MM,270,$101.00,,$0.00,$95.95,$54.54,$0.00,$95.95,$51.51,$70.70,$95.95
Pharmacy,4800892,INJ SOD CHL 0.9PCT 1000ML PER 40 MEQ KCL,636,$0.00,J3480   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3559086,RL S CHARTARUM IGA,300,$0.00,86671,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,344140,PF COLECTOMY; PARTIAL; WITH ANASTOMOSIS,975,"$3,788.00",44140,$0.00,"$3,598.60","$2,045.52",$0.00,"$3,598.60","$1,931.88","$2,039.69","$3,598.60"
Logan Clinic,45099215,LG OFFICE VISIT EST PATIENT LEVEL 5,983,$0.00,99215,$0.00,$100.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,33P9612  ,CATH FOR SPEC COLLECTION,450,$50.00,P9612   ,$0.00,$47.50,$27.00,$0.00,$47.50,$25.50,$35.00,$47.50
Laboratory,3553332,"RL OVA AND PARASITES, COMPLEX STAIN",300,$91.00,87209,$0.00,$86.45,$49.14,$0.00,$86.45,$46.41,$0.00,$86.45
Pharmacy,4810029,AMPICILLIN/SUBACTAN 3000MG,636,$0.00,J0295   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250267,OCUCEL INSTRUMENT WIPES,270,$7.00,,$0.00,$6.65,$3.78,$0.00,$6.65,$3.57,$4.90,$6.65
Purchasing,3258170,SKIN TEMP. PROBE DISP.,270,$17.00,,$0.00,$16.15,$9.18,$0.00,$16.15,$8.67,$11.90,$16.15
Pharmacy,4800785,ANESTHESIA SPINAL TRAY,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,329105,PF APPLICATION LONG ARM SPLINT,982,$266.00,29105,$63.83,$252.70,$143.64,$228.00,$252.70,$135.66,$63.83,$252.70
Laboratory,3559051,RL VITAMIN B5,300,$0.00,84591,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3257693,SUTURE 1864 G MONO 4-0,270,$12.00,,$0.00,$11.40,$6.48,$0.00,$11.40,$6.12,$8.40,$11.40
Treatment Room,3320060,TR EXC BGN LESION S/N/H/F/GEN 1.1-2.0 CM,761,"$1,993.00",11422,"$1,016.43","$2,110.50","$1,076.22","$1,355.00","$1,893.35","$1,016.43","$2,110.50","$1,893.35"
Pharmacy,4800703,INJ LEUCOVORIN CALCIUM IV 50 MG SDV,636,$0.00,J0640   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,376942,PF US GUIDANCE FOR NEEDLE PLACEMENT,982,$0.00,76942,$0.00,$119.00,$0.00,$119.00,$0.00,$0.00,$37.11,$0.00
Purchasing,3253362,MESH PARIETEX RIGHT,278,$635.00,C1781   ,$0.00,$603.25,$342.90,$0.00,$603.25,$323.85,$444.50,$603.25
Midwest Pain Solutions,3064505,N block spenopalatine gangl,982,$145.71,64505,$74.31,$974.00,$78.68,$974.00,$138.42,$74.31,$153.99,$138.42
Surgery,3150624,PART REMOVAL OF METATARSAL,360,"$3,450.00",28110,"$1,759.50","$4,245.60","$1,863.00","$2,819.00","$3,277.50","$1,759.50","$4,245.60","$3,277.50"
Emergency Dept Pro-Fees,399218,PF OBSERVATION CARE INITIAL LVL 1 30MIN,982,$0.00,99218,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800202,INJ LIDOCAINE HCL 1PCT EPI 10 ML,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
